site,bio1,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9
BBRP1,8.054191670504709,21.022016620635988,-6.819600010663271,1033.7816048145294,208.98120193481446,21.253499841690065,63.870726463858276,438.47440395355227,119.61339998245239,388.9973023414612,137.29900007247926,11.344650004183253,26.560706551333645,1133.3341013863426,28.284099769592284,-14.483800220489503,42.76789999008179,13.989166670044263,-2.103799996525049
ERRP1,8.084649987111334,21.05288330713908,-6.8427667195753505,1017.6926034927368,206.0154022216797,20.302799797058107,64.67681315456826,434.22130126953124,118.34240140914918,380.61539831161497,134.31620187759398,11.374350055361477,26.521123688208153,1134.470980169297,28.28809986114502,-14.655500221252442,42.94360008239746,14.904766635100048,-2.5311833537028483
FGC1,8.468066674098372,21.489316781361897,-6.3719667013734576,968.1922013282776,201.0192008972168,20.10069990158081,67.87855421789013,422.4959003448486,111.79520025253296,360.17980060577395,130.90310010910034,10.773333335046967,25.579384395580938,1133.9210796664065,28.497500228881837,-13.680700016021728,42.178200244903564,14.90226674079895,-2.6277333721518517
FGREM1,8.468066674098372,21.489316781361897,-6.3719667013734576,968.1922013282776,201.0192008972168,20.10069990158081,67.87855421789013,422.4959003448486,111.79520025253296,360.17980060577395,130.90310010910034,10.773333335046967,25.579384395580938,1133.9210796664065,28.497500228881837,-13.680700016021728,42.178200244903564,14.90226674079895,-2.6277333721518517
FGRP1,8.477508349716663,21.580500014623006,-6.446199981371562,990.6118002891541,211.21759796142578,19.574800109863283,68.03359773838294,436.9801990509033,112.15310068130493,378.702898979187,131.05440111160277,10.805883297324181,25.536715306867812,1140.2401394185417,28.60429992675781,-13.777299880981445,42.381599807739256,16.727850079536438,-2.3055499851703645
FLC1,9.558250034538409,22.03250002861023,-4.714866685122251,1008.7923957824707,186.6186981201172,26.329699516296387,56.83331703287222,407.9273963928223,132.37829837799072,337.68019981384276,164.22469959259033,10.685750078534086,26.313240375980122,1088.0288302724118,28.818299865722658,-11.872100067138671,40.690399932861325,19.043733310699462,-0.7667833097279072
FLC2,9.63350417643475,22.119783306121825,-4.650966678373516,1011.812900352478,188.05950012207032,26.19900016784668,56.36887669085085,409.4148010253906,136.07599849700927,336.34850082397463,169.1224988937378,10.792641767952592,26.49234775024974,1088.950966964387,28.970700073242188,-11.848600101470947,40.819300174713135,18.279283356666564,-0.697033311240375
FLREM1,9.558250034538409,22.03250002861023,-4.714866685122251,1008.7923957824707,186.6186981201172,26.329699516296387,56.83331703287222,407.9273963928223,132.37829837799072,337.68019981384276,164.22469959259033,10.685750078534086,26.313240375980122,1088.0288302724118,28.818299865722658,-11.872100067138671,40.690399932861325,19.043733310699462,-0.7667833097279072
FLRP1,9.589541699302693,22.05609998703003,-4.722049985080957,1009.0167966842652,188.36089706420898,25.911199951171874,56.466507250405705,408.11669807434083,134.70450019836426,336.0456993103027,165.89710083007813,10.685583335782091,26.30332954813922,1089.6779745887748,28.825199699401857,-11.87649998664856,40.70169968605042,18.834500070412954,-0.7440499904255073
FLRP4,9.589541699302693,22.05609998703003,-4.722049985080957,1009.0167966842652,188.36089706420898,25.911199951171874,56.466507250405705,408.11669807434083,134.70450019836426,336.0456993103027,165.89710083007813,10.685583335782091,26.30332954813922,1089.6779745887748,28.825199699401857,-11.87649998664856,40.70169968605042,18.834500070412954,-0.7440499904255073
