region,field_type,field_name,sample,field_sample,code,cover_pct,presence
BM,restored,BBRP1,1,BBRP1-1,LITTER,3,1
BM,restored,BBRP1,2,BBRP1-2,LITTER,5,1
BM,restored,BBRP1,3,BBRP1-3,LITTER,10,1
BM,restored,BBRP1,4,BBRP1-4,LITTER,10,1
BM,restored,BBRP1,5,BBRP1-5,BARESOIL,4,1
BM,restored,BBRP1,5,BBRP1-5,LITTER,22,1
BM,restored,BBRP1,6,BBRP1-6,BARESOIL,8,1
BM,restored,BBRP1,6,BBRP1-6,LITTER,8,1
BM,restored,BBRP1,8,BBRP1-8,LITTER,8,1
BM,restored,BBRP1,9,BBRP1-9,LITTER,5,1
BM,restored,BBRP1,10,BBRP1-10,LITTER,12,1
BM,restored,ERRP1,1,ERRP1-1,BARESOIL,1,1
BM,restored,ERRP1,1,ERRP1-1,LITTER,1,1
BM,restored,ERRP1,2,ERRP1-2,BARESOIL,1,1
BM,restored,ERRP1,2,ERRP1-2,LITTER,3,1
BM,restored,ERRP1,3,ERRP1-3,BARESOIL,1,1
BM,restored,ERRP1,3,ERRP1-3,LITTER,2,1
BM,restored,ERRP1,4,ERRP1-4,LITTER,2,1
BM,restored,ERRP1,5,ERRP1-5,BARESOIL,3,1
BM,restored,ERRP1,5,ERRP1-5,LITTER,9,1
BM,restored,ERRP1,6,ERRP1-6,LITTER,3,1
BM,restored,ERRP1,7,ERRP1-7,LITTER,3,1
BM,restored,ERRP1,8,ERRP1-8,LITTER,1,1
BM,restored,ERRP1,9,ERRP1-9,BARESOIL,1,1
BM,restored,ERRP1,9,ERRP1-9,LITTER,4,1
BM,restored,ERRP1,10,ERRP1-10,LITTER,4,1
FG,corn,FGC1,1,FGC1-1,BARESOIL,1,1
FG,corn,FGC1,1,FGC1-1,LITTER,1,1
FG,corn,FGC1,2,FGC1-2,LITTER,1,1
FG,corn,FGC1,3,FGC1-3,BARESOIL,1,1
FG,corn,FGC1,3,FGC1-3,LITTER,1,1
FG,corn,FGC1,6,FGC1-6,BARESOIL,1,1
FG,corn,FGC1,6,FGC1-6,LITTER,1,1
FG,remnant,FGREM1,1,FGREM1-1,BARESOIL,1,1
FG,remnant,FGREM1,1,FGREM1-1,LITTER,1,1
FG,remnant,FGREM1,2,FGREM1-2,BARESOIL,1,1
FG,remnant,FGREM1,2,FGREM1-2,LITTER,1,1
FG,remnant,FGREM1,3,FGREM1-3,BARESOIL,1,1
FG,remnant,FGREM1,3,FGREM1-3,LITTER,1,1
FG,remnant,FGREM1,4,FGREM1-4,BARESOIL,6,1
FG,remnant,FGREM1,4,FGREM1-4,LITTER,2,1
FG,remnant,FGREM1,5,FGREM1-5,BARESOIL,9,1
FG,remnant,FGREM1,5,FGREM1-5,LITTER,2,1
FG,remnant,FGREM1,7,FGREM1-7,BARESOIL,4,1
FG,remnant,FGREM1,7,FGREM1-7,LITTER,1,1
FG,remnant,FGREM1,8,FGREM1-8,BARESOIL,11,1
FG,remnant,FGREM1,8,FGREM1-8,LITTER,2,1
FG,remnant,FGREM1,9,FGREM1-9,BARESOIL,17,1
FG,remnant,FGREM1,9,FGREM1-9,LITTER,9,1
FG,remnant,FGREM1,10,FGREM1-10,BARESOIL,11,1
FG,remnant,FGREM1,10,FGREM1-10,LITTER,2,1
FG,restored,FGRP1,1,FGRP1-1,BARESOIL,4,1
FG,restored,FGRP1,1,FGRP1-1,LITTER,1,1
FG,restored,FGRP1,2,FGRP1-2,BARESOIL,10,1
FG,restored,FGRP1,2,FGRP1-2,LITTER,3,1
FG,restored,FGRP1,3,FGRP1-3,BARESOIL,2,1
FG,restored,FGRP1,3,FGRP1-3,LITTER,1,1
FG,restored,FGRP1,4,FGRP1-4,BARESOIL,2,1
FG,restored,FGRP1,4,FGRP1-4,LITTER,1,1
FG,restored,FGRP1,5,FGRP1-5,BARESOIL,2,1
FG,restored,FGRP1,5,FGRP1-5,LITTER,2,1
FG,restored,FGRP1,6,FGRP1-6,BARESOIL,5,1
FG,restored,FGRP1,6,FGRP1-6,LITTER,5,1
FG,restored,FGRP1,7,FGRP1-7,BARESOIL,9,1
FG,restored,FGRP1,7,FGRP1-7,LITTER,1,1
FG,restored,FGRP1,8,FGRP1-8,BARESOIL,12,1
FG,restored,FGRP1,8,FGRP1-8,LITTER,4,1
FG,restored,FGRP1,9,FGRP1-9,BARESOIL,3,1
FG,restored,FGRP1,9,FGRP1-9,LITTER,4,1
FG,restored,FGRP1,10,FGRP1-10,BARESOIL,2,1
FG,restored,FGRP1,10,FGRP1-10,LITTER,3,1
BM,restored,KORP1,1,KORP1-1,LITTER,37,1
BM,restored,KORP1,2,KORP1-2,LITTER,36,1
BM,restored,KORP1,3,KORP1-3,LITTER,23,1
BM,restored,KORP1,4,KORP1-4,LITTER,26,1
BM,restored,KORP1,5,KORP1-5,LITTER,31,1
