field_name,annual,biennial,perennial,native,nonnative,C3_grass,C4_grass,forb,legume,shrubTree
BBRP1,3,3,25,29,2,0,5,22,3,1
ERRP1,0,7,30,23,14,3,1,30,2,1
FGC1,2,0,2,1,3,1,1,2,0,0
FGREM1,1,4,41,41,3,1,4,32,3,5
FGRP1,1,3,42,35,9,7,3,28,6,1
FLREM1,2,6,131,137,2,5,8,101,7,4
FLRP1,2,5,105,108,4,2,7,89,6,1
FLRP4,1,7,112,116,4,3,7,91,7,3
FLRP5,1,3,60,60,4,3,5,48,4,1
KORP1,1,0,12,12,0,1,2,7,2,1
LPREM1,3,2,29,26,7,4,4,23,0,3
LPRP1,2,5,28,29,6,2,4,24,5,0
LPRP2,2,4,31,32,4,4,3,26,4,0
MBREM1,3,3,51,45,12,4,6,36,3,6
MBRP1,4,4,46,46,8,4,4,40,2,4
MHRP1,8,12,33,36,17,4,7,36,3,3
MHRP2,5,9,28,31,11,2,1,34,5,0
PHRP1,0,1,26,24,3,1,3,21,1,1
LPC1,1,0,0,0,1,0,1,0,0,0
PHC1,1,0,0,0,1,0,1,0,0,0
