field_key,otu_1,otu_2,otu_3,otu_4,otu_5,otu_6,otu_7,otu_8,otu_9,otu_10,otu_11,otu_12,otu_13,otu_14,otu_15,otu_16,otu_17,otu_18,otu_19,otu_20,otu_21,otu_22,otu_23,otu_24,otu_25,otu_26,otu_27,otu_28,otu_29,otu_30,otu_31,otu_32,otu_33,otu_34,otu_35,otu_36,otu_37,otu_38,otu_39,otu_40,otu_41,otu_42,otu_43,otu_44,otu_45,otu_46,otu_47,otu_48,otu_49,otu_50,otu_51,otu_52,otu_53,otu_54,otu_55,otu_56,otu_57,otu_58,otu_59,otu_60,otu_61,otu_62,otu_63,otu_64,otu_65,otu_66,otu_67,otu_68,otu_69,otu_70,otu_71,otu_72,otu_73,otu_74,otu_75,otu_76,otu_77,otu_78,otu_79,otu_80,otu_81,otu_82,otu_83,otu_84,otu_85,otu_86,otu_87,otu_88,otu_89,otu_90,otu_91,otu_92,otu_93,otu_94,otu_95,otu_96,otu_97,otu_98,otu_99,otu_100,otu_101,otu_102,otu_103,otu_104,otu_105,otu_106,otu_107,otu_108,otu_109,otu_110,otu_111,otu_112,otu_113,otu_114,otu_115,otu_116,otu_117,otu_118,otu_119,otu_120,otu_121,otu_122,otu_123,otu_124,otu_125,otu_126,otu_127,otu_128,otu_129,otu_130,otu_131,otu_132,otu_133,otu_134,otu_135,otu_136,otu_137,otu_138,otu_139,otu_140,otu_141,otu_142,otu_143,otu_144,otu_145,otu_146,otu_147,otu_148,otu_149,otu_150,otu_151,otu_152
1,591,1679,1704,297,3619,800,1094,2382,87,172,1485,8,148,0,569,36,344,12,221,111,0,0,168,97,60,0,0,401,221,44,0,98,0,318,27,0,342,177,0,0,0,0,0,44,57,0,0,1867,776,11,0,0,0,227,20,0,202,47,0,0,178,0,93,0,0,26,0,148,466,173,0,30,0,65,0,52,0,32,0,0,0,46,0,0,163,0,0,0,0,0,0,3,14,0,0,0,0,0,0,43,0,229,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
2,5102,72,11494,0,5482,1552,690,0,1575,1469,0,504,135,0,4225,1576,522,1318,0,109,0,0,67,1097,1019,540,0,0,237,0,0,1463,0,6,219,794,0,40,382,0,0,184,0,35,26,1946,314,0,0,0,0,37,0,0,0,0,13,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,339,0,268,0,87,0,0,0,0,0,174,0,20,0,0,0,0,0,45,17,30,0,0,0,0,0,0,0,0,0,0,12,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,44,370,31,4403,1677,759,2001,0,651,25,0,14,4834,0,0,0,658,0,1500,2010,8265,82,16,0,7,12,0,0,657,0,208,0,444,0,15,734,0,171,336,0,813,0,0,0,708,0,0,0,0,0,0,26,0,0,114,984,0,0,0,27,0,0,0,17,0,0,0,0,0,0,0,0,617,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3960,4657,0,1223,1407,1376,707,2436,5684,2194,614,1073,1791,41,0,0,290,609,405,935,1140,642,0,78,128,0,0,0,144,338,268,0,0,206,115,0,0,37,0,0,0,0,0,60,380,0,0,0,226,0,723,609,2191,0,1045,0,0,0,0,157,20,0,0,174,0,0,0,67,0,0,28,0,0,0,77,15,0,0,95,0,428,0,18,0,0,0,0,0,0,0,0,0,0,0,163,0,0,0,0,0,13,0,0,29,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,27,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
5,1058,3181,37,58,4505,1760,1078,18,2655,3749,127,1644,333,7059,0,244,582,672,1524,170,1234,3318,0,297,168,54,0,0,393,0,545,0,27,0,48,1951,0,230,1574,0,0,287,0,32,90,65,109,0,0,0,1341,73,0,0,188,44,0,0,591,374,0,0,0,30,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,14,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,139,0,117,0,0,0,0,0,0,40,14,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
6,742,134,6900,6012,1723,2200,3213,5,725,149,6,368,1511,9,13,193,1101,64,112,560,67,1679,519,61,49,82,4095,0,440,15,65,0,1178,0,77,39,0,1637,24,0,9,0,785,18,339,0,63,0,0,134,0,13,0,0,0,106,164,0,119,43,0,0,24,0,46,1418,112,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,17,0,0,0,0,0,0,0,21,9,0,0,0,0,0,0,0,0,0,15,0,0,116,41,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
7,16,0,1860,1817,6286,1326,214,112,166,0,0,0,4735,108,0,7,169,0,553,2842,1124,124,0,0,0,0,55,0,53,0,0,0,426,22,46,65,0,1397,0,0,1482,0,3676,215,222,0,8,0,0,0,0,0,0,0,127,160,0,0,0,0,0,0,0,0,0,0,583,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2504,3105,498,1181,2049,1896,2504,1475,1176,2419,3883,1255,461,422,578,919,1030,384,201,210,1557,2177,34,160,443,68,0,0,774,743,16,1310,75,82,239,603,0,327,24,586,0,181,0,95,91,119,234,0,353,242,0,6,29,223,678,0,738,0,212,0,0,0,0,181,0,0,0,77,0,300,0,0,0,0,0,0,0,31,0,16,208,2,0,0,0,0,0,0,132,0,32,0,36,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
9,1246,2938,225,3035,521,635,1701,4710,1811,1587,5032,696,750,317,345,0,759,19,0,399,0,129,0,95,149,0,0,0,443,189,0,0,0,553,0,225,584,99,59,276,0,0,0,50,134,13,432,0,487,75,0,0,0,8,734,0,74,121,0,273,14,0,0,752,0,0,0,71,0,339,0,68,0,0,626,12,0,0,67,0,0,0,0,0,0,0,0,0,230,0,0,0,0,0,0,0,0,0,0,72,27,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2255,1547,169,2511,282,737,1840,5165,265,783,2017,1041,158,24,170,0,615,24,13,122,0,47,371,521,380,0,0,0,486,0,0,0,0,564,10,0,1199,0,0,480,0,0,0,4,38,0,31,0,1468,545,6,0,0,107,316,0,0,186,0,35,184,0,272,31,0,0,0,254,0,229,10,102,0,86,278,46,0,18,63,0,36,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,64,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1311,3209,667,2893,612,1075,2923,3225,1714,1080,2671,845,996,319,116,39,1307,79,106,445,12,445,11,63,249,158,0,0,618,220,0,0,0,179,257,81,428,364,81,683,0,0,0,32,216,0,201,0,202,475,82,0,102,75,130,0,0,64,0,0,0,0,0,17,0,0,0,37,0,85,0,391,0,0,3,0,0,21,155,0,17,3,0,0,0,0,0,0,179,45,0,0,24,0,0,0,0,15,0,0,0,0,21,122,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2784,2720,2816,25,1772,1210,3205,1289,511,916,674,108,0,0,798,456,1223,180,0,27,0,0,727,1034,58,0,0,0,611,2000,0,0,0,150,94,20,337,818,0,465,0,0,0,19,6,19,0,0,0,160,40,0,10,77,15,0,202,25,0,0,0,0,80,0,141,0,0,0,0,0,796,0,0,0,0,0,0,17,0,6,0,7,0,38,0,0,34,0,0,0,9,3,0,0,0,0,49,12,0,57,0,0,0,0,0,0,0,75,0,0,0,0,0,0,44,0,51,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
