field_key,otu_1,otu_2,otu_3,otu_4,otu_5,otu_6,otu_7,otu_8,otu_9,otu_10,otu_11,otu_12,otu_13,otu_14,otu_15,otu_16,otu_17,otu_18,otu_19,otu_20,otu_21,otu_22,otu_23,otu_24,otu_25,otu_26,otu_27,otu_28,otu_29,otu_30,otu_31,otu_32,otu_33,otu_34,otu_35,otu_36,otu_37,otu_38,otu_39,otu_40,otu_41,otu_42,otu_43,otu_44,otu_45,otu_46,otu_47,otu_48,otu_49,otu_50,otu_51,otu_52,otu_53,otu_54,otu_55,otu_56,otu_57,otu_58,otu_59,otu_60,otu_61,otu_62,otu_63,otu_64,otu_65,otu_66,otu_67,otu_68,otu_69,otu_70,otu_71,otu_72,otu_73,otu_74,otu_75,otu_76,otu_77,otu_78,otu_79,otu_80,otu_81,otu_82,otu_83,otu_84,otu_85,otu_86,otu_87,otu_88,otu_89,otu_90,otu_91,otu_92,otu_93,otu_94,otu_95,otu_96,otu_97,otu_98,otu_99,otu_100,otu_101,otu_102,otu_103,otu_104,otu_105,otu_106,otu_107,otu_108,otu_109,otu_110,otu_111,otu_112,otu_113,otu_114,otu_115,otu_116,otu_117,otu_118,otu_119,otu_120,otu_121,otu_122,otu_123,otu_124,otu_125,otu_126,otu_127,otu_128,otu_129,otu_130,otu_131,otu_132,otu_133,otu_134,otu_135,otu_136,otu_137,otu_138,otu_139,otu_140,otu_141,otu_142,otu_143,otu_144,otu_145,otu_146,otu_147,otu_148,otu_149,otu_151,otu_152
1,501,1464,1483,262,3183,708,969,2070,81,145,1297,8,124,0,509,28,291,10,185,96,0,0,144,90,50,0,0,349,181,39,0,85,0,270,23,0,294,160,0,0,0,0,0,38,48,0,0,1647,684,10,0,0,0,198,20,0,170,45,0,0,163,0,81,0,0,18,0,129,404,151,0,28,0,56,0,44,0,29,0,0,0,43,0,0,138,0,0,0,0,0,0,2,13,0,0,0,0,0,0,38,0,207,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
2,2192,33,4923,0,2420,654,312,0,703,651,0,195,62,0,1826,667,238,564,0,51,0,0,24,477,410,244,0,0,90,0,0,586,0,3,90,359,0,14,159,0,0,84,0,14,14,854,150,0,0,0,0,21,0,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,151,0,115,0,43,0,0,0,0,0,77,0,8,0,0,0,0,0,17,9,13,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,20,213,16,2557,952,438,1172,0,384,13,0,6,2904,0,0,0,381,0,892,1149,4833,44,8,0,5,6,0,0,369,0,127,0,258,0,12,429,0,96,199,0,467,0,0,0,408,0,0,0,0,0,0,13,0,0,61,539,0,0,0,12,0,0,0,8,0,0,0,0,0,0,0,0,371,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1965,2298,0,627,708,708,361,1236,2848,1064,313,549,891,20,0,0,146,311,188,472,575,320,0,37,72,0,0,0,80,174,133,0,0,102,51,0,0,11,0,0,0,0,0,29,193,0,0,0,115,0,361,305,1069,0,537,0,0,0,0,75,10,0,0,96,0,0,0,32,0,0,18,0,0,0,44,5,0,0,52,0,206,0,5,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,7,0,0,11,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,470,1408,8,27,2049,783,471,8,1138,1592,62,739,140,3181,0,101,243,284,705,70,556,1429,0,139,69,23,0,0,184,0,240,0,15,0,18,900,0,96,713,0,0,138,0,11,42,32,41,0,0,0,614,34,0,0,85,25,0,0,277,171,0,0,0,15,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,6,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,58,0,49,0,0,0,0,0,0,21,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
6,374,60,3435,3014,829,1107,1565,1,351,77,2,188,753,7,3,94,538,42,50,280,34,830,270,25,30,40,2018,0,195,7,25,0,575,0,34,24,0,789,7,0,6,0,399,10,176,0,30,0,0,62,0,7,0,0,0,56,73,0,60,24,0,0,13,0,28,706,59,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,8,0,0,0,0,0,0,0,7,5,0,0,0,0,0,0,0,0,0,8,0,0,57,22,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
7,13,0,1222,1186,4054,885,138,64,105,0,0,0,3067,74,0,5,113,0,351,1760,757,83,0,0,0,0,38,0,30,0,0,0,279,14,34,42,0,892,0,0,962,0,2427,132,142,0,5,0,0,0,0,0,0,0,83,102,0,0,0,0,0,0,0,0,0,0,383,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1143,1445,241,511,962,890,1196,693,580,1136,1809,554,214,203,286,437,497,185,91,102,708,1052,14,67,194,31,0,0,359,346,10,616,32,42,89,266,0,166,18,309,0,85,0,48,46,62,103,0,163,119,0,3,13,102,324,0,356,0,105,0,0,0,0,88,0,0,0,43,0,138,0,0,0,0,0,0,0,13,0,7,98,0,0,0,0,0,0,0,65,0,15,0,18,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,720,1662,125,1700,300,355,978,2660,1067,917,2915,384,409,173,191,0,419,13,0,221,0,75,0,54,86,0,0,0,260,99,0,0,0,321,0,125,332,56,32,155,0,0,0,35,74,5,246,0,280,47,0,0,0,7,429,0,42,73,0,156,6,0,0,442,0,0,0,40,0,205,0,34,0,0,357,8,0,0,30,0,0,0,0,0,0,0,0,0,137,0,0,0,0,0,0,0,0,0,0,46,12,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1581,1078,111,1759,198,510,1267,3556,191,550,1385,718,106,18,100,0,431,15,7,84,0,30,272,352,256,0,0,0,325,0,0,0,0,391,9,0,838,0,0,337,0,0,0,3,29,0,17,0,1027,365,5,0,0,78,206,0,0,114,0,17,130,0,190,24,0,0,0,165,0,163,5,71,0,58,194,34,0,14,42,0,23,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,47,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,807,1978,384,1748,367,636,1787,1944,1031,653,1581,521,612,187,62,25,779,49,68,257,5,283,9,34,159,89,0,0,362,126,0,0,0,111,142,54,277,246,52,432,0,0,0,20,113,0,127,0,129,297,57,0,63,46,75,0,0,40,0,0,0,0,0,13,0,0,0,26,0,51,0,243,0,0,2,0,0,11,90,0,11,1,0,0,0,0,0,0,112,31,0,0,15,0,0,0,0,8,0,0,0,0,12,71,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1865,1850,1831,11,1170,823,2197,886,339,617,447,73,0,0,530,307,809,116,0,17,0,0,484,682,37,0,0,0,414,1375,0,0,0,105,66,16,231,550,0,328,0,0,0,13,3,12,0,0,0,109,28,0,9,49,11,0,145,17,0,0,0,0,60,0,87,0,0,0,0,0,543,0,0,0,0,0,0,12,0,3,0,5,0,30,0,0,23,0,0,0,8,0,0,0,0,0,28,10,0,37,0,0,0,0,0,0,0,55,0,0,0,0,0,0,31,0,32,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
13,1313,1663,1313,579,1180,1265,1422,1448,107,509,1157,482,23,0,4,5,618,308,0,14,0,24,629,1721,30,0,0,0,370,326,0,0,0,261,24,0,881,272,0,115,0,0,0,20,0,0,0,278,0,61,0,0,0,390,0,0,19,125,0,0,20,0,123,0,0,15,0,0,63,0,0,0,0,0,0,5,0,89,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,28,110,0,32,3,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1238,1052,1839,90,2180,935,2069,649,403,118,0,103,242,23,609,320,734,0,0,198,0,0,1984,1327,57,0,0,0,398,149,0,0,0,131,159,0,774,338,0,138,0,0,0,0,43,0,0,0,0,17,0,0,0,207,0,0,31,101,0,0,43,0,230,0,0,0,0,0,5,0,174,120,0,17,0,18,0,22,0,0,0,17,0,0,0,0,5,0,0,0,49,0,18,0,0,0,18,0,0,20,45,0,0,0,0,0,0,15,0,3,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,977,2002,444,333,411,124,373,4408,161,177,5047,436,53,15,55,113,135,209,185,25,214,113,9,117,281,0,0,9,108,4,0,0,0,419,0,22,587,226,16,0,0,61,0,40,13,0,0,0,238,64,207,19,338,139,20,0,0,79,0,0,0,0,0,0,0,0,0,44,43,90,0,35,0,0,0,0,0,41,0,0,8,0,146,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,18,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,26,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,9,0,919,1004,1677,475,3476,15,251,6,0,111,3344,0,11,97,1344,5,0,1086,347,535,0,0,0,86,0,0,551,0,1059,0,524,0,66,0,0,962,0,0,76,66,43,0,719,0,453,0,13,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,105,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
17,1979,1131,390,496,1796,625,2325,87,376,791,0,1547,108,0,386,312,1032,582,0,92,160,0,524,527,224,13,0,1004,582,223,0,25,0,23,161,0,555,66,0,0,0,115,0,389,27,0,0,0,0,0,0,0,0,74,0,0,0,112,0,0,181,15,0,0,0,0,0,0,0,0,0,13,0,79,0,64,0,19,11,0,0,0,0,0,0,0,0,0,0,7,109,0,0,0,30,0,0,32,0,0,0,56,0,0,0,0,0,0,55,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1467,199,95,706,697,1336,2588,275,1944,388,0,1722,341,0,1084,780,1267,356,0,145,140,0,32,235,451,65,0,0,631,278,0,441,249,0,356,0,0,403,0,0,0,19,0,421,90,0,0,0,0,0,0,0,80,0,0,0,0,0,23,31,0,0,0,0,0,8,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,61,0,0,51,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,6,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2560,534,3201,111,470,1029,1586,9,1006,1021,0,1618,138,0,1605,269,839,284,0,54,0,0,333,323,76,157,0,0,389,0,0,0,131,0,266,0,0,97,0,0,5,46,0,40,37,0,0,0,0,7,4,0,94,12,0,0,0,0,0,0,151,0,48,0,348,76,0,0,0,0,4,0,0,46,0,27,0,0,0,0,0,0,0,0,0,0,139,0,0,0,0,25,98,128,0,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,34,0,0,0,15,0,0,27,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
20,556,1307,380,0,1989,538,1228,2808,0,109,447,0,0,0,889,0,259,0,0,0,0,0,1035,567,187,0,0,1135,237,67,0,0,0,588,0,0,278,141,0,0,0,0,0,0,0,0,0,1394,216,5,0,0,0,5,0,0,0,39,0,0,251,881,0,0,0,0,0,25,0,341,0,0,0,88,0,96,394,8,0,0,0,0,0,48,150,544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,153,0,9,0,0,0,0,0,0,0,0,0,14,0,0,0,40,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,13,0,0,0,8,0,0,5,0,0,0,0,0,0
21,1403,1057,879,0,1560,612,1207,1897,826,839,253,217,71,0,561,336,444,0,0,53,0,275,1215,811,65,0,0,2373,285,415,0,0,6,174,142,0,0,117,0,0,0,314,0,0,29,0,0,129,0,0,0,0,0,74,21,0,0,0,0,0,175,14,84,75,0,0,0,0,0,0,0,0,0,68,0,53,0,22,0,0,0,0,0,254,0,0,0,0,0,9,0,20,0,0,0,0,0,9,0,0,0,0,0,0,12,0,0,0,0,54,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,6,0,0,11,0,0,0,0,0,0,0,0,0,0,0
22,1778,801,89,485,1885,195,1859,419,1740,976,7,1961,380,327,0,182,999,313,118,217,418,274,0,541,226,589,0,0,448,131,206,29,17,44,6,58,0,143,58,5,0,285,0,253,99,80,300,0,0,6,230,134,0,0,0,0,4,0,23,17,0,0,0,0,0,3,0,0,0,0,0,31,0,0,7,0,0,0,0,11,0,0,0,0,0,0,13,70,0,0,0,1,0,0,0,0,0,0,15,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
