field_key,ppt_mm
1,957.8028564453125
2,949.92388916015625
3,931.1396484375
4,931.1396484375
5,935.0302734375
6,966.7720947265625
7,970.24334716796875
8,966.7720947265625
9,965.42706298828125
10,965.42706298828125
11,965.42706298828125
12,965.42706298828125
13,970.24334716796875
14,965.42706298828125
15,970.79754638671875
16,960.8798828125
17,960.8798828125
18,960.8798828125
19,960.8798828125
20,977.85675048828125
21,977.85675048828125
22,956.55865478515625
23,956.55865478515625
24,969.7001953125
25,969.7001953125
