field_key,field_name,pH,OM,NO3,P,K,SO4,Zn,Fe,Mn,Cu,Ca,Mg,Na
1,BBRP1,6,3.9,2.3,3,104,17,1.94,42.4,37.5,7.1,1222,393,14
2,ERRP1,5.9,3.8,4.2,4,60,17,1.86,54.2,52.7,4.54,1394,438,18
3,FGC1,7.7,5.3,33.5,110,137,38,1.68,36,4.7,2.45,5066,510,17
4,FGREM1,7.9,10.5,3.9,5,75,16,1.93,43.6,6.1,2.08,6246,750,15
5,FGRP1,7.2,9.7,3.9,13,151,18,1.66,28.5,6.5,2.03,4894,1028,14
6,FLC1,6.1,6.8,18.6,34,179,18,2.7,93.5,19.1,3.68,3193,684,16
7,FLC2,6.9,5.3,17.2,83,329,16,5,57.1,14.1,2.36,2729,618,15
8,FLREM1,6.6,9.5,7.2,3,115,16,3.28,61.8,13.4,2.3,2890,766,17
9,FLRP1,6.7,8.5,5.7,7,206,19,23.84,44.8,8.3,2.4,3030,749,12
10,FLRP4,6.5,7.7,5.5,5,199,16,3.85,54.1,8.8,1.98,2694,655,14
11,FLRP5,6.3,8.1,6.8,11,190,21,4.14,69.3,7.5,2.69,3149,783,16
12,FLRSP1,6.2,5.6,14.1,2,69,15,3.59,103.9,19.9,2.14,1526,444,15
13,FLRSP2,5.9,5.3,11.5,1,91,17,2.37,60.8,15.9,1.88,1771,541,15
14,FLRSP3,5.6,6.5,11.9,2,70,14,3.61,131.4,14.5,2.26,1902,459,14
15,KORP1,7.1,4.8,3.3,3,123,19,1.35,31.5,14.9,3.85,1913,635,11
16,LPC1,6.9,2.5,23.3,57,236,15,1.97,25.6,22.6,2.21,1532,473,13
17,LPREM1,6.1,5,4.7,10,103,17,2.32,62,22.2,1.73,1481,380,12
18,LPRP1,6.4,3.1,0.2,31,115,15,1.83,34,31.3,1.95,1342,410,11
19,LPRP2,6.3,2.5,0.4,11,85,14,1.31,43.3,40.2,1.95,1187,380,12
20,MBREM1,6.1,4.1,1.7,4,91,15,2.93,56.3,25.1,2.49,809,155,11
21,MBRP1,5.5,2.8,2.4,11,68,14,1.47,47.9,14.9,1.42,730,167,10
22,MHRP1,7.2,4.5,3.5,8,80,20,0.93,17,14.2,1.78,1972,751,12
23,MHRP2,7.1,4.4,3.4,6,76,16,2.22,17.6,14.8,2.41,1884,642,14
24,PHC1,6.8,3.5,15.1,38,191,19,2.27,24.5,16.6,3.78,1496,527,14
25,PHRP1,6.8,3,2,11,99,15,1.68,21.9,23.9,3.29,1274,430,11
26,LPOF1,6.8,5.7,1.3,8,155,20,1.23,31.1,26.6,2.17,2457,780,15
27,FLOF1,6.4,8.8,10.1,17,193,21,4.53,103,10,3.14,3092,832,63
