site_key,otu_num,seq_abund,kingdom,phylum,class,order,family,genus,species,taxon,taxon_level,trophic_mode,guild,growth_morphology,confidence,site_name,region,site_type,yr_since,yr_rank,field_type
1,otu_23,0.125,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Neoascochyta,Neoascochyta_argentina,Didymellaceae,9,Pathotroph-Saprotroph,Animal Pathogen-Plant Pathogen-Undefined Saprotroph,Microfungus,Possible,BBRP1,BM,restored,16,9,restored
1,otu_37,0.625,Fungi,Ascomycota,Sordariomycetes,Diaporthales,Gnomoniaceae,NA,NA,Gnomoniaceae,9,Pathotroph-Saprotroph-Symbiotroph,Endophyte-Plant Pathogen-Undefined Saprotroph,Microfungus,Probable,BBRP1,BM,restored,16,9,restored
1,otu_46,2,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium_concentricum,Fusarium,13,Pathotroph-Saprotroph-Symbiotroph,Animal Pathogen-Endophyte-Lichen Parasite-Plant Pathogen-Soil Saprotroph-Wood Saprotroph,Microfungus,Possible,BBRP1,BM,restored,16,9,restored
1,otu_47,0.5,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Paracremonium,NA,Nectriaceae,9,Pathotroph-Saprotroph-Symbiotroph,Animal Pathogen-Endophyte-Fungal Parasite-Lichen Parasite-Plant Pathogen-Wood Saprotroph,Microfungus,Possible,BBRP1,BM,restored,16,9,restored
1,otu_51,2,Fungi,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,Trichopezizella,unidentified,Trichopezizella,13,Saprotroph,Undefined Saprotroph,NULL,Probable,BBRP1,BM,restored,16,9,restored
1,otu_63,0.375,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Mariannaea,NA,Nectriaceae,9,Pathotroph-Saprotroph-Symbiotroph,Animal Pathogen-Endophyte-Fungal Parasite-Lichen Parasite-Plant Pathogen-Wood Saprotroph,Microfungus,Possible,BBRP1,BM,restored,16,9,restored
1,otu_70,67.125,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,unidentified,unidentified,Herpotrichiellaceae,9,Pathotroph-Saprotroph,Animal Pathogen-Fungal Parasite-Undefined Saprotroph,Facultative Yeast-Microfungus,Probable,BBRP1,BM,restored,16,9,restored
1,otu_71,0.125,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Monocillium,Monocillium_mucidum,Monocillium,13,Saprotroph,Undefined Saprotroph,NULL,Probable,BBRP1,BM,restored,16,9,restored
1,otu_72,13.75,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusicolla,Fusicolla_aquaeductuum,Nectriaceae,9,Pathotroph-Saprotroph-Symbiotroph,Animal Pathogen-Endophyte-Fungal Parasite-Lichen Parasite-Plant Pathogen-Wood Saprotroph,Microfungus,Possible,BBRP1,BM,restored,16,9,restored
1,otu_77,42.25,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Clitopilus,unidentified,Clitopilus,13,Saprotroph,Undefined Saprotroph,Agaricoid,Probable,BBRP1,BM,restored,16,9,restored
1,otu_80,0.625,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,NA,NA,Nectriaceae,9,Pathotroph-Saprotroph-Symbiotroph,Animal Pathogen-Endophyte-Fungal Parasite-Lichen Parasite-Plant Pathogen-Wood Saprotroph,Microfungus,Possible,BBRP1,BM,restored,16,9,restored
