site_key,sv_num,seq_abund,kingdom,phylum,class,order,family,genus,species,taxon,taxon_level,trophic_mode,guild,growth_morphology,confidence,site_name,region,site_type,yr_since,yr_rank,field_type
1,sv_5,5.625,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,unidentified,unidentified,Herpotrichiellaceae,9,Pathotroph-Saprotroph,Animal Pathogen-Fungal Parasite-Undefined Saprotroph,Facultative Yeast-Microfungus,Probable,BBRP1,BM,restored,16,9,restored
1,sv_6,0.5,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,NA,NA,Thelephoraceae,9,Saprotroph-Symbiotroph,Ectomycorrhizal-Undefined Saprotroph,Clavarioid,Probable,BBRP1,BM,restored,16,9,restored
1,sv_17,0.75,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymosphaeriaceae,NA,NA,Didymosphaeriaceae,9,Pathotroph-Saprotroph-Symbiotroph,Endophyte-Lichen Parasite-Plant Pathogen-Undefined Saprotroph,Microfungus,Probable,BBRP1,BM,restored,16,9,restored
1,sv_50,0.25,Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Triangularia,NA,Triangularia,13,Saprotroph,Undefined Saprotroph,NULL,Probable,BBRP1,BM,restored,16,9,restored
1,sv_67,0.125,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Neoascochyta,Neoascochyta_argentina,Didymellaceae,9,Pathotroph-Saprotroph,Animal Pathogen-Plant Pathogen-Undefined Saprotroph,Microfungus,Possible,BBRP1,BM,restored,16,9,restored
1,sv_97,0.875,Fungi,Ascomycota,Sordariomycetes,Diaporthales,Gnomoniaceae,NA,NA,Gnomoniaceae,9,Pathotroph-Saprotroph-Symbiotroph,Endophyte-Plant Pathogen-Undefined Saprotroph,Microfungus,Probable,BBRP1,BM,restored,16,9,restored
1,sv_99,1.25,Fungi,Ascomycota,Dothideomycetes,Tubeufiales,Tubeufiaceae,unidentified,unidentified,Tubeufiaceae,9,Pathotroph-Saprotroph,Animal Pathogen-Undefined Saprotroph,NULL,Probable,BBRP1,BM,restored,16,9,restored
1,sv_101,0.375,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Clavariaceae,NA,NA,Clavariaceae,9,Saprotroph-Symbiotroph,Lichenized-Undefined Saprotroph,Clavarioid,Probable,BBRP1,BM,restored,16,9,restored
1,sv_110,1.375,Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Arnium,unidentified,Arnium,13,Saprotroph,Dung Saprotroph-Undefined Saprotroph,NULL,Highly Probable,BBRP1,BM,restored,16,9,restored
1,sv_121,2,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium_concentricum,Fusarium,13,Pathotroph-Saprotroph-Symbiotroph,Animal Pathogen-Endophyte-Lichen Parasite-Plant Pathogen-Soil Saprotroph-Wood Saprotroph,Microfungus,Possible,BBRP1,BM,restored,16,9,restored
1,sv_123,1.375,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Leptospora,unidentified,Phaeosphaeriaceae,9,Pathotroph-Saprotroph,Fungal Parasite-Plant Pathogen-Plant Saprotroph,Microfungus,Probable,BBRP1,BM,restored,16,9,restored
1,sv_126,0.875,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Clavariaceae,Clavaria,Clavaria_rosea,Clavaria,13,Saprotroph,Undefined Saprotroph,Clavarioid,Probable,BBRP1,BM,restored,16,9,restored
1,sv_129,0.875,Fungi,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,Trichopezizella,unidentified,Trichopezizella,13,Saprotroph,Undefined Saprotroph,NULL,Probable,BBRP1,BM,restored,16,9,restored
1,sv_159,0.5,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Mariannaea,NA,Nectriaceae,9,Pathotroph-Saprotroph-Symbiotroph,Animal Pathogen-Endophyte-Fungal Parasite-Lichen Parasite-Plant Pathogen-Wood Saprotroph,Microfungus,Possible,BBRP1,BM,restored,16,9,restored
1,sv_172,68.875,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,unidentified,unidentified,Herpotrichiellaceae,9,Pathotroph-Saprotroph,Animal Pathogen-Fungal Parasite-Undefined Saprotroph,Facultative Yeast-Microfungus,Probable,BBRP1,BM,restored,16,9,restored
1,sv_175,0.125,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Monocillium,Monocillium_mucidum,Monocillium,13,Saprotroph,Undefined Saprotroph,NULL,Probable,BBRP1,BM,restored,16,9,restored
1,sv_176,14,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusicolla,Fusicolla_aquaeductuum,Nectriaceae,9,Pathotroph-Saprotroph-Symbiotroph,Animal Pathogen-Endophyte-Fungal Parasite-Lichen Parasite-Plant Pathogen-Wood Saprotroph,Microfungus,Possible,BBRP1,BM,restored,16,9,restored
1,sv_192,43.5,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Clitopilus,unidentified,Clitopilus,13,Saprotroph,Undefined Saprotroph,Agaricoid,Probable,BBRP1,BM,restored,16,9,restored
