site_key,sv_num,seq_abund,class,order,family,genus,taxon,site_name,region,yr_since,yr_rank,field_type
1,sv_1,36.714285714285715,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus Douhan3,BBRP1,BM,16,9,restored
1,sv_2,73.42857142857143,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus MO-G15,BBRP1,BM,16,9,restored
1,sv_3,72.42857142857143,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,NA,BBRP1,BM,16,9,restored
1,sv_4,12.857142857142858,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus Whitfield type 17,BBRP1,BM,16,9,restored
1,sv_5,64.28571428571429,Glomeromycetes,Glomerales,Glomeraceae,Glomus,NA,BBRP1,BM,16,9,restored
1,sv_6,37.714285714285715,Glomeromycetes,Glomerales,Claroideoglomeraceae,Claroideoglomus,NA,BBRP1,BM,16,9,restored
1,sv_7,10,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus MO-G23,BBRP1,BM,16,9,restored
1,sv_8,47.57142857142857,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus sp.,BBRP1,BM,16,9,restored
1,sv_10,6.571428571428571,Glomeromycetes,Glomerales,Claroideoglomeraceae,Claroideoglomus,Claroideoglomus Douhan9,BBRP1,BM,16,9,restored
1,sv_11,29,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus sp.,BBRP1,BM,16,9,restored
1,sv_13,17.428571428571427,Glomeromycetes,Glomerales,Glomeraceae,Glomus,NA,BBRP1,BM,16,9,restored
1,sv_14,39.857142857142854,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus sp.,BBRP1,BM,16,9,restored
1,sv_15,11.285714285714286,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus viscosum,BBRP1,BM,16,9,restored
1,sv_19,20.285714285714285,Glomeromycetes,Glomerales,Glomeraceae,Glomus,NA,BBRP1,BM,16,9,restored
1,sv_20,18.428571428571427,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus sp.,BBRP1,BM,16,9,restored
1,sv_21,9,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus MO-G23,BBRP1,BM,16,9,restored
1,sv_22,1.2857142857142858,Glomeromycetes,Glomerales,Claroideoglomeraceae,Claroideoglomus,Claroideoglomus ORVIN GLO4,BBRP1,BM,16,9,restored
1,sv_23,4.285714285714286,Glomeromycetes,Glomerales,Glomeraceae,Glomus,NA,BBRP1,BM,16,9,restored
1,sv_25,3.5714285714285716,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus MO-G22,BBRP1,BM,16,9,restored
1,sv_26,1.2857142857142858,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus MO-G23,BBRP1,BM,16,9,restored
1,sv_28,0.14285714285714285,Glomeromycetes,Glomerales,Glomeraceae,Glomus,NA,BBRP1,BM,16,9,restored
1,sv_29,10,Glomeromycetes,Glomerales,Glomeraceae,Glomus,NA,BBRP1,BM,16,9,restored
1,sv_31,6.428571428571429,Glomeromycetes,Glomerales,Glomeraceae,Glomus,NA,BBRP1,BM,16,9,restored
1,sv_35,0.2857142857142857,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus MO-G18,BBRP1,BM,16,9,restored
1,sv_36,3.142857142857143,Glomeromycetes,Glomerales,Claroideoglomeraceae,Claroideoglomus,NA,BBRP1,BM,16,9,restored
1,sv_37,5.428571428571429,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus MO-G22,BBRP1,BM,16,9,restored
1,sv_39,8,Glomeromycetes,Glomerales,Glomeraceae,Glomus,NA,BBRP1,BM,16,9,restored
1,sv_40,20,Glomeromycetes,Glomerales,Glomeraceae,Glomus,NA,BBRP1,BM,16,9,restored
1,sv_42,16.714285714285715,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus sp.,BBRP1,BM,16,9,restored
1,sv_43,9.714285714285714,Glomeromycetes,Glomerales,Glomeraceae,Glomus,NA,BBRP1,BM,16,9,restored
1,sv_44,9,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,NA,BBRP1,BM,16,9,restored
