site_key,otu_1,otu_2,otu_3,otu_4,otu_5,otu_6,otu_7,otu_8,otu_9,otu_10,otu_11,otu_12,otu_13,otu_14,otu_15,otu_16,otu_17,otu_18,otu_19,otu_20,otu_21,otu_22,otu_23,otu_24,otu_25,otu_26,otu_27,otu_28,otu_29,otu_30,otu_31,otu_32,otu_33,otu_34,otu_35,otu_36,otu_37,otu_38,otu_39,otu_40,otu_41,otu_42,otu_43,otu_44,otu_45,otu_46,otu_47,otu_48,otu_49,otu_50,otu_51,otu_52,otu_53,otu_54,otu_55,otu_56,otu_57,otu_58,otu_59,otu_60,otu_61,otu_62,otu_63,otu_64,otu_65,otu_66,otu_67,otu_68,otu_69,otu_70,otu_71,otu_72,otu_73,otu_74,otu_75,otu_76,otu_77,otu_78,otu_79,otu_80,otu_81,otu_82,otu_83,otu_84,otu_85,otu_86,otu_87,otu_88,otu_89,otu_90,otu_91,otu_92,otu_93,otu_94,otu_95,otu_96,otu_97,otu_98,otu_99,otu_100,otu_101,otu_102,otu_103,otu_104,otu_105,otu_106,otu_107,otu_108,otu_109,otu_110,otu_111,otu_112,otu_113,otu_114,otu_115,otu_116,otu_117,otu_118,otu_119,otu_120,otu_121,otu_122,otu_123,otu_124,otu_125,otu_126,otu_127,otu_128,otu_129,otu_130,otu_131,otu_132,otu_133,otu_134,otu_135,otu_136,otu_137,otu_138,otu_140,otu_141,otu_142,otu_143,otu_144,otu_145,otu_146,otu_147
1,34.714285714285715,96.71428571428571,84.14285714285714,11.428571428571429,201.71428571428572,41.57142857142857,49.285714285714285,120.42857142857143,3.7142857142857144,9,72.28571428571429,0.42857142857142855,12,0,28,1.2857142857142858,23.571428571428573,0.5714285714285714,9.714285714285714,6.571428571428571,0,0,5.571428571428571,9.142857142857142,4.285714285714286,0,0,19,13.285714285714286,2.2857142857142856,0,3.5714285714285716,0,14.428571428571429,0.5714285714285714,0,15.428571428571429,10.571428571428571,0,0,0,0,0,2.2857142857142856,3.5714285714285716,0,0,83,47.714285714285715,0.42857142857142855,0,0,0,11.571428571428571,2.142857142857143,0,10.285714285714286,1.4285714285714286,0,0,10.571428571428571,0,6.714285714285714,0,0,0.42857142857142855,0,9.285714285714286,23.571428571428573,8,0,2.7142857142857144,0,4,0,3.4285714285714284,0,1,0,0,0,3,0,0,8.857142857142858,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.142857142857143,0,15.142857142857142,0,0,0,0,0,0,0,0,0.2857142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8571428571428571,0,0,0.7142857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0.5714285714285714,0,0,0,0
2,130,1.4285714285714286,203.28571428571428,0,136.14285714285714,46.285714285714285,16.714285714285715,0,47.285714285714285,46.714285714285715,0,21.142857142857142,5.285714285714286,0,119.28571428571429,52.42857142857143,13.285714285714286,35.142857142857146,0,3.7142857142857144,0,0,1.5714285714285714,29.142857142857142,31.285714285714285,16.571428571428573,0,0,6.428571428571429,0.7142857142857143,0.5714285714285714,46.285714285714285,0,0.14285714285714285,6.714285714285714,30,0,1.1428571428571428,15.142857142857142,0,0,10.857142857142858,0,0.2857142857142857,1.5714285714285714,59.857142857142854,12.714285714285714,0,0,0,0,0.8571428571428571,0,0,0,0,0,0,0,0.42857142857142855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.142857142857142,0,0,0,1,0,0,0,0,0,3.7142857142857144,0,1.1428571428571428,0,0,0,0,0,0.2857142857142857,0.5714285714285714,0.8571428571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8571428571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1.2857142857142858,3.2857142857142856,1.5714285714285714,123.28571428571429,76,18.714285714285715,49.42857142857143,0,32.714285714285715,1.8571428571428572,0,1.5714285714285714,179.28571428571428,0,0,0,18,0,46,63.285714285714285,356.2857142857143,2.2857142857142856,0,0,0.14285714285714285,0.7142857142857143,0,0,12.714285714285714,0,6.428571428571429,0,11,0,0.14285714285714285,34.57142857142857,0,0,13.571428571428571,0,26.857142857142858,0,0,0,31.285714285714285,0,0,0,0,0,0,0.42857142857142855,0,0,4.571428571428571,18.285714285714285,0,0,0,0.7142857142857143,0,0,0,0.8571428571428571,0,0,0,0,0,0,0,0,24.285714285714285,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.714285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.8571428571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,107.85714285714286,139.14285714285714,0,46.57142857142857,50,43.42857142857143,25.714285714285715,51.285714285714285,208.42857142857142,69.42857142857143,0.8571428571428571,40.142857142857146,39.142857142857146,1.4285714285714286,0,0,8.571428571428571,18.428571428571427,30.714285714285715,21.285714285714285,2.2857142857142856,36.714285714285715,0,0.5714285714285714,1.1428571428571428,0,0,0,6,11.428571428571429,9.857142857142858,0,0,4.714285714285714,2.4285714285714284,0,0,2.142857142857143,0,0,0,0,0,2.5714285714285716,6.571428571428571,0,0,0,7.714285714285714,0,25.142857142857142,22,61.857142857142854,0,29.714285714285715,0,0,0,0,5.285714285714286,0.5714285714285714,0,0,4,0,0,0,1.4285714285714286,0,0,0,0,0,0,0,0.8571428571428571,0,0,6.428571428571429,0,9.857142857142858,0,2.4285714285714284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7142857142857143,0,0,1.2857142857142858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5714285714285714,0,0,0,0,1.1428571428571428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285
5,30.714285714285715,69,1.1428571428571428,1.8571428571428572,129,45.57142857142857,27.142857142857142,0.5714285714285714,73.57142857142857,89,3.2857142857142856,46.285714285714285,8.142857142857142,175.85714285714286,0,2.142857142857143,16.285714285714285,17.714285714285715,41.714285714285715,4.857142857142857,34.57142857142857,83.57142857142857,0,8.714285714285714,3.7142857142857144,2.142857142857143,0,0,12.142857142857142,0,16.571428571428573,0,1.1428571428571428,0,2.142857142857143,51,0,8.285714285714286,51.142857142857146,0,0,8.285714285714286,0,0.7142857142857143,1.4285714285714286,1.7142857142857142,3.4285714285714284,0,0,0,48.42857142857143,1.1428571428571428,0,0,8.285714285714286,1.2857142857142858,0,0,10.571428571428571,10.142857142857142,0,0,0,1.1428571428571428,0,0,0,0,0,0,0,0,1.8571428571428572,0,0,0,0,0,0,0.42857142857142855,3.4285714285714284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285,0,0,2.857142857142857,0,4.571428571428571,0,0,0,0,0,0,0,0.5714285714285714,0,0,0.42857142857142855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285,0
6,22.142857142857142,3,133.14285714285714,236.28571428571428,52.42857142857143,53.857142857142854,91,0,8.857142857142858,3.5714285714285716,0,11.571428571428571,83.57142857142857,0.14285714285714285,0,7.428571428571429,29,1.8571428571428572,2.2857142857142856,26.285714285714285,3.2857142857142856,41.142857142857146,7.285714285714286,1.2857142857142858,1.5714285714285714,1.8571428571428572,174.57142857142858,0,13.428571428571429,0.2857142857142857,2.7142857142857144,0,27.428571428571427,0,0,1,0,46,0.14285714285714285,0,0.14285714285714285,0,1.5714285714285714,0.14285714285714285,20.142857142857142,0,2,0,0,3.2857142857142856,0,0.5714285714285714,0,0,0,4.285714285714286,3.2857142857142856,0,3,0.5714285714285714,0,0,1.5714285714285714,0,1.7142857142857142,20.857142857142858,0,0,0,0,0,0,0,0,0,0,0,0,4.428571428571429,0,0,0,0,1.1428571428571428,0,0,0,0,0,0,0,0.2857142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,9.142857142857142,1.7142857142857142,0,0,0,0,0,0,0,0.42857142857142855,0,0,0,0,0,0,0,0,0,0,0,0,1.2857142857142858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.42857142857142855,0,83.14285714285714,86.14285714285714,245.85714285714286,14.142857142857142,19.142857142857142,7.142857142857143,0.5714285714285714,0,0,0,187.57142857142858,10.285714285714286,0,0,11,0,59.42857142857143,119.85714285714286,35.57142857142857,2.142857142857143,0,0,0,0,1.4285714285714286,0,4.142857142857143,0,0,0,15.428571428571429,1.7142857142857142,0.5714285714285714,1.4285714285714286,0,67.71428571428571,0,0,57.857142857142854,0,80.42857142857143,13.571428571428571,13.714285714285714,0,1,0,0,0,0,0,0,0,0.8571428571428571,14.285714285714286,0,0,0,0,0,0,0,0,0,0,7.142857142857143,0,0,0,0,0,0,0,0,0,0,1.5714285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.714285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,66.71428571428571,103,9.857142857142858,52.142857142857146,57.857142857142854,44.857142857142854,64.42857142857143,36.714285714285715,29.142857142857142,62.714285714285715,161.57142857142858,30.571428571428573,14.714285714285714,6.857142857142857,19.857142857142858,9.428571428571429,26.857142857142858,13.857142857142858,2.5714285714285716,8,45.42857142857143,42.285714285714285,2,6.285714285714286,8.428571428571429,1.2857142857142858,0,0,20.714285714285715,17.857142857142858,2,34.57142857142857,2.857142857142857,4.285714285714286,5.571428571428571,26.285714285714285,0,8.857142857142858,3.2857142857142856,16,0,3.5714285714285716,0,2.857142857142857,3.4285714285714284,4.857142857142857,9.714285714285714,0,0,4.857142857142857,0,0,1,0.5714285714285714,30.142857142857142,0,7.142857142857143,0,4,0,0,0,0,7.285714285714286,0,0,0,0,0,0.8571428571428571,0,0,0,0,0,0,0,0,0,0.7142857142857143,8.142857142857142,0,0,0,0,0,0,0,5.714285714285714,0,2.2857142857142856,0,1.8571428571428572,0,0,0,0,0,0,1.2857142857142858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,36.57142857142857,104.42857142857143,6.857142857142857,137.57142857142858,13,19.142857142857142,67.71428571428571,174,57,52.285714285714285,116.57142857142857,9.285714285714286,21.142857142857142,11.714285714285714,11.857142857142858,0,25.428571428571427,0,0,10,0,8.571428571428571,0,4.571428571428571,2.142857142857143,0,0,0,16.714285714285715,13.571428571428571,0,0,0,16.285714285714285,0,12.714285714285714,13.857142857142858,3.4285714285714284,3.5714285714285716,7.285714285714286,0,0,0,2.4285714285714284,2.2857142857142856,0.7142857142857143,16.142857142857142,0,15.857142857142858,5,0,0,0,0.14285714285714285,34.142857142857146,0,2.5714285714285716,3.2857142857142856,0,9.857142857142858,0.5714285714285714,0,0,36.714285714285715,0,0,0,1.4285714285714286,0,13.714285714285714,0,2,0,0,28.714285714285715,0.7142857142857143,0,0,3.142857142857143,0,0,0,0,0,0,0,0,0,7.285714285714286,0,0,0,0,0,0,0,0,0,0,2.2857142857142856,0.42857142857142855,0,0,0,0,0,0,0,0,0,0,0,0,2.857142857142857,0,0,0,0,0,0,0,0,0.42857142857142855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,69.57142857142857,77.28571428571429,3,81.28571428571429,21.142857142857142,35.42857142857143,85.14285714285714,268.57142857142856,4.428571428571429,46.42857142857143,87.14285714285714,46.714285714285715,5.714285714285714,1.4285714285714286,5.428571428571429,0,25,0.5714285714285714,0.7142857142857143,5.428571428571429,0,5.571428571428571,0,8.571428571428571,3.5714285714285716,0,0,0,21.142857142857142,0,0,0,0,22.857142857142858,0,0,37.714285714285715,0,0,20.285714285714285,0,0,0,0.2857142857142857,1.8571428571428572,0,0,0,67,12,0.5714285714285714,0,0,4,17.285714285714285,0,0,6.428571428571429,0,0,5.857142857142857,0,0,2.2857142857142856,0,0,0,9.428571428571429,0,11.428571428571429,0.2857142857142857,2.2857142857142856,0,0.8571428571428571,20.285714285714285,2.2857142857142856,0,0.2857142857142857,3.4285714285714284,0,1.1428571428571428,0,0,0,0,0,0,0,9.285714285714286,0,0,0,0,0,0,0,1.2857142857142858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
