field_key,otu_1,otu_2,otu_3,otu_4,otu_5,otu_6,otu_7,otu_8,otu_9,otu_10,otu_11,otu_12,otu_13,otu_14,otu_15,otu_16,otu_17,otu_18,otu_19,otu_20,otu_21,otu_22,otu_23,otu_24,otu_25,otu_26,otu_27,otu_28,otu_29,otu_30,otu_31,otu_32,otu_33,otu_34,otu_35,otu_36,otu_37,otu_38,otu_39,otu_40,otu_41,otu_42,otu_43,otu_44,otu_45,otu_46,otu_47,otu_48,otu_49,otu_50,otu_51,otu_52,otu_53,otu_54,otu_55,otu_56,otu_57,otu_58,otu_59,otu_60,otu_61,otu_62,otu_63,otu_64,otu_65,otu_66,otu_67,otu_68,otu_69,otu_70,otu_71,otu_72,otu_73,otu_74,otu_75,otu_76,otu_77,otu_78,otu_79,otu_80,otu_81,otu_82,otu_83,otu_84,otu_85,otu_86,otu_87,otu_88,otu_89,otu_90,otu_91,otu_92,otu_93,otu_94,otu_95,otu_96,otu_97,otu_98,otu_99,otu_100,otu_101,otu_102,otu_103,otu_105,otu_107,otu_108,otu_109,otu_110,otu_111,otu_112,otu_113,otu_114,otu_115,otu_116,otu_117,otu_118,otu_119,otu_120,otu_121,otu_122,otu_123,otu_124,otu_125,otu_127,otu_129,otu_130,otu_131,otu_132,otu_133,otu_134,otu_135,otu_137,otu_139,otu_140,otu_141,otu_142,otu_143,otu_144,otu_145,otu_146,otu_147,otu_148,otu_149,otu_150,otu_151,otu_152
1,568,1644,1542,297,3551,800,1034,2298,87,172,1485,8,148,0,541,19,344,12,221,95,0,0,109,97,60,0,0,394,221,32,0,49,0,288,27,0,342,177,0,0,0,0,0,44,57,0,0,1783,776,11,0,0,0,220,20,0,202,47,0,0,178,0,93,0,0,14,0,148,456,163,0,30,0,65,0,52,0,32,0,0,0,46,0,0,154,0,0,0,0,0,0,3,14,0,0,0,0,0,0,43,0,225,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
2,4373,25,9072,0,4175,1415,462,0,1400,1265,0,504,119,0,3388,1294,399,1183,0,94,0,0,59,905,957,498,0,0,178,0,0,1224,0,6,190,769,0,40,382,0,0,184,0,35,20,1946,314,0,0,0,0,37,0,0,0,0,13,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,339,0,159,0,35,0,0,0,0,0,174,0,20,0,0,0,0,0,26,17,30,0,0,0,0,0,0,0,0,12,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,44,350,31,3454,1386,595,1974,0,570,25,0,14,4126,0,0,0,615,0,1340,1784,6598,82,16,0,7,12,0,0,615,0,208,0,424,0,15,734,0,171,336,0,550,0,0,0,662,0,0,0,0,0,0,26,0,0,77,954,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,605,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3402,3525,0,1223,1124,1298,466,1810,5069,2188,580,861,1483,41,0,0,206,565,364,781,1140,18,0,21,61,0,0,0,88,338,253,0,0,172,87,0,0,21,0,0,0,0,0,56,322,0,0,0,226,0,657,504,1895,0,1045,0,0,0,0,157,20,0,0,174,0,0,0,67,0,0,16,0,0,0,77,15,0,0,21,0,428,0,18,0,0,0,0,0,0,0,0,0,0,0,163,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,27,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
5,755,2901,27,58,4195,1675,779,18,2256,3249,123,1287,303,5608,0,134,463,637,1500,170,951,3201,0,297,150,54,0,0,305,0,442,0,27,0,38,1219,0,220,997,0,0,287,0,32,90,65,109,0,0,0,1341,73,0,0,188,44,0,0,591,330,0,0,0,30,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,14,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,123,117,0,0,0,0,0,40,14,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
6,725,125,6648,4679,1610,1895,2840,5,725,149,6,330,599,9,13,143,1003,64,112,306,57,1679,519,61,49,82,3894,0,389,15,57,0,1116,0,77,39,0,1637,24,0,9,0,766,18,103,0,63,0,0,134,0,13,0,0,0,106,164,0,119,43,0,0,0,0,17,1340,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,21,9,0,0,0,0,0,0,0,0,0,15,0,41,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
7,16,0,1677,1294,5984,1262,67,112,166,0,0,0,4330,0,0,7,104,0,0,2648,1021,124,0,0,0,0,55,0,19,0,0,0,401,22,46,53,0,1103,0,0,1425,0,3631,215,106,0,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0,0,0,0,0,583,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2221,2617,454,624,1688,1706,2341,1161,1126,2343,3033,1038,334,403,267,891,942,373,201,132,1018,2156,34,120,423,68,0,0,731,726,0,1310,57,82,239,490,0,320,0,542,0,181,0,79,63,40,137,0,353,211,0,6,0,223,678,0,704,0,173,0,0,0,0,181,0,0,0,77,0,300,0,0,0,0,0,0,0,31,0,0,208,2,0,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
9,725,2699,211,3035,487,489,1616,4418,1811,1397,4372,239,501,317,345,0,731,0,0,216,0,129,0,83,65,0,0,0,378,189,0,0,0,486,0,225,584,73,59,230,0,0,0,42,81,13,432,0,487,75,0,0,0,8,725,0,74,121,0,273,14,0,0,752,0,0,0,71,0,296,0,59,0,0,626,12,0,0,67,0,0,0,0,0,0,0,0,0,230,0,0,0,0,0,0,0,0,0,0,60,27,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1850,1234,165,2431,192,708,1627,4483,228,737,1832,1003,158,16,111,0,552,24,13,122,0,47,371,521,360,0,0,0,411,0,0,0,0,506,10,0,970,0,0,433,0,0,0,4,38,0,31,0,1137,498,0,0,0,107,300,0,0,167,0,35,144,0,272,18,0,0,0,152,0,220,10,102,0,86,236,34,0,18,63,0,36,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,64,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
