field_key,otu_1,otu_2,otu_3,otu_4,otu_5,otu_6,otu_7,otu_8,otu_9,otu_10,otu_11,otu_12,otu_13,otu_14,otu_15,otu_16,otu_17,otu_18,otu_19,otu_20,otu_21,otu_22,otu_23,otu_24,otu_25,otu_26,otu_27,otu_28,otu_29,otu_30,otu_31,otu_32,otu_33,otu_34,otu_35,otu_36,otu_37,otu_38,otu_39,otu_40,otu_41,otu_42,otu_43,otu_44,otu_45,otu_46,otu_47,otu_48,otu_49,otu_50,otu_51,otu_52,otu_53,otu_54,otu_55,otu_56,otu_57,otu_58,otu_59,otu_60,otu_61,otu_62,otu_63,otu_64,otu_65,otu_66,otu_67,otu_68,otu_69,otu_70,otu_71,otu_72,otu_73,otu_74,otu_75,otu_76,otu_77,otu_78,otu_79,otu_80,otu_81,otu_82,otu_83,otu_84,otu_85,otu_86,otu_87,otu_88,otu_89,otu_90,otu_91,otu_92,otu_93,otu_94,otu_95,otu_96,otu_97,otu_98,otu_99,otu_100,otu_101,otu_102,otu_103,otu_105,otu_107,otu_108,otu_109,otu_110,otu_111,otu_112,otu_113,otu_114,otu_115,otu_116,otu_117,otu_118,otu_119,otu_120,otu_121,otu_122,otu_123,otu_124,otu_125,otu_127,otu_129,otu_130,otu_131,otu_132,otu_133,otu_134,otu_135,otu_137,otu_139,otu_140,otu_141,otu_142,otu_143,otu_144,otu_145,otu_146,otu_147,otu_149,otu_150,otu_151
1,483,1381,1300,257,2931,663,876,1913,75,143,1245,6,120,0,441,16,289,8,179,78,0,0,93,77,51,0,0,315,179,25,0,40,0,251,19,0,289,139,0,0,0,0,0,37,48,0,0,1477,652,8,0,0,0,180,17,0,168,43,0,0,144,0,80,0,0,10,0,129,382,133,0,22,0,61,0,40,0,29,0,0,0,42,0,0,125,0,0,0,0,0,0,2,13,0,0,0,0,0,0,37,0,197,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
2,2102,10,4299,0,2002,686,212,0,670,601,0,243,48,0,1583,603,195,577,0,47,0,0,25,429,441,253,0,0,95,0,0,579,0,2,88,376,0,20,181,0,0,88,0,19,10,905,161,0,0,0,0,24,0,0,0,0,7,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,157,0,76,0,14,0,0,0,0,0,76,0,10,0,0,0,0,0,12,7,13,0,0,0,0,0,0,0,0,6,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,22,219,18,2168,875,370,1239,0,349,17,0,7,2527,0,0,0,380,0,861,1106,4184,55,13,0,2,9,0,0,387,0,143,0,256,0,9,458,0,114,197,0,332,0,0,0,412,0,0,0,0,0,0,17,0,0,47,594,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,392,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1877,1913,0,669,594,738,264,967,2698,1203,314,461,799,20,0,0,109,312,183,432,620,13,0,11,25,0,0,0,53,193,141,0,0,92,51,0,0,12,0,0,0,0,0,27,164,0,0,0,127,0,338,254,1035,0,571,0,0,0,0,92,11,0,0,104,0,0,0,35,0,0,7,0,0,0,43,9,0,0,8,0,256,0,10,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,372,1410,14,27,1968,818,385,7,1107,1582,58,628,126,2574,0,62,218,297,712,78,462,1507,0,143,73,34,0,0,159,0,206,0,13,0,17,590,0,100,512,0,0,123,0,18,40,29,49,0,0,0,634,36,0,0,93,12,0,0,286,162,0,0,0,11,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,6,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,63,65,0,0,0,0,0,11,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,361,70,3422,2365,835,994,1468,1,354,82,5,179,292,1,8,71,518,40,59,158,27,863,267,24,27,41,2046,0,204,6,36,0,594,0,40,24,0,847,15,0,5,0,394,7,61,0,32,0,0,61,0,6,0,0,0,64,82,0,70,22,0,0,0,0,9,698,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,0,9,0,22,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
7,8,0,1129,875,3980,827,48,81,107,0,0,0,2931,0,0,5,56,0,0,1770,695,93,0,0,0,0,37,0,12,0,0,0,279,10,24,41,0,739,0,0,977,0,2449,145,74,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,408,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1094,1345,228,299,855,853,1162,597,563,1165,1528,530,165,194,132,432,469,191,103,65,501,1047,18,57,230,31,0,0,367,352,0,635,29,43,128,236,0,157,0,279,0,90,0,39,28,24,63,0,180,90,0,2,0,119,314,0,367,0,75,0,0,0,0,91,0,0,0,39,0,160,0,0,0,0,0,0,0,15,0,0,102,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,448,1584,116,1766,282,295,963,2577,1053,806,2511,130,308,183,206,0,438,0,0,138,0,81,0,48,34,0,0,0,232,108,0,0,0,279,0,134,341,51,42,127,0,0,0,27,43,9,247,0,280,49,0,0,0,4,421,0,40,69,0,160,9,0,0,445,0,0,0,36,0,178,0,33,0,0,366,3,0,0,44,0,0,0,0,0,0,0,0,0,146,0,0,0,0,0,0,0,0,0,0,33,14,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1330,860,118,1743,138,509,1198,3253,175,526,1324,736,114,10,75,0,387,20,9,88,0,30,261,381,266,0,0,0,298,0,0,0,0,353,8,0,706,0,0,312,0,0,0,3,29,0,22,0,824,371,0,0,0,69,215,0,0,119,0,27,95,0,194,10,0,0,0,120,0,164,9,64,0,56,158,29,0,12,41,0,27,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,44,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
