field_key,sample,otu_1,otu_2,otu_3,otu_4,otu_5,otu_6,otu_7,otu_8,otu_9,otu_10,otu_11,otu_12,otu_13,otu_14,otu_15,otu_16,otu_17,otu_18,otu_19,otu_20,otu_21,otu_22,otu_23,otu_24,otu_25,otu_26,otu_27,otu_28,otu_29,otu_30,otu_31,otu_32,otu_33,otu_34,otu_35,otu_36,otu_37,otu_38,otu_39,otu_40,otu_41,otu_42,otu_43,otu_44,otu_45,otu_46,otu_47,otu_48,otu_49,otu_50,otu_51,otu_52,otu_53,otu_54,otu_55,otu_56,otu_57,otu_58,otu_59,otu_60,otu_61,otu_62,otu_63,otu_64,otu_65,otu_66,otu_67,otu_68,otu_69,otu_70,otu_71,otu_72,otu_73,otu_74,otu_75,otu_76,otu_77,otu_78,otu_79,otu_80,otu_81,otu_82,otu_83,otu_84,otu_85,otu_86,otu_87,otu_88,otu_89,otu_90,otu_91,otu_92,otu_93,otu_94,otu_95,otu_96,otu_97,otu_98,otu_99,otu_100,otu_101,otu_102,otu_103,otu_105,otu_107,otu_108,otu_109,otu_110,otu_111,otu_112,otu_113,otu_114,otu_115,otu_116,otu_117,otu_118,otu_119,otu_120,otu_121,otu_122,otu_123,otu_124,otu_125,otu_127,otu_129,otu_130,otu_131,otu_132,otu_133,otu_134,otu_135,otu_137,otu_139,otu_140,otu_142,otu_143,otu_144,otu_145,otu_147,otu_148
1,1,86,149,36,0,226,90,66,108,0,10,0,0,51,0,0,11,76,0,0,34,0,0,0,56,25,0,0,0,44,0,0,14,0,14,0,0,0,0,0,0,0,0,0,0,19,0,0,0,90,0,0,0,0,0,17,0,0,0,0,0,54,0,0,0,0,0,0,13,13,0,0,25,0,8,0,12,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,30,63,111,84,300,103,40,56,23,0,0,0,5,0,90,0,19,0,0,7,0,0,0,0,2,0,0,26,5,0,0,0,0,0,7,0,9,0,0,0,0,0,0,0,5,0,0,306,25,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,3,87,10,0,138,7,70,330,0,0,341,0,0,0,0,0,21,0,79,0,0,0,0,0,0,0,0,0,24,0,0,0,0,43,0,0,103,0,0,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,20,0,0,34,0,0,0,0,0,0,0,22,0,0,0,0,15,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,0,0,196,6,222,86,227,8,0,7,0,0,0,0,4,3,38,4,0,0,0,0,34,0,0,0,0,82,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,36,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,3,0,12,80,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,7,31,71,158,0,302,65,13,90,0,0,56,0,34,0,100,0,7,0,0,21,0,0,7,11,0,0,0,25,0,20,0,22,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,74,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,8,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,8,70,227,52,0,55,11,22,328,12,54,0,3,0,0,18,0,5,0,0,0,0,0,0,0,3,0,0,0,8,0,0,0,0,53,3,0,0,75,0,0,0,0,0,12,0,0,0,78,12,3,0,0,0,90,0,0,0,0,0,0,0,0,36,0,0,0,0,0,13,76,0,0,0,0,0,0,0,14,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
1,10,68,178,103,0,316,13,9,75,0,19,167,0,3,0,41,0,7,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,94,142,0,0,0,0,2,0,0,0,0,0,0,8,0,0,0,0,0,0,27,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,285,0,586,0,77,65,9,0,68,7,0,0,5,0,28,55,2,73,0,3,0,0,0,10,9,0,0,0,8,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,42,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,151,8,32,0,86,171,40,0,91,112,0,16,15,0,154,153,19,4,0,10,0,0,0,50,10,0,0,0,15,0,0,137,0,0,8,28,0,0,16,0,0,10,0,0,2,0,17,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,5,89,0,510,0,304,4,0,0,75,25,0,0,0,0,156,6,4,81,0,0,0,0,0,13,48,20,0,0,0,0,0,0,0,0,14,3,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
