otu_num,phylum,class,order,family,genus,species,taxon,taxon_level,trophic_mode,guild,confidence,primary_lifestyle
otu_1,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Scutellinia,unidentified,Scutellinia,13,Saprotroph,Undefined Saprotroph,Probable,wood_saprotroph
otu_2,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,NA,NA,Ceratobasidiaceae,9,Pathotroph-Saprotroph-Symbiotroph,Endomycorrhizal-Plant Pathogen-Undefined Saprotroph,Possible,NA
otu_3,Basidiomycota,Agaricomycetes,Agaricales,Clavariaceae,NA,NA,Clavariaceae,9,Saprotroph-Symbiotroph,Lichenized-Undefined Saprotroph,Probable,NA
otu_4,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Wojnowiciella,NA,Phaeosphaeriaceae,9,Pathotroph-Saprotroph,Fungal Parasite-Plant Pathogen-Plant Saprotroph,Probable,litter_saprotroph
otu_5,Ascomycota,Dothideomycetes,Venturiales,Sympoventuriaceae,Ochroconis,unidentified,Ochroconis,13,Saprotroph,Undefined Saprotroph,Probable,animal_parasite
otu_6,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,NA,NA,Tricholomataceae,9,Pathotroph-Symbiotroph,Ectomycorrhizal-Fungal Parasite,Probable,NA
otu_7,Ascomycota,Sordariomycetes,Hypocreales,Bionectriaceae,Clonostachys,Clonostachys_phyllophila,Clonostachys,13,Pathotroph,Plant Pathogen,Probable,wood_saprotroph
otu_8,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,NA,NA,Thelephoraceae,9,Saprotroph-Symbiotroph,Ectomycorrhizal-Undefined Saprotroph,Probable,NA
otu_9,Glomeromycota,Glomeromycetes,Diversisporales,Diversisporaceae,Diversispora,NA,Diversispora,13,Symbiotroph,Arbuscular Mycorrhizal,Highly Probable,arbuscular_mycorrhizal
otu_10,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Septoglomus,unidentified,Septoglomus,13,Symbiotroph,Arbuscular Mycorrhizal,Highly Probable,arbuscular_mycorrhizal
otu_11,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Chlorociboria,unidentified,Helotiaceae,9,Saprotroph-Symbiotroph,Ectomycorrhizal-Fungal Parasite-Plant Pathogen-Wood Saprotroph,Probable,NA
otu_12,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Paraphoma,Paraphoma_chlamydocopiosa,Phaeosphaeriaceae,9,Pathotroph-Saprotroph,Fungal Parasite-Plant Pathogen-Plant Saprotroph,Probable,plant_pathogen
otu_13,Ascomycota,Dothideomycetes,Pleosporales,Thyridariaceae,Parathyridaria,NA,Thyridariaceae,9,Saprotroph,Wood Saprotroph,Probable,litter_saprotroph
otu_14,Basidiomycota,Agaricomycetes,Agaricales,Hymenogastraceae,Hymenogaster,Hymenogaster_griseus,Hymenogaster,13,Symbiotroph,Ectomycorrhizal,Possible,ectomycorrhizal
otu_15,Ascomycota,Sordariomycetes,Chaetosphaeriales,Chaetosphaeriaceae,Chaetosphaeria,unidentified,Chaetosphaeriaceae,9,Saprotroph,Plant Saprotroph-Wood Saprotroph,Probable,litter_saprotroph
otu_16,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Mycena,Mycena_strobilinoidea,Mycena,13,Pathotroph-Saprotroph,Leaf Saprotroph-Plant Pathogen-Undefined Saprotroph-Wood Saprotroph,Probable,NA
otu_17,Ascomycota,Sordariomycetes,Coniochaetales,Coniochaetaceae,Coniochaeta,unidentified,Coniochaeta,13,Pathotroph-Saprotroph-Symbiotroph,Animal Pathogen-Dung Saprotroph-Endophyte-Lichen Parasite-Plant Pathogen-Undefined Saprotroph,Possible,unspecified_saprotroph
otu_18,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,NA,NA,Helotiaceae,9,Saprotroph-Symbiotroph,Ectomycorrhizal-Fungal Parasite-Plant Pathogen-Wood Saprotroph,Probable,NA
otu_19,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,NA,NA,Nectriaceae,9,Pathotroph-Saprotroph-Symbiotroph,Animal Pathogen-Endophyte-Fungal Parasite-Lichen Parasite-Plant Pathogen-Wood Saprotroph,Possible,NA
otu_20,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Psathyrella,unidentified,Psathyrella,13,Saprotroph,Wood Saprotroph,Probable,wood_saprotroph
otu_21,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella,NA,Tomentella,13,Symbiotroph,Ectomycorrhizal,Highly Probable,ectomycorrhizal
otu_22,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,NA,NA,Glomeraceae,9,Symbiotroph,Arbuscular Mycorrhizal,Highly Probable,NA
otu_23,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Neoascochyta,Neoascochyta_argentina,Didymellaceae,9,Pathotroph-Saprotroph,Animal Pathogen-Plant Pathogen-Undefined Saprotroph,Possible,plant_pathogen
otu_24,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,NA,NA,Mycosphaerellaceae,9,Pathotroph-Saprotroph,Plant Pathogen-Undefined Saprotroph,Probable,NA
otu_25,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,NA,NA,Mycosphaerellaceae,9,Pathotroph-Saprotroph,Plant Pathogen-Undefined Saprotroph,Probable,NA
otu_26,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,NA,NA,Sporormiaceae,9,Saprotroph,Dung Saprotroph-Plant Saprotroph,Probable,NA
otu_27,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,NA,NA,Lasiosphaeriaceae,9,Saprotroph,Undefined Saprotroph,Probable,NA
otu_28,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,NA,NA,Thelephoraceae,9,Saprotroph-Symbiotroph,Ectomycorrhizal-Undefined Saprotroph,Probable,NA
otu_29,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Metapochonia,Metapochonia_suchlasporia,Clavicipitaceae,9,Pathotroph-Symbiotroph,Endophyte-Epiphyte-Fungal Parasite-Insect Parasite,Possible,animal_parasite
otu_30,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,Mortierella_ambigua,Mortierella,13,Saprotroph-Symbiotroph,Endophyte-Litter Saprotroph-Soil Saprotroph-Undefined Saprotroph,Probable,soil_saprotroph
