otu_num,otu_ID,kingdom,phylum,class,order,family,genus,species,taxon,taxon_level,trophic_mode,guild,growth_morphology,trait,confidence,notes,citation
otu_1,00007a6f7315029edc714e195bd1580c,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Scutellinia,unidentified,Scutellinia,13,Saprotroph,Undefined Saprotroph,Pezizoid,NULL,Probable,Common name - eye lash cup,"b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'"
otu_2,00135c65f130f5fc93fe0d4261c1b155,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,NA,NA,Ceratobasidiaceae,9,Pathotroph-Saprotroph-Symbiotroph,Endomycorrhizal-Plant Pathogen-Undefined Saprotroph,Microfungus,NULL,Possible,"Best known as plant pathogens, but also saprobic. Species are endomycorrhizal with a wide range of plant roots - especially of Orchidaceae but also even bryophytes (Cannon & Kirk 2007)","b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)'"
otu_3,001c7fea0c4120e35b65a9e20e19f83b,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Clavariaceae,NA,NA,Clavariaceae,9,Saprotroph-Symbiotroph,Lichenized-Undefined Saprotroph,Clavarioid,NULL,Probable,"Most species are presumed saprobic on the ground or rotten wood, but many Multiclavula species are lichenized with green algae (Cannon & Kirk 2007)","b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)'"
otu_4,00d54ded85c83ddbbbd10c41156d2579,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Wojnowiciella,NA,Phaeosphaeriaceae,9,Pathotroph-Saprotroph,Fungal Parasite-Plant Pathogen-Plant Saprotroph,Microfungus,NULL,Probable,"Necrotrophic or saprobic on a wide range of plants, especially monocotyledons; a few species parasitic on other fungi (Cannon & Kirk 2007)","b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)'"
otu_5,00d6ebc4488fddd08a5cab27fb255a27,Fungi,Ascomycota,Dothideomycetes,Venturiales,Sympoventuriaceae,Ochroconis,unidentified,Ochroconis,13,Saprotroph,Undefined Saprotroph,NULL,NULL,Probable,NULL,"b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'"
otu_6,00ead8fbf513ec61c4d1d5f1ece48572,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,NA,NA,Tricholomataceae,9,Pathotroph-Symbiotroph,Ectomycorrhizal-Fungal Parasite,Agaricoid,NULL,Probable,"Tricholoma species are ectomycorrhizal, occurring in coniferous and broadleaved forests (Cannon & Kirk 2007); T. sclerotoideum is parasitic on Helvella spp.","b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)'"
otu_7,00fd9255bab43a09d46265517043a2a4,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Bionectriaceae,Clonostachys,Clonostachys_phyllophila,Clonostachys,13,Pathotroph,Plant Pathogen,NULL,NULL,Probable,NULL,"b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'"
otu_8,012f61028e82933679c70bb3fc07722a,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,NA,NA,Thelephoraceae,9,Saprotroph-Symbiotroph,Ectomycorrhizal-Undefined Saprotroph,Clavarioid,NULL,Probable,"On the ground, on soil, a few on wood. At least some speices ectomycorrhizal (Cannon & Kirk 2007)","b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)'"
otu_9,01a9e089bb3c606fca6acb7fd777cd82,Fungi,Glomeromycota,Glomeromycetes,Diversisporales,Diversisporaceae,Diversispora,NA,Diversispora,13,Symbiotroph,Arbuscular Mycorrhizal,NULL,NULL,Highly Probable,NULL,"b'Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))'"
otu_10,01ce9d94bfd687a14e42766015ce4924,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Septoglomus,unidentified,Septoglomus,13,Symbiotroph,Arbuscular Mycorrhizal,NULL,NULL,Highly Probable,NULL,"b'Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))'"
otu_11,01d0898d5353ed86a8cee44fcc0d3434,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Chlorociboria,unidentified,Helotiaceae,9,Saprotroph-Symbiotroph,Ectomycorrhizal-Fungal Parasite-Plant Pathogen-Wood Saprotroph,Microfungus,NULL,Probable,"Usually saprobic on herbaceous or woody tissues, some species fungicolous. A few species are known to form mycorrhizae (Cannon & Kirk 2007)","b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)'"
otu_12,02582b36e6d6b53b9b515d5b7bef0066,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Paraphoma,Paraphoma_chlamydocopiosa,Phaeosphaeriaceae,9,Pathotroph-Saprotroph,Fungal Parasite-Plant Pathogen-Plant Saprotroph,Microfungus,NULL,Probable,"Necrotrophic or saprobic on a wide range of plants, especially monocotyledons; a few species parasitic on other fungi (Cannon & Kirk 2007)","b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)'"
otu_13,025f982f4e31df15c0c32da55702cf32,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Thyridariaceae,Parathyridaria,NA,Thyridariaceae,9,Saprotroph,Wood Saprotroph,Microfungus,NULL,Probable,Saprobic on wood and bark (Cannon & Kirk 2007),"b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)'"
otu_14,0260bbec0f06300c9c2abc44d64b7a90,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hymenogastraceae,Hymenogaster,Hymenogaster_griseus,Hymenogaster,13,Symbiotroph,Ectomycorrhizal,Gasteroid,Hypogeous,Possible,Common name - false truffle,"b'Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)) (as ECM/not ECM); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x; sensu stricto)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html)) ((as ECM/not ECM))'"
