SITE,ACENEG,ACHMIL,AGASCR,AGEALT,ALLCER,AMBART,AMBTRI,AMOCAN,AMPBRA,ANDGER,ANECAN,ANECYL,ANTPLA,APOCAN,AQUCAN,ARNATR,ARTCAM,ARTLUD,ASACAN,ASCSYR,ASCTUB,ASCVIR,ASTCAN,AVEFAT,BAPLAC,BAPLEU,BARESOIL,BARVUL,BIDVUL,BOTVIR,BOUCUR,BRIEUP,BROINE,BROKAL,BUTUMB,CALCAN,CARACA,CARBLA,CAREX1,CAREX2,CAREX3,CARSIC,CERARV,CHEALB,CIRARV,CIRDIS,CIRMUT,CIRVUL,COMUMB,CONARV,CONCAN,CORAME,CORFOE,CORPAL,CORTRI,DALPUR,DAUCAR,DESCAN,DESILL,DICANT,DRYARG,ECHPAL,ECHPUR,ELYCAN,ELYREP,ELYVIR,EQUARV,EREHIE,ERIANN,ERICIL,ERIVIL,ERYYUC,EUPCOR,EUPPER,EUTGRA,FESTUCA,FRAVIR,GALAPA,GALBOR,GALPAL,GAUBIE,GENAND,GERMAC,GEUALE,GEUCAN,GEUTRI,GLEHED,HELAUT,HELGIG,HELGRO,HELHEL,HELHIR,HELMOL,HELPAU,HELSTR,HEURIC,HIEAUR,HIECAE,HYPASC,HYPPUN,LACLUD,LACSER,LATPAL,LECSTR,LESCAP,LESVIR,LEUVUL,LIAASP,LIALIN,LIAPYC,LIASPI,LITTER,LOBCAR,LOBSIL,LOBSPI,MEDLUP,MEDSAT,MELALB,MONFIS,MONPUN,MOSS,MUHFRO,NAPDIO,OENBIE,OXASTR,PANCAP,PANVIR,PARINT,PASSAT,PEDCAN,PENDIG,PHAARU,PHLPIL,PHLPRA,PHYALK,PHYLON,PLALAN,PLAMAJ,POAANN,POAPRA,POLAVI,POLPOL,POPTRE,POTREC,PRIMEA,PRUAME,PSEOBT,PYCTEN,PYCVIR,QUEVEL,RATPIN,RHACAT,ROSA,ROSCAR,RUBALL,RUBFLA,RUBIDA,RUDHIR,RUDSUB,RUDTRI,RUMACE,RUMCRI,SALIX,SCHSCO,SENHEB,SETFAR,SILINT,SILLAC,SILLAT,SILPER,SILTER,SOLCAN,SOLGIG,SOLNEM,SOLPTY,SOLRID,SOLRIG,SOLSPE,SORNUT,SPAPEC,SPIALB,SPOCRY,SPOHET,SYMBOR,SYMCOR,SYMERI,SYMFAL,SYMLAE,SYMLAT,SYMNOV,SYMOOL,SYMPIL,SYMPUN,SYMSER,SYMURO,TAROFF,THADAS,TRIHYB,TRIPRA,TRIREP,VACANG,VERHAS,VERSTR,VERURT,VERVIR,VIOSAG,VIOSOR,VITRIP,ZEAMAY,ZIZAPT,ZIZAUR
BBRP1,0,0,0,0.2,0,0.2,0,0,0.2,14.5,0,0,0,0,0,0.9,0,0,0,0,0.8,0,0,0,2.8,0,1.2,0.2,0,0,0.4,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,2,0,0.1,0,0,0,0,0,0,0,0,0,0,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,8.3,0,0,0,0,0,0,2.1,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0.3,0,0,0,0,0,7.2,0,0,0,2.1,0,0,0.8,0,0,0,0,4.6,0.4,0,0,0,8.5,7,16.5,0,0,0,0,0,0,0,0,1,0,4.6,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERRP1,0.2,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0.7,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.1,0,7.7,0,0,0,0,0,0,0,0,0,0,0,5.9,0,0,0,0,0,1.3,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,6.7,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,3.2,0,0,0,0,2,0,0.9,0,0,0,0,0.6,0.4,0,14.2,0,0,0,0,0,0,0,0.1,0,0.4,0,0,10.6,0,0,0,0.1,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0.1,2.1,14.9,0,0.1,0,0,0,0,0,0,0,0.5,0,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,7.6,0.2,0,0,0,0,0,1.9,0,0,1.9,0,0,0.7,0,1,0,0,0,0,0,0,1.4
FGC1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0
FGREM1,0,0,0,0,0,0,2.4,0,0,3.9,12.1,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,6.1,0,0,0,0,0,0,0,0,0,0,0,6.5,3.8,0,0,0,0,0,0,0.1,0,7.4,0,0,0,1.3,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.4,0,0,0,0.5,0.8,0,0.2,0,0,0.4,0,0,2.6,2.2,0,0,0,0,0,0,0.2,0,0,0,0,0.2,0,0.2,0,0,0,0,0,0,0,0.2,2.1,0,0,0.2,0.1,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0.1,0,0,1,0,0,0,0,0,1.5,0,5.9,0,4.4,0,0,0,0,0.9,0,0,0,0,0.4,0,0,0,0,1.1,0,0,4.9,1.8,2.5,0,0,0.6,0,0,3.6,1.9,5.8,0,0,0.2,0,0,0,0,0.1,0.5,0,0,0,0,0,0,2.3,0,0,0,0,0,0,0,0,0.9,0.7,0,0,0,2.9
FGRP1,0,0,0,0,0,0.1,0,0,0,0.5,0,0,0,0.3,0,0,0,0,0,0,0,0,0.5,0,0,0,5.1,0,0,0,0,0,0.7,0,0,1.2,0,0.1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,9.3,0,0,0,0,0,0.3,0.5,0,0,0,0,0,6.5,0,0,0,5.5,0.1,0,0,0,0,0,0,0.1,0,0,0,0,4.8,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0.8,0,0.1,0.9,0,0,0,0,0,0,0,0,0,0,0,1.5,0.6,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0.5,0,4,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.6,0,0,5.8,3.7,7.4,0.1,0,1,6.7,0,12,4,0,0,0,0,0.4,1,0,0,0.5,0,0,0,0.6,0.8,0,0.5,0,1.7,0,0,0,0.1,0,0,1.6,0,0.4,0,0,0,0
KORP1,0,0,0,0,0,0,0,0,0,41.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,29.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.8,5.6,0,0.1,0,0.5,0,4.2,0,0,0,0,0,0,1.3,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPC1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0
LPREM1,0,0,0,0,0,0,0,0,0,8.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.9,0,0.8,0,0,0,0,0,0,0,0,0,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4,0,12.4,0,0,0.6,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,1.3,0,5.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0.1,1.3,0,0,0,0,2.3,0,0,0,0,0,0,18.6,0,0,0,0,0,0.3,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,4.2,0.7,0,0,0,0,0,0.3,0,0,0,0,2.1,0,0,0,0.3,0,0,0,0,2.5,0,0,1,0,0,0,2.8,0,0,0,0,0,0,0,0,1.7,0,6.7,0,2.7,0,0,0,0,0,0,0,0,0,1.4,0.1,0,0,0,0.3,5.9,0,0,0
LPRP1,0,3.6,0,0,0,0,0,0,0,2.6,0,0,0.2,0,0,0,0.1,14.1,0,0.2,0,0,0,0,0.3,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0.4,0,0,0,0,0,0,0,0,0,2.3,0,0,0,1.6,0,0,0,11.1,1.8,0,4,0,0,0,3.7,0,0,0,0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6.3,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.2,0,0,0,0,0,8.8,0,0,0,0,0.5,0,1.5,0,0,0,0,0,0,0.3,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,1.3,0,7,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9,0,0,0,0,0.7,0,1.2,0,0,0,0,0,0,5.1,0,3.6,0,3.9,0,0,0,0,0,0,0,0,1.2,0,0,0.3,0,0,0,0,0,0,0,0,0
LPRP2,0,1.2,0,0,0,0,0,0,0,1.7,0,0,0,0,0,0,0,8.2,0,0,0,0,0,0.1,0,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.2,1.3,0,2.6,0,0,0,10.1,0.1,0,3.9,0,0,0,0,0,0.4,0,0,3,0.6,0,0,0,0,0.2,0,0,0,0,0,0,0,0.7,0,1.9,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,4.1,0.2,0,0,0,0,0,1.5,0,0,0,0,0,0,2.8,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1,0,5.5,0,0,0,0,0,0,1.4,0,0,0,0,0,0,5,0,0.7,0.7,0,0,0,5.3,0,0,0,0,0,0.4,12.9,0,0,0,0,0,0,0,0,6.8,0,2.7,0,0,0,0,0,0,0,0,0,0,0,0.1,0.4,0,0,0,0,0,0,0,0
