CODE,FAMILY,GENUS,SPECIES,NAME,LIFEFORM,LIFEHIST,STATUS,PHOTOSYSTEM,CATEGORY
ACENEG,Aceraceae,Acer,negundo,Acer negundo,tree,perennial,native,C3,shrubTree
ACHMIL,Asteraceae,Achillea,millefolium,Achillea millefolium,forb,perennial,native,C3,forb
AGASCR,Lamiaceae,Agastache,scrophulariaefolia,Agastache scrophulariaefolia,forb,perennial,native,NA,forb
AGEALT,Asteraceae,Ageratina,altissima,Ageratina altissima,forb,perennial,native,C3,forb
ALLCAN,Liliaceae,Allium,canadense,Allium canadense,forb,perennial,native,C3,forb
ALLCER,Liliaceae,Allium,cernuum,Allium cernuum,forb,perennial,native,C3,forb
AMBART,Asteraceae,Ambrosia,artemesiifolia,Ambrosia artemisiifolia,forb,annual,native,C3,forb
AMBTRI,Asteraceae,Ambrosia,trifida,Ambrosia trifida,forb,annual,native,C3,forb
AMOCAN,Fabaceae,Amorpha,canescens,Amorpha canescens,shrub,perennial,native,C3,shrubTree
AMPBRA,Fabaceae,Amphicarpaea,bracteata,Amphicarpaea bracteata,forb,annual,native,C3,legume
ANDGER,Poaceae,Andropogon,gerardii,Andropogon gerardii,grass,perennial,native,C4,C4-grass
ANECAN,Ranunculaceae,Anemone,canadensis,Anemone canadensis,forb,perennial,native,C3,forb
ANECYL,Ranunculaceae,Anemone,cylindrica,Anemone cylindrica,forb,perennial,native,C3,forb
ANTPLA,Asteraceae,Antennaria,plantaginifolia,Antennaria plantaginifolia,forb,perennial,native,C3,forb
APOCAN,Apocynaceae,Apocynum,cannabinum,Apocynum cannabinum,forb,perennial,native,C3,forb
APOSIB,Apocynaceae,Apocynum,sibiricum,Apocynum sibiricum,forb,perennial,native,NA,forb
AQUCAN,Ranunculaceae,Aquilegia,canadensis,Aquilegia canadensis,forb,perennial,native,C3,forb
ARNATR,Asteraceae,Arnoglossum,atriplicifolium,Arnoglossum atriplicifolium,forb,perennial,native,NA,forb
ARTCAM,Asteraceae,Artemisia,campestris,Artemisia campestris,forb,biennial,native,C3,forb
ARTLUD,Asteraceae,Artemisia,ludoviciana,Artemisia ludoviciana,forb,perennial,native,C3,forb
ASACAN,Aristolochiaceae,Asarum,canadense,Asarum canadense,forb,perennial,native,C3,forb
ASCINC,Asclepiadaceae,Asclepias,incarnata,Asclepias incarnata,forb,perennial,native,C3,forb
ASCMEA,Asclepiadaceae,Asclepias,meadii,Asclepias meadii,forb,perennial,native,NA,forb
ASCSUL,Asclepiadaceae,Asclepias,sullivantii,Asclepias sullivantii,forb,perennial,native,NA,forb
ASCSYR,Asclepiadaceae,Asclepias,syriaca,Asclepias syriaca,forb,perennial,native,C3,forb
ASCTUB,Asclepiadaceae,Asclepias,tuberosa,Asclepias tuberosa,forb,perennial,native,C3,forb
ASCVER,Asclepiadaceae,Asclepias,verticillata,Asclepias verticillata,forb,perennial,native,C3,forb
ASCVIR,Asclepiadaceae,Asclepias,viridiflora,Asclepias viridiflora,forb,perennial,native,C3,forb
ASTCAN,Fabaceae,Astragalus,canadensis,Astragalus canadensis,forb,perennial,native,C3,legume
ASTERI,Asteraceae,Aster,ericoides,Aster ericoides,forb,perennial,native,C3,forb
ASTLAE,Asteraceae,Aster,laevis,Aster laevis,forb,perennial,native,C3,forb
ASTNOV,Asteraceae,Aster,novae-angliae,Aster novae-angliae,forb,perennial,native,C3,forb
ASTPRA,Asteraceae,Aster,praealtus,Aster praealtus,forb,perennial,native,NA,forb
ASTSAG,Asteraceae,Aster,sagittifolius,Aster sagittifolius,forb,perennial,native,NA,forb
ASTUMB,Asteraceae,Aster,umbellatus,Aster umbellatus,forb,perennial,native,NA,forb
AVEFAT,Poaceae,Avena,fatua,Avena fatua,grass,annual,nonnative,C3,C3-grass
BAPLAC,Fabaceae,Baptisia,lactea,Baptisia lactea,forb,perennial,native,NA,legume
BAPLEU,Fabaceae,Baptisia,leucophaea,Baptisia leucophaea,forb,perennial,native,C3,legume
BARESOIL,,,, ,,,,,bare
BARVUL,Brassicaceae,Barbarea,vulgaris,Barbarea vulgaris,forb,biennial,nonnative,C3,forb
BIDPOL,Asteraceae,Bidens,polylepis,Bidens polylepis,forb,annual/biennial,native,NA,forb
BIDVUL,Asteraceae,Bidens,vulgata,Bidens vulgata,forb,annual,native,C3,forb
BOTVIR,Ophioglossaceae,Botrypus,virginianus,Botrychium virginianum,fern,perennial,native,C3,fern
BOUCUR,Poaceae,Bouteloua,curtipendula,Bouteloua curtipendula,grass,perennial,native,C4,C4-grass
BRIEUP,Asteraceae,Brickellia,eupatoroides,Brickellia eupatoroides,forb,perennial,native,C3,forb
BROINE,Poaceae,Bromus,inermis,Bromus inermis,grass,perennial,nonnative,C3,C3-grass
BROKAL,Poaceae,Bromus,kalmii,Bromus kalmii,grass,perennial,native,C3,C3-grass
BUTUMB,Butomaceae,Butomus,umbellatus,Butomus umbellatus,forb,perennial,nonnative,C3,forb
CALCAN,Poaceae,Calamagrostis,canadensis,Calamagrostis canadensis,grass,perennial,native,C3,C3-grass
CALPAL,Ranunculaceae,Caltha,palustris,Caltha palustris,forb,perennial,native,C3,forb
CALSEP,Convolvulaceae,Calystegia,sepium,Calystegia sepium,forb,perennial,native,C3,forb
CAMSCI,Liliaceae,Camassia,scilloides,Camassia scilloides,forb,perennial,native,C3,forb
CARACA,Asteraceae,Carduus,acanthoides,Carduus acanthoides,forb,biennial,nonnative,C3,forb
CARBIC,Cyperaceae,Carex,bicknellii,Carex bicknellii,sedge,perennial,native,NA,sedge
CARBLA,Cyperaceae,Carex,blanda,Carex blanda,sedge,perennial,native,NA,sedge
CARBRE,Cyperaceae,Carex,brevior,Carex brevior,sedge,perennial,native,C3,sedge
CARCOM,Cyperaceae,Carex,comosa,Carex comosa,sedge,perennial,native,NA,sedge
CARCRI,Cyperaceae,Carex,cristatella,Carex cristatella,sedge,perennial,native,NA,sedge
CAREX1,Cyperaceae,Carex,sp1,Carex sp1,sedge,unknown,unknown,NA,sedge
CAREX2,Cyperaceae,Carex,sp2,Carex sp2,sedge,unknown,unknown,NA,sedge
CAREX3,Cyperaceae,Carex,sp3,Carex sp3,sedge,unknown,unknown,NA,sedge
CARFES,Cyperaceae,Carex,festucacea,Carex festucacea,sedge,perennial,native,NA,sedge
CARSAR,Cyperaceae,Carex,sartwellii,Carex sartwellii,sedge,perennial,native,NA,sedge
CARSCO,Cyperaceae,Carex,scoparia,Carex scoparia,sedge,perennial,native,NA,sedge
CARSIC,Cyperaceae,Carex,siccata,Carex siccata,sedge,perennial,native,NA,sedge
CARTEN,Cyperaceae,Carex,tenera,Carex tenera,sedge,perennial,native,NA,sedge
CARTET,Cyperaceae,Carex,tetanica,Carex tetanica,sedge,perennial,native,NA,sedge
CARVUL,Cyperaceae,Carex,vulpinoidea,Carex vulpinoidea,sedge,perennial,native,C3,sedge
CEAAME,Rhamnaceae,Ceanothus,americanus,Ceanothus americanus,shrub,perennial,native,C3,shrubTree
CERARV,Caryophyllaceae,Cerastium,arvense,Cerastium arvense,forb,perennial,native,C3,forb
CHEALB,Chenopodiaceae,Chenopodium,album,Chenopodium album,forb,annual,native,C3/C4,forb
CICMAC,Apiaceae,Cicuta,maculata,Cicuta maculata,forb,perennial,native,C3,forb
CIRARV,Asteraceae,Cirsium,arvense,Cirsium arvense,forb,perennial,nonnative,C3,forb
CIRDIS,Asteraceae,Cirsium,discolor,Cirsium discolor,forb,biennial,native,C3,forb
CIRMUT,Asteraceae,Cirsium,muticum,Cirsium muticum,forb,biennial,native,NA,forb
CIRVUL,Asteraceae,Cirsium,vulgare,Cirsium vulgare,forb,biennial,nonnative,C3,forb
COMUMB,Santalaceae,Comandra,umbellata,Comandra umbellata,forb,perennial,native,C3,forb
CONARV,Convolvulaceae,Convolvulus,arvensis,Convolvulus arvensis,forb,perennial,nonnative,C3,forb
CONCAN,Asteraceae,Conyza,canadensis,Conyza canadensis,forb,annual,native,C3,forb
CORAME,Betulaceae,Corylus,americana,Corylus americana,shrub,perennial,native,C3,shrubTree
CORFOE,Cornaceae,Cornus,foemina,Cornus foemina,shrub,perennial,native,C3,shrubTree
CORPAL,Asteraceae,Coreopsis,palmata,Coreopsis palmata,forb,perennial,native,C3,forb
CORTRI,Asteraceae,Coreopsis,tripteris,Coreopsis tripteris,forb,perennial,native,NA,forb
CUSSPP,Convolvulaceae,Cuscuta,sp,Cuscuta sp,forb,unknown,unknown,NA,forb
CYPCAN,Orchidaceae,Cypripedium,candidum,Cypripedium candidum,forb,perennial,native,NA,forb
DALCAN,Fabaceae,Dalea,candida,Dalea candida,forb,perennial,native,C3,legume
DALPUR,Fabaceae,Dalea,purpurea,Dalea purpurea,forb,perennial,native,NA,legume
DAUCAR,Apiaceae,Daucus,carota,Daucus carota,forb,biennial,nonnative,C3,forb
DESCAN,Fabaceae,Desmodium,canadense,Desmodium canadense,forb,perennial,native,C3,legume
DESILL,Fabaceae,Desmodium,illinoense,Desmodium illinoense,forb,perennial,native,C3,legume
DICACU,Poaceae,Dichanthelium,acuminatum,Dichanthelium acuminatum,grass,perennial,native,C3/C4,C4-grass
DICANT,Poaceae,Dichanthelium,sp,Dichanthelium sp,grass,perennial,native,C3,C3-grass
DICLEI,Poaceae,Dichanthelium,leibergii,Dichanthelium leibergii,grass,perennial,native,C3/C4,C4-grass
DODMEA,Primulaceae,Dodecatheon,meadia,Dodecatheon meadia,forb,perennial,native,C3,forb
DRYARG,Rosaceae,Drymocallis,arguta,Drymocallis arguta,forb,perennial,native,C3,forb
ECHPAL,Asteraceae,Echinacea,pallida,Echinacea pallida,forb,perennial,native,NA,forb
ECHPUR,Asteraceae,Echinacea,pupurea,Echinacea purpurea,forb,perennial,native,C3,forb
ELECOM,Cyperaceae,Eleocharis,compressa,Eleocharis compressa,sedge,perennial,native,NA,sedge
ELYCAN,Poaceae,Elymus,canadensis,Elymus canadensis,grass,perennial,native,C3,C3-grass
ELYREP,Poaceae,Elymus,repens,Elymus repens,grass,perennial,nonnative,C3,C3-grass
ELYVIR,Poaceae,Elymus,virginicus,Elymus virginicus,grass,perennial,native,C3,C3-grass
EPICOL,Onagraceae,Epilobium,coloratum,Epilobium coloratum,forb,perennial,native,C3,forb
