phylum,class,corn,restored,remnant
Basidiomycota,Agaricomycetes,294.42,198.93,348.22
Ascomycota,Eurotiomycetes,44.33,324.76,296.72
Ascomycota,Sordariomycetes,683.85,327.27,272.72
Ascomycota,Leotiomycetes,151.93,173.24,214.84
Ascomycota,Dothideomycetes,306.6,196.48,179.88
Mortierellomycota,Mortierellomycetes,213.57,192.94,121.78
Ascomycota,Geoglossomycetes,0.22,103.25,95.88
Glomeromycota,Glomeromycetes,6.12,27.18,24.66
Ascomycota,Pezizomycetes,22.75,11.08,6
Glomeromycota,NA,0.69,9.17,4.83
Chytridiomycota,Spizellomycetes,13.32,6.34,4.16
Glomeromycota,unidentified,0.62,1.91,3.19
Chytridiomycota,Rhizophlyctidomycetes,12.53,6.68,3.12
Mucoromycota,Umbelopsidomycetes,0,0.25,3.12
Basidiomycota,Tremellomycetes,1.85,0.84,1.81
Basidiomycota,Ustilaginomycetes,2.44,4.15,1.75
Basidiomycota,Cystobasidiomycetes,2.33,0.91,1.5
Ascomycota,Pezizomycotina_cls_Incertae_sedis,1.38,0.38,1.38
Ascomycota,Orbiliomycetes,0.25,2.78,1
Chytridiomycota,Chytridiomycetes,0.25,1.09,0.81
Basidiomycota,Microbotryomycetes,2.75,0.75,0.62
Glomeromycota,Archaeosporomycetes,0,1.34,0.62
Ascomycota,Lecanoromycetes,0,2.88,0.44
Basidiobolomycota,Basidiobolomycetes,0.62,0.94,0.25
Basidiomycota,Geminibasidiomycetes,1.12,3.02,0.12
Ascomycota,Arthoniomycetes,0,0.38,0
Basidiomycota,Atractiellomycetes,0,0.5,0
Basidiomycota,Exobasidiomycetes,0.62,1.4,0
Basidiomycota,Pucciniomycetes,0,2.25,0
Calcarisporiellomycota,Calcarisporiellomycetes,0,0.25,0
Chytridiomycota,Rhizophydiomycetes,0,0.25,0
Glomeromycota,Paraglomeromycetes,0.38,1.41,0
Mucoromycota,Mucoromycetes,0,0.56,0
