phylum,class,corn,restored,remnant
Basidiomycota,Agaricomycetes,294.7,198.4,352.47
Ascomycota,Eurotiomycetes,44.55,324.21,282.69
Ascomycota,Sordariomycetes,687.45,325.82,280.38
Ascomycota,Leotiomycetes,141.95,172.67,222.53
Ascomycota,Dothideomycetes,301.18,197.87,179.84
Mortierellomycota,Mortierellomycetes,213.72,191.55,118.56
Ascomycota,Geoglossomycetes,0.22,105.14,98.84
Glomeromycota,Glomeromycetes,6.42,26.44,23.16
Glomeromycota,NA,0.44,9.15,7.25
Ascomycota,Pezizomycetes,23.7,11.51,5.81
Chytridiomycota,Spizellomycetes,13.07,6.53,4.09
Mucoromycota,Umbelopsidomycetes,0,0.12,3.25
Chytridiomycota,Rhizophlyctidomycetes,12.2,6.96,2.81
Basidiomycota,Ustilaginomycetes,2.38,5.78,1.71
Basidiomycota,Tremellomycetes,2.15,0.91,1.56
Basidiomycota,Cystobasidiomycetes,2.33,1.25,1.12
Chytridiomycota,Chytridiomycetes,0.25,1.12,1
Basidiomycota,Microbotryomycetes,2.67,0.66,0.88
Ascomycota,Orbiliomycetes,0.25,2.76,0.83
Glomeromycota,Archaeosporomycetes,0.25,1.31,0.62
Ascomycota,Lecanoromycetes,0,3.44,0.5
Basidiomycota,Geminibasidiomycetes,1.88,3.97,0.5
Basidiobolomycota,Basidiobolomycetes,0.62,0.92,0.25
Entorrhizomycota,Entorrhizomycetes,0,0,0.25
Mucoromycota,Mucoromycetes,0,0.75,0.12
Ascomycota,Arthoniomycetes,0,0.5,0
Ascomycota,Pezizomycotina_cls_Incertae_sedis,1.25,0,0
Basidiomycota,Atractiellomycetes,0,0.75,0
Basidiomycota,Exobasidiomycetes,0.5,1.21,0
Basidiomycota,Pucciniomycetes,0,1.88,0
Calcarisporiellomycota,Calcarisporiellomycetes,0,0.38,0
Glomeromycota,Paraglomeromycetes,0.12,1.05,0
Glomeromycota,unidentified,0.25,1.19,0
