otu_num,A,B,stat,p.value,field_type,primary_lifestyle,phylum,class,order,family,genus,species
otu_537,1,1,1,5e-4,corn,soil_saprotroph,Basidiomycota,Agaricomycetes,Agaricales,Bolbitiaceae,Conocybe,Conocybe_apala
otu_204,0.9904911797494917,1,0.9952342336101043,5e-4,corn,unidentified,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,unidentified,unidentified
otu_172,0.9816733067729083,1,0.9907942807530271,5e-4,corn,plant_pathogen,Ascomycota,Dothideomycetes,Pleosporales,Corynesporascaceae,Corynespora,Corynespora_cassiicola
otu_9,0.9729170636108767,1,0.9863655831439359,0.0025,corn,soil_saprotroph,Basidiomycota,Tremellomycetes,Cystofilobasidiales,Mrakiaceae,Tausonia,Tausonia_pullulans
otu_59,0.9637155297532657,1,0.9816901393786461,5e-4,corn,soil_saprotroph,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,unidentified
otu_188,0.963482743806387,1,0.9815715683567791,5e-4,corn,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified
otu_200,0.9590301941856549,1,0.9793008701035933,5e-4,corn,plant_pathogen,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Ophiosphaerella,unidentified
otu_694,0.9566517189835575,1,0.9780857421430688,5e-4,corn,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified
otu_21,0.9202057832180238,1,0.959273570582461,0.001,corn,plant_pathogen,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Setophoma,Setophoma_terrestris
otu_364,0.91900415730874,1,0.9586470452198452,5e-4,corn,unidentified,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Cladorrhinum,unidentified
otu_461,0.8431743032593293,0.875,0.8589397623535152,0.013,restored,unidentified,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,unidentified,unidentified
otu_179,0.8910798122065727,0.8125,0.8508832748490478,0.028,restored,plant_pathogen,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,Rhizoctonia,Rhizoctonia_fusispora
otu_229,0.8673754896474539,0.8125,0.8394894789921767,0.0305,restored,unidentified,Ascomycota,Dothideomycetes,Tubeufiales,Tubeufiaceae,unidentified,unidentified
otu_35,0.7007525919688438,1,0.8371096654374764,0.024,restored,animal_parasite,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Metarhizium,unidentified
otu_177,0.9339080459770115,0.75,0.8369175792649828,0.028,restored,unidentified,Ascomycota,Dothideomycetes,Pleosporales,unidentified,unidentified,unidentified
otu_267,1,0.6875,0.82915619758885,0.029,restored,litter_saprotroph,Basidiomycota,Agaricomycetes,Sebacinales,Sebacinaceae,Efibulobasidium,unidentified
otu_32,0.6621711253592748,1,0.8137389786407401,0.0495,restored,unidentified,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,unidentified,unidentified
otu_817,0.9547169811320755,0.6875,0.8101653686305665,0.0295,restored,unidentified,Ascomycota,unidentified,unidentified,unidentified,unidentified,unidentified
otu_318,0.8673469387755102,0.75,0.8065421279025867,0.046,restored,unidentified,Ascomycota,Dothideomycetes,Tubeufiales,unidentified,unidentified,unidentified
otu_114,0.6673273868516684,0.9375,0.7909610769016634,0.0105,restored,soil_saprotroph,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,unidentified
otu_772,0.8617363344051447,1,0.9282975462668986,0.004,remnant,unidentified,Ascomycota,Sordariomycetes,unidentified,unidentified,unidentified,unidentified
otu_504,0.8325816970790259,1,0.9124591481699473,0.013,remnant,plant_pathogen,Ascomycota,Dothideomycetes,Pleosporales,Massarinaceae,Stagonospora,unidentified
otu_629,0.8262910798122066,1,0.9090055444342496,0.0025,remnant,unidentified,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,Microscypha,unidentified
otu_135,0.7932082067501769,1,0.8906223704523578,0.0015,remnant,plant_pathogen,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Ilyonectria,unidentified
otu_854,1,0.75,0.8660254037844386,0.002,remnant,unidentified,Ascomycota,unidentified,unidentified,unidentified,unidentified,unidentified
otu_235,0.7485388608559916,1,0.8651814034386035,0.039,remnant,unidentified,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,unidentified,unidentified
otu_1740,0.9371428571428572,0.75,0.8383657572069263,0.0045,remnant,unidentified,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,unidentified,unidentified
otu_1195,0.927536231884058,0.75,0.8340576562282991,0.0105,remnant,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified
otu_140,0.92427638631712306,0.75,0.8325907096153802,0.0455,remnant,soil_saprotroph,Ascomycota,Sordariomycetes,Hypocreales,Stachybotryaceae,Striaticonidium,Striaticonidium_cinctum
otu_372,0.6902606310013717,1,0.8308192529072564,0.029,remnant,soil_saprotroph,Basidiomycota,Agaricomycetes,Agaricales,Clavariaceae,Clavaria,unidentified
