otu_num,A,B,stat,p.value,field_type,primary_lifestyle,phylum,class,order,family,genus,species
otu_172,0.981874676333506,1,0.9908958958102037,5e-4,corn,plant_pathogen,Ascomycota,Dothideomycetes,Pleosporales,Corynesporascaceae,Corynespora,Corynespora_cassiicola
otu_200,0.9604617604617605,1,0.9800315099331044,5e-4,corn,plant_pathogen,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Ophiosphaerella,unidentified
otu_21,0.9100808916563597,1,0.9539815992231505,5e-4,corn,plant_pathogen,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Setophoma,Setophoma_terrestris
otu_553,0.8956461644782309,1,0.9463858433420435,0.0055,corn,plant_pathogen,Ascomycota,Sordariomycetes,Magnaporthales,Magnaporthaceae,Gaeumannomyces,unidentified
otu_1841,1,0.8,0.8944271909999159,0.001,corn,plant_pathogen,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Curvularia,unidentified
otu_432,0.9918585717608747,0.8,0.8907787926352422,0.0015,corn,plant_pathogen,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,unidentified
otu_391,0.7447937933850551,1,0.8630143645299626,0.018,corn,plant_pathogen,Ascomycota,Dothideomycetes,Pleosporales,Torulaceae,Dendryphion,unidentified
otu_13,0.7420441662541715,1,0.8614198548061053,0.0055,corn,plant_pathogen,Ascomycota,Sordariomycetes,Glomerellales,Plectosphaerellaceae,Plectosphaerella,Plectosphaerella_cucumerina
otu_796,0.8825331971399387,0.8,0.8402538650383888,0.007,corn,plant_pathogen,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Cercospora,unidentified
otu_325,1,0.6,0.7745966692414834,0.0065,corn,plant_pathogen,Ascomycota,Sordariomycetes,Diaporthales,Diaporthaceae,Diaporthe,unidentified
otu_758,1,0.6,0.7745966692414834,0.01,corn,plant_pathogen,Ascomycota,Dothideomycetes,Pleosporales,Dictyosporiaceae,Pseudocoleophoma,Pseudocoleophoma_polygonicola
otu_1159,1,0.6,0.7745966692414834,0.0065,corn,plant_pathogen,Ascomycota,Sordariomycetes,Glomerellales,Plectosphaerellaceae,Plectosphaerella,unidentified
otu_521,0.9622312608948286,0.6,0.759828109862288,0.0235,corn,plant_pathogen,Ascomycota,Sordariomycetes,Glomerellales,Plectosphaerellaceae,Lectera,unidentified
otu_1013,0.9037227214377407,0.6,0.7363651491363808,0.0375,corn,plant_pathogen,Ascomycota,Sordariomycetes,Xylariales,Microdochiaceae,Microdochium,Microdochium_colombiense
otu_797,0.6763540290620872,0.8,0.7355835936517818,0.0415,corn,plant_pathogen,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Veronaea,unidentified
otu_740,0.6348476135710178,0.8,0.7126556607905491,0.0465,corn,plant_pathogen,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,unidentified
otu_33,0.5705847102131667,1,0.7553705780695769,0.0495,restored,plant_pathogen,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,unidentified
otu_607,0.801704105344694,0.6875,0.7424093024905313,0.044,restored,plant_pathogen,Ascomycota,Dothideomycetes,Pleosporales,Didymosphaeriaceae,Pseudopithomyces,unidentified
otu_504,0.8276526888383943,1,0.909754191437662,0.016,remnant,plant_pathogen,Ascomycota,Dothideomycetes,Pleosporales,Massarinaceae,Stagonospora,unidentified
otu_135,0.7909313409764266,1,0.8893432076405748,0.006,remnant,plant_pathogen,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Ilyonectria,unidentified
otu_942,0.9955156950672646,0.5,0.705519558576254,0.0275,remnant,plant_pathogen,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Curvularia,unidentified
otu_319,0.6084359835759612,0.75,0.6755197907404127,0.049,remnant,plant_pathogen,Basidiomycota,Ustilaginomycetes,Ustilaginales,Ustilaginaceae,Ustilago,Ustilago_nunavutica
