otu_num,A,B,stat,p.value,field_type,primary_lifestyle,phylum,class,order,family,genus,species
otu_537,1,1,1,5e-4,corn,soil_saprotroph,Basidiomycota,Agaricomycetes,Agaricales,Bolbitiaceae,Conocybe,Conocybe_apala
otu_9,0.9696969696969697,1,0.9847319278346619,0.003,corn,soil_saprotroph,Basidiomycota,Tremellomycetes,Cystofilobasidiales,Mrakiaceae,Tausonia,Tausonia_pullulans
otu_59,0.9582199532834059,1,0.9788870993548776,5e-4,corn,soil_saprotroph,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,unidentified
otu_134,0.9079362178462101,1,0.9528568716476836,0.001,corn,soil_saprotroph,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,unidentified
otu_89,0.9880543357072971,0.8,0.8890688772900768,0.007,corn,soil_saprotroph,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,unidentified
otu_61,0.9017807967688636,0.8,0.8493671982217649,0.036,corn,soil_saprotroph,Basidiomycota,Agaricomycetes,Phallales,Phallaceae,Phallus,Phallus_rugulosus
otu_41,0.6685878962536023,1,0.8176722425603075,0.0085,corn,soil_saprotroph,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,Mortierella_minutissima
otu_1053,0.7894406033940917,0.8,0.7947027637521298,0.016,corn,soil_saprotroph,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,unidentified
otu_346,0.7187617969044924,0.8,0.7582937672983959,0.0355,corn,soil_saprotroph,Ascomycota,Pezizomycetes,Pezizales,Ascodesmidaceae,Cephaliophora,unidentified
otu_534,0.891906378417009,0.6,0.7315352534568689,0.0205,corn,soil_saprotroph,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Pseudaleuria,unidentified
otu_114,0.7455701953657429,0.9375,0.8360454880898431,0.001,restored,soil_saprotroph,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,unidentified
otu_140,0.923501033769814,0.75,0.8322414164936521,0.0455,remnant,soil_saprotroph,Ascomycota,Sordariomycetes,Hypocreales,Stachybotryaceae,Striaticonidium,Striaticonidium_cinctum
otu_372,0.680089485458613,1,0.8246753818676856,0.023,remnant,soil_saprotroph,Basidiomycota,Agaricomycetes,Agaricales,Clavariaceae,Clavaria,unidentified
otu_2138,1,0.5,0.7071067811865476,0.0185,remnant,soil_saprotroph,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Gymnostellatospora,unidentified
