field_name	BBRP1	ERRP1	FGC1	FGREM1	FGRP1	FLC1	FLC2	FLREM1	FLRP1	FLRP4	FLRP5	FLRSP1	FLRSP2	FLRSP3	KORP1	LPC1	LPREM1	LPRP1	LPRP2	MBREM1	MBRP1	MHRP1	MHRP2	PHC1	PHRP1
BBRP1	0	0.310282327	0.476875636	0.430048762	0.426251225	0.360205131	0.447814071	0.295001182	0.297349405	0.253850197	0.249557021	0.347082672	0.252399761	0.310235485	0.192180493	0.40412802	0.32608844	0.37660664	0.342810231	0.410542213	0.36901437	0.382771283	0.331248744	0.482525543	0.332411961
ERRP1	0.310282327	0	0.411787382	0.486721325	0.350086091	0.330342058	0.398111616	0.367683902	0.38578249	0.394591581	0.328975433	0.318203533	0.320635439	0.385508115	0.348128968	0.396353897	0.362450094	0.312436283	0.346066305	0.541898467	0.371085646	0.338233745	0.29989948	0.411291456	0.304203443
FGC1	0.476875636	0.411787382	0	0.445791816	0.249537384	0.329125133	0.323305097	0.404398959	0.467394171	0.472874105	0.469121962	0.534307631	0.484797847	0.489194567	0.446156517	0.295337525	0.478194377	0.287371278	0.345418537	0.5694198	0.399385189	0.39632853	0.329147761	0.29172952	0.362981577
FGREM1	0.430048762	0.486721325	0.445791816	0	0.418359899	0.473356821	0.525902191	0.404903261	0.354477203	0.309588985	0.371416501	0.442256574	0.420375106	0.444300955	0.384125564	0.501091452	0.465831335	0.449394242	0.471733243	0.540301317	0.511027051	0.416462263	0.456033379	0.501290631	0.394072992
FGRP1	0.426251225	0.350086091	0.249537384	0.418359899	0	0.248125963	0.35595504	0.301249477	0.416058027	0.4304793	0.387144759	0.458359808	0.439095398	0.496941806	0.373320715	0.313222969	0.484898985	0.250140819	0.342047348	0.563641473	0.383798473	0.249565195	0.246785629	0.313863987	0.286743627
FLC1	0.360205131	0.330342058	0.329125133	0.473356821	0.248125963	0	0.342023069	0.301961728	0.420100873	0.42576328	0.350843038	0.34586144	0.39793741	0.388760702	0.360759275	0.307588701	0.419069529	0.27493214	0.294011159	0.514776477	0.330839992	0.265409753	0.225803609	0.369271881	0.264237794
FLC2	0.447814071	0.398111616	0.323305097	0.525902191	0.35595504	0.342023069	0	0.371070852	0.456456244	0.487826252	0.454900023	0.4901735	0.445353933	0.467400974	0.44688136	0.241709137	0.492697469	0.340553863	0.35449025	0.629943441	0.401205974	0.396574957	0.355089797	0.424547811	0.324170301
FLREM1	0.295001182	0.367683902	0.404398959	0.404903261	0.301249477	0.301961728	0.371070852	0	0.276642294	0.29102455	0.25746875	0.374548919	0.34720449	0.394555012	0.324152306	0.315335129	0.44159322	0.333739828	0.3668125	0.55155099	0.386063505	0.241775183	0.285717706	0.427366856	0.28386048
FLRP1	0.297349405	0.38578249	0.467394171	0.354477203	0.416058027	0.420100873	0.456456244	0.276642294	0	0.174311047	0.184196403	0.366708199	0.275281101	0.311243633	0.288039602	0.428194194	0.441969205	0.469271854	0.429388378	0.443384456	0.438695344	0.293477111	0.409291037	0.527591774	0.408397261
FLRP4	0.253850197	0.394591581	0.472874105	0.309588985	0.4304793	0.42576328	0.487826252	0.29102455	0.174311047	0	0.199642091	0.324888538	0.277101775	0.269793007	0.280774615	0.442830875	0.406783137	0.444001518	0.398936175	0.449570938	0.433471274	0.348428351	0.413430999	0.526823084	0.40837265
