#OTU ID	18S_TGP_1_1	18S_TGP_1_10	18S_TGP_1_2	18S_TGP_1_4	18S_TGP_1_5	18S_TGP_1_6	18S_TGP_1_7	18S_TGP_1_8	18S_TGP_1_9	18S_TGP_10_1	18S_TGP_10_10	18S_TGP_10_2	18S_TGP_10_3	18S_TGP_10_4	18S_TGP_10_5	18S_TGP_10_6	18S_TGP_10_7	18S_TGP_10_8	18S_TGP_10_9	18S_TGP_11_1	18S_TGP_11_10	18S_TGP_11_2	18S_TGP_11_3	18S_TGP_11_4	18S_TGP_11_5	18S_TGP_11_6	18S_TGP_11_7	18S_TGP_11_8	18S_TGP_11_9	18S_TGP_12_1	18S_TGP_12_10	18S_TGP_12_2	18S_TGP_12_3	18S_TGP_12_4	18S_TGP_12_5	18S_TGP_12_6	18S_TGP_12_7	18S_TGP_12_8	18S_TGP_12_9	18S_TGP_13_1	18S_TGP_13_10	18S_TGP_13_2	18S_TGP_13_3	18S_TGP_13_4	18S_TGP_13_5	18S_TGP_13_6	18S_TGP_13_7	18S_TGP_13_8	18S_TGP_13_9	18S_TGP_14_1	18S_TGP_14_2	18S_TGP_14_3	18S_TGP_14_4	18S_TGP_14_5	18S_TGP_14_6	18S_TGP_14_7	18S_TGP_14_8	18S_TGP_14_9	18S_TGP_15_1	18S_TGP_15_10	18S_TGP_15_2	18S_TGP_15_3	18S_TGP_15_4	18S_TGP_15_5	18S_TGP_15_6	18S_TGP_15_7	18S_TGP_15_8	18S_TGP_15_9	18S_TGP_16_1	18S_TGP_16_10	18S_TGP_16_2	18S_TGP_16_3	18S_TGP_16_4	18S_TGP_16_5	18S_TGP_16_6	18S_TGP_16_7	18S_TGP_16_8	18S_TGP_16_9	18S_TGP_17_1	18S_TGP_17_10	18S_TGP_17_2	18S_TGP_17_3	18S_TGP_17_4	18S_TGP_17_5	18S_TGP_17_6	18S_TGP_17_7	18S_TGP_17_8	18S_TGP_17_9	18S_TGP_18_1	18S_TGP_18_10	18S_TGP_18_2	18S_TGP_18_3	18S_TGP_18_4	18S_TGP_18_5	18S_TGP_18_6	18S_TGP_18_7	18S_TGP_18_8	18S_TGP_18_9	18S_TGP_19_1	18S_TGP_19_10	18S_TGP_19_2	18S_TGP_19_3	18S_TGP_19_4	18S_TGP_19_5	18S_TGP_19_6	18S_TGP_19_7	18S_TGP_19_8	18S_TGP_19_9	18S_TGP_2_1	18S_TGP_2_10	18S_TGP_2_2	18S_TGP_2_3	18S_TGP_2_4	18S_TGP_2_5	18S_TGP_2_6	18S_TGP_2_7	18S_TGP_2_8	18S_TGP_2_9	18S_TGP_20_1	18S_TGP_20_10	18S_TGP_20_2	18S_TGP_20_3	18S_TGP_20_4	18S_TGP_20_5	18S_TGP_20_6	18S_TGP_20_7	18S_TGP_20_8	18S_TGP_20_9	18S_TGP_21_1	18S_TGP_21_10	18S_TGP_21_2	18S_TGP_21_3	18S_TGP_21_4	18S_TGP_21_5	18S_TGP_21_7	18S_TGP_21_8	18S_TGP_21_9	18S_TGP_22_1	18S_TGP_22_10	18S_TGP_22_2	18S_TGP_22_3	18S_TGP_22_4	18S_TGP_22_5	18S_TGP_22_6	18S_TGP_22_7	18S_TGP_22_8	18S_TGP_22_9	18S_TGP_23_1	18S_TGP_23_10	18S_TGP_23_2	18S_TGP_23_3	18S_TGP_23_4	18S_TGP_23_5	18S_TGP_23_6	18S_TGP_23_7	18S_TGP_23_8	18S_TGP_23_9	18S_TGP_24_1	18S_TGP_24_10	18S_TGP_24_2	18S_TGP_24_3	18S_TGP_24_4	18S_TGP_24_5	18S_TGP_24_6	18S_TGP_24_7	18S_TGP_24_8	18S_TGP_24_9	18S_TGP_25_1	18S_TGP_25_10	18S_TGP_25_2	18S_TGP_25_3	18S_TGP_25_4	18S_TGP_25_5	18S_TGP_25_6	18S_TGP_25_7	18S_TGP_25_8	18S_TGP_25_9	18S_TGP_3_1	18S_TGP_3_10	18S_TGP_3_2	18S_TGP_3_3	18S_TGP_3_4	18S_TGP_3_5	18S_TGP_3_6	18S_TGP_3_7	18S_TGP_3_8	18S_TGP_3_9	18S_TGP_4_1	18S_TGP_4_10	18S_TGP_4_2	18S_TGP_4_3	18S_TGP_4_4	18S_TGP_4_5	18S_TGP_4_6	18S_TGP_4_7	18S_TGP_4_8	18S_TGP_4_9	18S_TGP_5_1	18S_TGP_5_10	18S_TGP_5_2	18S_TGP_5_3	18S_TGP_5_4	18S_TGP_5_5	18S_TGP_5_6	18S_TGP_5_7	18S_TGP_5_8	18S_TGP_5_9	18S_TGP_6_1	18S_TGP_6_10	18S_TGP_6_2	18S_TGP_6_3	18S_TGP_6_4	18S_TGP_6_5	18S_TGP_6_6	18S_TGP_6_7	18S_TGP_6_8	18S_TGP_6_9	18S_TGP_7_1	18S_TGP_7_10	18S_TGP_7_2	18S_TGP_7_3	18S_TGP_7_4	18S_TGP_7_5	18S_TGP_7_6	18S_TGP_7_7	18S_TGP_7_8	18S_TGP_7_9	18S_TGP_8_1	18S_TGP_8_10	18S_TGP_8_2	18S_TGP_8_3	18S_TGP_8_4	18S_TGP_8_5	18S_TGP_8_6	18S_TGP_8_7	18S_TGP_8_8	18S_TGP_8_9	18S_TGP_9_1	18S_TGP_9_10	18S_TGP_9_2	18S_TGP_9_3	18S_TGP_9_5	18S_TGP_9_6	18S_TGP_9_7	18S_TGP_9_8	18S_TGP_9_9	18S_TGP_Blank_1
320f3edc7b48ba5691766ccc71b0d898	120	144	102	17	0	0	55	130	23	399	21	80	235	0	745	325	92	17	358	278	84	91	28	41	356	11	51	442	20	125	185	76	26	145	116	1228	320	425	214	597	231	0	4	33	103	24	44	840	453	111	334	85	80	135	150	203	780	153	103	0	320	246	0	559	501	248	7	9	0	12	0	0	0	8	0	0	0	84	434	5	106	94	467	1517	340	359	0	21	586	56	0	321	592	318	0	1396	0	0	252	674	618	1577	714	0	0	0	322	21	1251	743	505	454	224	393	0	1621	352	302	0	0	119	0	202	259	0	0	0	0	42	315	383	14	230	168	196	55	0	186	467	0	112	576	1377	805	425	362	157	46	125	303	646	696	62	891	230	474	147	5	0	0	0	0	0	0	0	0	0	201	164	918	676	333	517	760	482	524	277	25	0	15	0	4	0	0	0	0	0	344	49	433	307	909	191	668	550	122	436	0	158	99	0	29	110	19	64	434	145	0	17	0	0	0	0	399	0	326	0	0	0	0	16	0	0	0	0	0	0	110	80	0	139	170	1045	491	234	203	142	64	234	106	225	0	0	96	282	239	31
97cefc055a2fa1b8caf5b81635b3fde7	195	359	195	279	0	0	111	505	35	256	42	203	195	231	21	110	165	45	324	96	308	54	805	278	373	91	682	290	286	453	63	5	159	12	351	385	0	192	1105	420	218	233	205	364	1293	138	0	38	223	305	415	514	127	321	0	0	0	0	285	251	273	433	189	403	1423	271	319	480	0	0	0	0	0	0	0	0	0	0	201	78	0	312	817	0	246	239	0	0	0	31	9	0	0	0	0	0	396	0	9	0	799	60	0	0	0	0	0	0	0	8	31	25	16	0	0	0	0	0	153	12	514	55	189	54	21	151	247	7	274	351	135	0	62	0	203	0	32	22	591	123	195	153	374	153	174	50	121	220	46	227	104	69	11	0	99	184	92	0	86	0	0	0	0	0	0	0	0	302	0	188	530	0	644	356	917	626	301	0	20	0	0	0	0	306	31	8	5	443	306	77	35	45	0	1216	1709	365	767	60	0	187	488	40	923	498	386	379	280	0	9	0	0	0	0	0	0	125	0	0	0	0	0	0	0	0	0	0	0	305	138	455	616	554	16	128	509	350	339	440	131	338	415	368	893	114	79	160	0
2c47b9acb976f06611bddfe10f97e217	51	193	378	30	486	44	275	129	118	38	0	4	0	0	94	0	33	0	0	0	34	15	11	16	0	368	114	58	66	625	73	47	112	72	125	362	1192	128	127	107	253	17	200	226	18	0	1116	396	54	293	115	134	394	586	27	512	617	332	0	0	0	101	0	772	98	0	65	0	31	14	370	180	28	423	318	292	92	369	71	68	135	113	0	0	0	18	62	273	27	0	0	82	8	17	0	0	78	37	221	356	113	580	789	1088	695	909	604	628	2407	201	1597	84	825	2247	1454	1102	1252	526	187	130	0	0	0	38	100	0	54	15	0	0	180	13	183	188	122	106	87	0	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	66	0	0	0	0	0	0	0	0	0	0	0	0	9	35	92	105	73	0	179	4	0	17	0	0	0	0	0	3	10	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	10	0	0	10	122	99	657	153	1812	392	1857	1014	539	377	0	18	0	55	263	556	0	673	130	165	32	22	4	29	66	0	271	84	22	0	76	0	0	0	73	62	0	5	9	29
7487be824e0acea7ee8c22b94f1376ae	0	0	267	0	30	0	0	0	0	0	835	9	101	190	1238	71	67	113	0	169	0	717	0	1112	24	0	731	857	0	0	0	0	0	0	25	0	0	0	0	0	0	0	222	747	31	0	0	0	0	46	0	0	0	0	21	0	71	0	0	0	75	628	0	0	0	0	0	12	16	398	129	0	29	1097	0	133	66	280	199	0	0	0	166	0	232	27	0	253	199	0	1298	0	22	0	75	0	0	0	28	0	30	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	332	34	0	41	0	51	70	108	345	65	0	301	0	721	1337	385	143	0	181	0	77	97	46	337	1232	78	12	0	249	18	0	25	148	0	100	531	306	0	0	1206	42	2064	907	171	81	0	0	7	6	55	88	0	84	0	1065	19	0	0	0	0	0	0	0	0	0	0	0	58	0	33	1333	0	0	243	1835	56	2316	229	0	7	282	574	183	177	0	360	0	0	241	0	458	47	0	0	0	0	467	99	110	7	1706	0	23	102	652	545	0	0	0
e8cbf85e2f78be8ff21c0c3e0f509639	307	648	1006	395	566	39	516	113	29	10	96	71	14	17	39	19	16	32	0	395	0	193	37	18	20	0	76	17	49	14	66	22	240	9	611	287	260	274	11	804	114	121	192	508	106	237	80	56	164	864	186	363	230	585	0	167	505	643	0	33	63	233	0	25	42	111	0	320	244	382	183	264	227	119	739	763	238	172	135	1469	502	145	221	172	173	104	35	111	203	46	144	47	173	341	157	146	237	65	148	33	0	127	46	123	131	0	133	170	275	276	1078	265	229	1381	695	708	125	726	636	0	240	110	166	434	23	13	467	5	69	94	85	134	357	537	142	21	121	0	477	691	230	320	1667	16	91	792	111	319	415	244	107	351	665	394	970	528	59	1008	251	1637	81	0	27	161	89	51	323	77	682	196	16	158	47	39	360	183	132	1059	130	52	161	174	0	0	9	47	45	19	96	68	122	15	210	536	154	175	108	43	104	642	33	341	670	684	1594	231	206	40	12	80	101	18	30	19	84	1236	143	10	244	71	125	1143	0	813	3331	501	58	150	87	17	31	11	127	425	872	274	205	64	21	0	15	326	61	0	34	0	26
87ff74cc0f55f12dc4056a4a8a2c72bd	120	30	275	16	223	0	110	26	0	190	59	29	125	23	182	0	55	44	74	131	78	102	103	169	128	129	235	21	81	229	3	7	164	33	423	0	105	54	199	776	114	212	243	228	484	111	42	12	137	158	165	149	134	514	148	103	209	7	0	35	0	66	46	0	87	15	84	0	224	27	0	0	126	273	78	16	194	294	7	55	379	76	187	189	63	20	11	60	248	428	336	165	61	120	923	378	232	109	25	0	328	129	56	177	440	213	327	120	278	117	52	541	85	26	272	50	109	139	15	0	112	27	337	30	32	6	0	4	64	0	57	8	46	71	86	0	280	0	87	0	0	0	178	83	50	5	21	25	69	145	0	181	522	618	327	110	188	59	0	84	15	97	96	339	5	16	67	153	112	45	422	45	0	194	113	76	10	71	158	159	6	4	12	272	28	21	40	49	101	268	141	76	392	88	284	0	78	0	22	162	91	228	283	95	569	247	63	43	18	63	287	19	0	286	260	337	930	0	0	105	77	39	0	48	14	979	64	78	63	24	203	30	658	574	173	127	44	156	111	97	0	57	31	37	146	0	160
f10a50b1220da2d3e275f9772b3c2898	88	16	120	184	550	0	21	55	60	59	0	0	118	278	130	213	1037	195	5	849	302	14	304	80	0	17	666	361	344	383	239	43	723	130	544	0	36	856	294	287	16	85	288	307	424	319	230	555	369	583	460	270	223	509	328	444	338	115	118	174	61	0	20	35	9	184	76	165	741	230	339	110	563	1073	2138	993	459	179	1199	63	62	341	520	448	1222	148	140	39	508	449	135	110	597	1031	983	930	832	45	724	482	260	191	18	499	102	16	317	26	30	25	151	95	77	0	20	0	317	0	152	18	33	71	297	205	157	202	111	63	225	176	140	174	61	160	271	0	0	528	634	951	464	220	93	521	403	365	148	409	271	59	341	0	191	850	206	175	546	749	1031	227	476	696	323	1533	123	1025	578	545	235	233	44	221	683	307	0	0	73	84	0	15	27	203	193	599	540	48	485	0	35	0	0	50	262	154	0	149	92	100	107	100	124	115	65	0	108	267	192	5	373	0	0	708	798	498	516	262	58	63	147	15	0	0	0	0	52	0	0	46	0	478	113	53	914	0	500	163	283	0	260	362	313	261	397	23	43	42	8
0d508e08bf3048aa561e7c9d96e3bea9	143	151	171	894	33	0	148	758	84	599	139	598	948	1425	0	84	625	313	747	0	329	40	61	573	896	394	281	243	448	78	226	0	0	12	28	737	111	97	0	348	211	0	213	244	318	109	630	339	227	0	35	0	0	0	9	1006	0	0	585	450	120	747	1035	486	3297	2058	985	31	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	136	0	0	0	0	372	207	0	0	19	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	747	50	456	91	397	394	138	379	331	20	205	408	325	0	230	0	521	0	208	0	812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	293	108	238	97	194	0	672	316	8	618	0	0	0	0	0	18	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	12	100	0	0	0	0	0	60	131	235	242	0	0	684	0	183	0	719	489	88	629	1818	0	675	266	26	0
4a4251fdd8c94240584c5d4ff6aeb094	0	0	61	0	0	0	0	26	0	0	0	37	0	193	35	0	0	0	0	279	66	42	14	100	195	660	256	84	60	221	0	0	8	0	71	86	120	5	0	18	0	107	73	0	0	0	0	0	0	0	0	452	0	107	78	0	22	0	25	82	73	5	0	0	0	171	0	0	0	0	0	0	66	222	133	20	16	60	18	20	0	0	0	0	599	0	0	0	270	245	686	409	797	497	791	196	271	204	57	142	370	0	0	835	43	0	202	24	293	225	20	288	155	294	223	76	226	0	0	0	0	0	0	0	0	0	0	0	23	104	0	0	699	0	0	0	0	282	907	479	137	49	490	828	125	243	243	677	313	74	20	951	633	377	175	229	439	0	0	249	37	38	6	44	10	139	4	263	326	250	287	1356	432	571	32	14	581	0	81	0	0	31	40	0	290	249	0	257	588	1352	1244	612	1106	379	119	531	84	39	321	491	464	60	331	419	129	362	78	0	0	418	0	0	8	73	0	226	0	53	0	35	0	0	0	0	32	99	0	29	0	106	185	133	231	102	310	50	59	0	22	262	18	0	1509	0	0	0	0
210c71717f87c8e4912431ed98b553f5	18	28	0	0	16	0	0	110	0	321	7	14	48	48	190	32	57	134	66	0	253	181	201	88	100	73	13	295	57	213	7	5	18	3	0	23	97	192	363	0	177	114	584	0	0	0	40	7	13	0	4	0	107	4	37	0	30	0	0	62	0	123	28	102	0	18	83	57	0	0	0	0	11	0	0	0	8	0	50	404	38	90	0	130	323	99	38	228	0	784	9	13	70	38	0	0	0	11	0	0	464	207	570	0	7	0	476	0	37	124	119	352	85	109	8	365	316	78	43	0	0	0	0	0	0	51	0	19	19	151	56	471	77	15	0	0	50	14	291	66	43	315	129	131	395	301	678	33	715	117	61	53	0	767	127	85	95	0	17	40	8	6	0	25	0	16	0	111	1609	97	305	428	856	791	31	18	211	0	0	0	0	0	5	5	0	20	0	226	0	52	87	875	27	921	0	6	0	267	0	107	205	628	191	946	488	684	500	0	0	0	0	0	0	0	30	119	0	0	0	0	0	0	0	0	0	0	0	183	49	75	0	89	0	65	1753	27	361	323	47	362	49	199	400	17	126	64	0
