field_name	BBRP1	ERRP1	FGC1	FGREM1	FGRP1	FLC1	FLC2	FLREM1	FLRP1	FLRP4	FLRP5	FLRSP1	FLRSP2	FLRSP3	KORP1	LPC1	LPREM1	LPRP1	LPRP2	MBREM1	MBRP1	MHRP1	MHRP2	PHC1	PHRP1
BBRP1	0	0.198330105	0.170418537	0.128184241	0.152926294	0.209155797	0.141210971	0.1104014	0.115010107	0.113725364	0.106941507	0.122259745	0.073377481	0.078880097	0.099119312	0.148225837	0.106160909	0.137812413	0.126010224	0.075522856	0.083587814	0.117959074	0.12469872	0.168047494	0.142192211
ERRP1	0.198330105	0	0.279981038	0.231036646	0.186640647	0.133600724	0.269583768	0.202826298	0.245731676	0.246890907	0.238796444	0.178390313	0.201847514	0.188646262	0.241202492	0.262710899	0.204337354	0.213408271	0.14790884	0.234034476	0.208159756	0.215978356	0.219795118	0.28202669	0.198969007
FGC1	0.170418537	0.279981038	0	0.12193122	0.167321046	0.199775523	0.137763105	0.145274919	0.111864562	0.114481673	0.11178972	0.203339464	0.160163611	0.170300001	0.142743394	0.104232675	0.133105514	0.133432109	0.170405034	0.148212402	0.162359312	0.116237246	0.101054366	0.064981792	0.144497236
FGREM1	0.128184241	0.231036646	0.12193122	0	0.118083719	0.239303597	0.176047655	0.113058627	0.070400439	0.083627987	0.08230933	0.161356676	0.124582011	0.130593731	0.104038426	0.165156903	0.099986256	0.104569735	0.131788552	0.117202453	0.113859214	0.073755441	0.074351091	0.130001313	0.092806469
FGRP1	0.152926294	0.186640647	0.167321046	0.118083719	0	0.214133561	0.224904239	0.095444114	0.125315607	0.137739189	0.130908037	0.154611941	0.146356621	0.144357135	0.154952225	0.191725564	0.115508613	0.123769864	0.124332216	0.150293751	0.134677345	0.10953183	0.11298361	0.169909949	0.077900863
FLC1	0.209155797	0.133600724	0.199775523	0.239303597	0.214133561	0	0.224822322	0.185197695	0.226853274	0.223804933	0.194707114	0.170693426	0.183267704	0.18210498	0.236672797	0.167654724	0.207758174	0.178879619	0.14312877	0.255384927	0.230402201	0.208425468	0.202094718	0.215098932	0.199184192
FLC2	0.141210971	0.269583768	0.137763105	0.176047655	0.224904239	0.224822322	0	0.197656846	0.19565304	0.193255175	0.18250986	0.214155728	0.166806473	0.156909519	0.188926824	0.114805361	0.168804389	0.179335706	0.195775699	0.162336264	0.158856063	0.162355748	0.153942616	0.157749975	0.200533479
FLREM1	0.1104014	0.202826298	0.145274919	0.113058627	0.095444114	0.185197695	0.197656846	0	0.091479249	0.096289988	0.077591181	0.096448537	0.089165396	0.099903392	0.102184015	0.142168141	0.083920901	0.074017009	0.100164776	0.12714985	0.097743144	0.090746671	0.109923228	0.147426621	0.070664396
FLRP1	0.115010107	0.245731676	0.111864562	0.070400439	0.125315607	0.226853274	0.19565304	0.091479249	0	0.039376137	0.042079003	0.154072454	0.111954228	0.133207423	0.075256643	0.157145319	0.101284638	0.110160567	0.129835046	0.100585903	0.109270659	0.080496635	0.084090003	0.118992212	0.102943353
FLRP4	0.113725364	0.246890907	0.114481673	0.083627987	0.137739189	0.223804933	0.193255175	0.096289988	0.039376137	0	0.049126207	0.151266158	0.103744834	0.125710443	0.076556692	0.154071192	0.094415359	0.109226916	0.12941554	0.094890884	0.109818463	0.0826505	0.086493341	0.115085931	0.111080792
FLRP5	0.106941507	0.238796444	0.11178972	0.08230933	0.130908037	0.194707114	0.18250986	0.077591181	0.042079003	0.049126207	0	0.134755968	0.090830053	0.110335209	0.080026066	0.130951742	0.084125081	0.086238508	0.115223268	0.10323175	0.09724744	0.062374215	0.076633169	0.116829904	0.095483116
FLRSP1	0.122259745	0.178390313	0.203339464	0.161356676	0.154611941	0.170693426	0.214155728	0.096448537	0.154072454	0.151266158	0.134755968	0	0.082712766	0.088707706	0.155629135	0.164494943	0.132014371	0.129332218	0.083791561	0.157522011	0.129485523	0.142789203	0.16284925	0.20157667	0.13156557
FLRSP2	0.073377481	0.201847514	0.160163611	0.124582011	0.146356621	0.183267704	0.166806473	0.089165396	0.111954228	0.103744834	0.090830053	0.082712766	0	0.052549173	0.104165543	0.12314661	0.093373793	0.100759118	0.106551398	0.10758051	0.087850625	0.101580506	0.11633118	0.154811493	0.119305713
FLRSP3	0.078880097	0.188646262	0.170300001	0.130593731	0.144357135	0.18210498	0.156909519	0.099903392	0.133207423	0.125710443	0.110335209	0.088707706	0.052549173	0	0.131991518	0.126692317	0.085689679	0.102431814	0.095401013	0.108830125	0.079159347	0.093538706	0.114866814	0.158712281	0.118373686
KORP1	0.099119312	0.241202492	0.142743394	0.104038426	0.154952225	0.236672797	0.188926824	0.102184015	0.075256643	0.076556692	0.080026066	0.155629135	0.104165543	0.131991518	0	0.163899595	0.124166259	0.133467067	0.15754913	0.09558609	0.116248066	0.117614114	0.13307238	0.150164829	0.139933595
LPC1	0.148225837	0.262710899	0.104232675	0.165156903	0.191725564	0.167654724	0.114805361	0.142168141	0.157145319	0.154071192	0.130951742	0.164494943	0.12314661	0.126692317	0.163899595	0	0.112294257	0.110014063	0.15175602	0.171306462	0.153295202	0.117893523	0.124945122	0.073955784	0.159217951
LPREM1	0.106160909	0.204337354	0.133105514	0.099986256	0.115508613	0.207758174	0.168804389	0.083920901	0.101284638	0.094415359	0.084125081	0.132014371	0.093373793	0.085689679	0.124166259	0.112294257	0	0.062813927	0.096607696	0.101430221	0.073715616	0.048889085	0.074773682	0.110230059	0.080533968
LPRP1	0.137812413	0.213408271	0.133432109	0.104569735	0.123769864	0.178879619	0.179335706	0.074017009	0.110160567	0.109226916	0.086238508	0.129332218	0.100759118	0.102431814	0.133467067	0.110014063	0.062813927	0	0.085043175	0.144449651	0.112773669	0.069601823	0.086143149	0.117142733	0.073329393
LPRP2	0.126010224	0.14790884	0.170405034	0.131788552	0.124332216	0.14312877	0.195775699	0.100164776	0.129835046	0.12941554	0.115223268	0.083791561	0.106551398	0.095401013	0.15754913	0.15175602	0.096607696	0.085043175	0	0.165544342	0.13012864	0.100659361	0.123475621	0.170280564	0.086377512
MBREM1	0.075522856	0.234034476	0.148212402	0.117202453	0.150293751	0.255384927	0.162336264	0.12714985	0.100585903	0.094890884	0.10323175	0.157522011	0.10758051	0.108830125	0.09558609	0.171306462	0.101430221	0.144449651	0.165544342	0	0.070664729	0.101483547	0.11593339	0.144407199	0.137706501
MBRP1	0.083587814	0.208159756	0.162359312	0.113859214	0.134677345	0.230402201	0.158856063	0.097743144	0.109270659	0.109818463	0.09724744	0.129485523	0.087850625	0.079159347	0.116248066	0.153295202	0.073715616	0.112773669	0.13012864	0.070664729	0	0.082264547	0.094303218	0.16063906	0.109594507
MHRP1	0.117959074	0.215978356	0.116237246	0.073755441	0.10953183	0.208425468	0.162355748	0.090746671	0.080496635	0.0826505	0.062374215	0.142789203	0.101580506	0.093538706	0.117614114	0.117893523	0.048889085	0.069601823	0.100659361	0.101483547	0.082264547	0	0.045659941	0.100240804	0.069657051
MHRP2	0.12469872	0.219795118	0.101054366	0.074351091	0.11298361	0.202094718	0.153942616	0.109923228	0.084090003	0.086493341	0.076633169	0.16284925	0.11633118	0.114866814	0.13307238	0.124945122	0.074773682	0.086143149	0.123475621	0.11593339	0.094303218	0.045659941	0	0.095937285	0.078899005
PHC1	0.168047494	0.28202669	0.064981792	0.130001313	0.169909949	0.215098932	0.157749975	0.147426621	0.118992212	0.115085931	0.116829904	0.20157667	0.154811493	0.158712281	0.150164829	0.073955784	0.110230059	0.117142733	0.170280564	0.144407199	0.16063906	0.100240804	0.095937285	0	0.149140699
PHRP1	0.142192211	0.198969007	0.144497236	0.092806469	0.077900863	0.199184192	0.200533479	0.070664396	0.102943353	0.111080792	0.095483116	0.13156557	0.119305713	0.118373686	0.139933595	0.159217951	0.080533968	0.073329393	0.086377512	0.137706501	0.109594507	0.069657051	0.078899005	0.149140699	0
