field_sample,1_1,1_2,1_4,1_5,1_7,1_8,1_10,2_1,2_3,2_5,2_6,2_7,2_8,2_9,3_1,3_2,3_4,3_6,3_7,3_8,3_9,4_1,4_2,4_3,4_4,4_5,4_6,4_7,5_2,5_3,5_4,5_5,5_6,5_7,5_8,6_2,6_4,6_5,6_6,6_7,6_8,6_9,7_2,7_3,7_4,7_5,7_6,7_7,7_8,8_2,8_3,8_4,8_5,8_6,8_7,8_9,9_1,9_2,9_3,9_5,9_6,9_7,9_10,10_1,10_3,10_4,10_5,10_7,10_9,10_10,11_1,11_3,11_4,11_5,11_6,11_7,11_8,12_1,12_3,12_5,12_6,12_7,12_8,12_9,13_1,13_3,13_4,13_5,13_7,13_8,13_9,14_1,14_2,14_3,14_5,14_7,14_8,14_9,15_1,15_2,15_3,15_5,15_6,15_7,15_10,16_1,16_2,16_4,16_5,16_6,16_7,16_8,17_1,17_2,17_4,17_5,17_6,17_9,17_10,18_1,18_2,18_4,18_5,18_6,18_7,18_8,19_1,19_2,19_3,19_4,19_5,19_8,19_10,20_1,20_2,20_3,20_4,20_5,20_7,20_8,21_2,21_3,21_4,21_5,21_7,21_9,21_10,22_1,22_2,22_5,22_6,22_7,22_9,22_10,23_1,23_2,23_3,23_4,23_5,23_6,23_7,24_2,24_3,24_4,24_5,24_6,24_8,24_10,25_1,25_2,25_3,25_4,25_5,25_6,25_10
1_1,0,0.10297382,0.113900435,0.153275911,0.095391931,0.139142104,0.0829795,0.287703445,0.129336059,0.23996351,0.289543651,0.154525113,0.279756687,0.127124594,0.13737417,0.230171168,0.161892248,0.143896584,0.155057245,0.169881591,0.182984709,0.114730194,0.126418936,0.127989391,0.151784316,0.133322327,0.136007251,0.1156942,0.127561713,0.161244829,0.152151903,0.140745976,0.165914473,0.112238768,0.136336061,0.319195362,0.330819957,0.213326525,0.250836804,0.229117252,0.119024425,0.187186374,0.170662534,0.233738951,0.185323177,0.235503096,0.166302899,0.231298044,0.159454523,0.117288181,0.120548747,0.182472021,0.110373516,0.110225209,0.1326644,0.124726732,0.136969151,0.115131483,0.114322154,0.11573578,0.11236675,0.147153412,0.159142788,0.105716215,0.130485611,0.124712679,0.125157637,0.12622482,0.131440026,0.200029936,0.100510683,0.106135955,0.132764401,0.121050366,0.160533666,0.103478071,0.123837309,0.20023312,0.142064344,0.132474992,0.134070351,0.254317912,0.152765167,0.154640765,0.081547668,0.165854828,0.105390225,0.124323215,0.223902777,0.127203285,0.101385241,0.115575382,0.117287821,0.115220709,0.145579185,0.137795494,0.102530313,0.168721789,0.151173564,0.127489797,0.124206732,0.16082792,0.136076145,0.152858082,0.119749865,0.137412111,0.149750807,0.157646736,0.189523139,0.170390485,0.125508927,0.155254254,0.145696543,0.165110331,0.098316221,0.116943574,0.123921007,0.155309967,0.148822976,0.098211653,0.154602696,0.110932105,0.11032953,0.181586317,0.145674935,0.12651158,0.109137691,0.11127504,0.15429716,0.275064051,0.195822415,0.168410028,0.132933296,0.103156861,0.123847701,0.111955095,0.090876683,0.071734787,0.135053356,0.088572419,0.104804694,0.160390962,0.135025579,0.105127602,0.084969979,0.143664336,0.091765182,0.137180661,0.102916099,0.092481027,0.109362489,0.118435251,0.154006974,0.076699843,0.108566929,0.103543287,0.107763624,0.136820488,0.113649637,0.110687193,0.087305229,0.119825117,0.184867586,0.19968639,0.177345597,0.122584101,0.163548562,0.143699399,0.105097118,0.090731197,0.124375546,0.118324601,0.115782657,0.136357851,0.1651638
1_2,0.10297382,0,0.144067334,0.117049218,0.064080024,0.151083729,0.079141234,0.258525194,0.157924238,0.203633049,0.264384615,0.128852725,0.274204651,0.104625153,0.146903115,0.264142075,0.21557635,0.200237426,0.209185369,0.216610513,0.249373711,0.156873941,0.153896043,0.162705462,0.180473394,0.177221005,0.160644355,0.168528493,0.151993296,0.197970165,0.186590284,0.173298393,0.195912789,0.127586924,0.181637009,0.292759934,0.31795208,0.228225721,0.246398918,0.219268058,0.10634497,0.15405612900000001,0.186525581,0.266751423,0.129804023,0.23264434,0.181209776,0.177878538,0.153788944,0.188235923,0.169545802,0.184938263,0.164243469,0.115601671,0.152225237,0.168012246,0.166068028,0.169149262,0.171952082,0.14461789,0.164757732,0.174189585,0.207315806,0.142506629,0.155694679,0.159750358,0.161999552,0.181163355,0.159449949,0.231946721,0.142702487,0.183799035,0.171012654,0.14824768,0.131453348,0.169727408,0.168256223,0.203823992,0.187797931,0.17604304,0.12431312,0.23090491,0.195511682,0.182636495,0.120609261,0.172518853,0.127528485,0.184582069,0.183963726,0.136199664,0.161501469,0.108332423,0.159310428,0.152240763,0.134994044,0.136110539,0.098730415,0.131708989,0.178978442,0.163284714,0.150954586,0.143308026,0.164697463,0.167739691,0.155096919,0.203791652,0.155594413,0.215100389,0.195683881,0.219269268,0.173663256,0.214763369,0.194944578,0.146496929,0.172239105,0.133862987,0.161738145,0.109090192,0.139045472,0.15270906,0.175409612,0.168109965,0.170042579,0.182053896,0.182209527,0.167838176,0.154858213,0.163298829,0.131824178,0.243054485,0.191858637,0.165042044,0.142662072,0.080203626,0.151426319,0.129556612,0.120324045,0.103778831,0.168493829,0.087318329,0.118877214,0.197020601,0.136042757,0.120880828,0.123570301,0.119351308,0.13791459,0.200730111,0.155804516,0.113704886,0.1695595,0.168604973,0.191439809,0.123568395,0.17183027,0.133609871,0.17394418,0.168778708,0.156100235,0.146366851,0.115959813,0.149184536,0.248181848,0.258618499,0.212262458,0.182338855,0.230607287,0.204097331,0.155156109,0.1427127,0.145382552,0.139964678,0.172706446,0.165881267,0.193667599
1_4,0.113900435,0.144067334,0,0.204682528,0.149244023,0.124795279,0.118616339,0.312935914,0.152598652,0.275521483,0.3134566,0.17911691800000001,0.312688176,0.179049311,0.161306936,0.248026849,0.174262257,0.182040283,0.16306375,0.180331662,0.201221896,0.133133788,0.124106455,0.13295004,0.189059008,0.176414705,0.132710534,0.141569145,0.132391024,0.176092064,0.158912376,0.149731504,0.180523563,0.154276963,0.175336144,0.355073994,0.374684657,0.267037117,0.302498912,0.279263551,0.192204299,0.236200936,0.199953408,0.260827669,0.239176809,0.283294389,0.187229919,0.266157989,0.225252997,0.139130994,0.109308206,0.214395927,0.143576523,0.110393135,0.16544147,0.109457995,0.099855246,0.141912713,0.112365725,0.052748986,0.145911746,0.147716514,0.176688231,0.13242836,0.068736012,0.105556462,0.160659675,0.128433615,0.06399808,0.197479452,0.137193519,0.158555306,0.164206712,0.100147462,0.129204524,0.115997333,0.169362332,0.235738484,0.170055467,0.165504792,0.118577621,0.272564703,0.178748618,0.185055307,0.11146664,0.186868282,0.149094096,0.139148892,0.219343183,0.142185046,0.106035168,0.161413885,0.149496472,0.132840785,0.17496716,0.143352596,0.151979781,0.200863704,0.075018139,0.087940279,0.133915055,0.140870488,0.116089037,0.051911688,0.069388705,0.192808791,0.212665159,0.207714844,0.249560788,0.219622898,0.182928467,0.217979832,0.158664222,0.187246467,0.13811698,0.177185005,0.15717008700000001,0.198306874,0.177519876,0.140925496,0.186385012,0.15072295,0.167164844,0.219792796,0.168477352,0.149877478,0.161507291,0.167448711,0.194776129,0.293618999,0.240452278,0.216800949,0.167971178,0.10737465,0.107568229,0.070923433,0.100603137,0.097641613,0.095043186,0.084233646,0.130653713,0.178876721,0.154277405,0.126112541,0.108459487,0.171789997,0.091930428,0.158048595,0.145048778,0.149945628,0.142843165,0.169066308,0.194785226,0.124027849,0.1314347,0.139549237,0.141350376,0.158960512,0.151201812,0.152183093,0.158231627,0.154369321,0.201638471,0.22888859,0.181055093,0.151469726,0.195339826,0.172603199,0.126828016,0.139209547,0.171974597,0.142363794,0.163572838,0.184173351,0.202047249
1_5,0.153275911,0.117049218,0.204682528,0,0.125207801,0.221351516,0.156152515,0.205216544,0.17780562,0.16117142,0.212553865,0.114559423,0.19998653,0.101229518,0.22722518,0.329572795,0.26108697,0.235368427,0.256003896,0.261245814,0.271379489,0.236330824,0.215923667,0.230498544,0.212329591,0.233734828,0.213860891,0.243645896,0.181086396,0.211882461,0.192114057,0.195130346,0.21286885,0.166411546,0.199148316,0.248514048,0.242961666,0.244485725,0.17615439,0.186585333,0.14110306,0.159697291,0.25357912,0.329776583,0.133072116,0.264460394,0.246237897,0.167167623,0.184462059,0.226179712,0.224207144,0.188213305,0.191445906,0.182943478,0.165498237,0.208771432,0.236194494,0.199000764,0.219476885,0.204390329,0.226660872,0.262254049,0.263938878,0.215718861,0.226255045,0.224440735,0.218174871,0.215062007,0.234260214,0.300813617,0.175252823,0.22229654,0.253289329,0.225200831,0.182040773,0.218767714,0.21552302,0.131063456,0.20234186,0.197504017,0.190719537,0.17486511,0.208335354,0.187018916,0.161149267,0.187215957,0.177286749,0.219807397,0.12943538499999999,0.142031443,0.195208354,0.131206839,0.178578208,0.187711585,0.088821038,0.163007441,0.143737094,0.1337704,0.242708671,0.237134604,0.237292627,0.151025601,0.239779189,0.238398864,0.219752991,0.22467793,0.174629591,0.235878578,0.212252022,0.240534685,0.196677554,0.233640844,0.229629246,0.173158863,0.219074183,0.150767109,0.195549866,0.157239688,0.185397667,0.190750605,0.23541236,0.194906316,0.186870832,0.141229372,0.19217733,0.172594777,0.186205758,0.188216396,0.104404017,0.192235457,0.125274188,0.137627154,0.14175921,0.137815886,0.208142323,0.191741055,0.150141304,0.140914364,0.217197636,0.15863449,0.155846808,0.183688901,0.180863253,0.156184929,0.157357482,0.142783966,0.192479283,0.22381389,0.177481859,0.187365546,0.208435476,0.192364325,0.238601614,0.174909695,0.212086278,0.218234476,0.208910891,0.23352135,0.211470323,0.159986345,0.173293638,0.20014387,0.269109542,0.2867792,0.278201231,0.210244779,0.251729672,0.234083331,0.181423571,0.188606039,0.192678224,0.190330199,0.205389467,0.202216118,0.206221697
1_7,0.095391931,0.064080024,0.149244023,0.125207801,0,0.158622878,0.064703428,0.251594586,0.153509333,0.19533883,0.249285301,0.112319478,0.26492877,0.089538525,0.169976294,0.271637164,0.225129583,0.198111268,0.215769391,0.221057644,0.252266516,0.153493746,0.154769356,0.165390382,0.177720946,0.187416886,0.156841855,0.153413429,0.154256445,0.204530411,0.186436151,0.174834863,0.197380832,0.138223101,0.181760101,0.279791983,0.311219621,0.227022299,0.237312004,0.211630905,0.109353298,0.142243351,0.204296131,0.268810026,0.131880889,0.214840593,0.201855487,0.178329436,0.155278604,0.18054348,0.163838021,0.167248559,0.155418589,0.100259785,0.163349433,0.171801091,0.152901406,0.168982064,0.169425164,0.148857002,0.171719952,0.181866634,0.213870761,0.14199999,0.166543594,0.182499279,0.177396978,0.184744554,0.159971488,0.229425472,0.166115256,0.175185654,0.178740458,0.157215481,0.114483491,0.16893141,0.177694225,0.184281214,0.189114629,0.181170436,0.118954668,0.214580657,0.197253345,0.175523505,0.123832612,0.181457827,0.135018365,0.176474579,0.182345499,0.136304547,0.154777785,0.123162045,0.166038909,0.162892377,0.130429669,0.13768435,0.093017268,0.131326197,0.178239411,0.162328716,0.161060847,0.116456668,0.154355613,0.176568211,0.158079907,0.207489707,0.151915093,0.21538793,0.1952266,0.223671363,0.175241379,0.216035156,0.204175418,0.163261836,0.169860081,0.138395374,0.177967024,0.126057741,0.157769774,0.150499792,0.190057134,0.170049625,0.169774555,0.176391257,0.193006121,0.163806939,0.152865043,0.161113549,0.130193161,0.227450679,0.177932788,0.150413201,0.12661572,0.092048454,0.148570961,0.140393192,0.140442396,0.120759912,0.175535131,0.121441408,0.127582484,0.201874498,0.150086544,0.122185424,0.123554632,0.120298302,0.143704939,0.20347608,0.157150738,0.128975475,0.176965721,0.17151327,0.199109425,0.134358293,0.175882013,0.149606196,0.17388865,0.182933016,0.168819567,0.15689631,0.134379724,0.172631836,0.254782427,0.26554449,0.231111138,0.191442766,0.233364058,0.210035378,0.162120318,0.149624476,0.146580844,0.147043282,0.171415041,0.175400268,0.203955989
1_8,0.139142104,0.151083729,0.124795279,0.221351516,0.158622878,0,0.133157322,0.304158239,0.163507157,0.282080788,0.310877724,0.174741035,0.305373312,0.18294179,0.213836335,0.275777508,0.219113758,0.189618295,0.203220122,0.218750533,0.250965822,0.141203298,0.159058255,0.173507027,0.196183,0.194664151,0.129143129,0.146148938,0.177635245,0.188453029,0.193592824,0.165770713,0.205666567,0.19015306,0.1826163,0.352883818,0.362141561,0.225110643,0.299978412,0.266652232,0.1855833,0.232325922,0.208918567,0.231180576,0.247387391,0.280847143,0.241920803,0.266365643,0.236145622,0.139069084,0.114674661,0.178761526,0.13811599,0.117777524,0.165743638,0.16067541,0.127803331,0.14672169,0.131117579,0.114008527,0.160947444,0.138995933,0.205744608,0.141079292,0.115296498,0.135245036,0.182942829,0.157374306,0.106449596,0.241311878,0.180335153,0.159934017,0.16461806,0.094130869,0.149876043,0.162636758,0.163215207,0.199966757,0.142246956,0.146778463,0.09890995,0.243444268,0.136524624,0.138902928,0.133788951,0.169649566,0.12238879,0.107991363,0.198406512,0.140227741,0.132412864,0.155337309,0.089930862,0.131300024,0.1820537,0.134701376,0.159640741,0.190430123,0.153712454,0.151843308,0.096354684,0.157223227,0.095215611,0.127052327,0.136557884,0.223422315,0.185174926,0.208119839,0.237884732,0.232985003,0.185090958,0.189390941,0.161036229,0.190925356,0.155811406,0.179424476,0.179976338,0.198905689,0.189825066,0.147920604,0.205944849,0.171412219,0.189977332,0.217466841,0.153801394,0.150632225,0.160091837,0.158770832,0.191044929,0.274960148,0.240943673,0.206051494,0.169496224,0.119058199,0.132316636,0.136820436,0.134714254,0.136483957,0.101335411,0.112199045,0.121273116,0.205298122,0.158643892,0.139789571,0.108708703,0.143235045,0.10038201,0.184539067,0.159238257,0.179921059,0.170809357,0.171873813,0.207161098,0.133591013,0.179450322,0.154537602,0.172631154,0.195278811,0.193277271,0.172788662,0.159357407,0.20940048,0.249586857,0.241884986,0.217934657,0.182032076,0.223569346,0.210550217,0.142266427,0.132803725,0.142343223,0.165380902,0.16697665,0.182469385,0.236389669
1_10,0.0829795,0.079141234,0.118616339,0.156152515,0.064703428,0.133157322,0,0.285284474,0.171263902,0.225756991,0.291472024,0.144893618,0.300301156,0.126568502,0.154552673,0.26067488,0.213478324,0.195781176,0.203385261,0.214486732,0.241260255,0.137316624,0.133304013,0.14095456,0.186961969,0.179400662,0.151901791,0.138450277,0.153382353,0.200910911,0.188637201,0.169483627,0.201570811,0.14607744,0.193471042,0.313442995,0.348183622,0.241048082,0.274828211,0.250632399,0.140186828,0.177938056,0.194107859,0.263064923,0.16810987,0.241137258,0.184720342,0.215508066,0.166084787,0.168481101,0.143730143,0.190620458,0.164516894,0.094687747,0.171283741,0.155441246,0.132721119,0.167278685,0.150649928,0.11876246,0.14423715,0.173811885,0.199253859,0.147232786,0.136909824,0.161318515,0.163693881,0.174490145,0.121684056,0.195518175,0.146720038,0.15376795100000001,0.175496754,0.139624583,0.130129273,0.141711068,0.175254519,0.212846993,0.191236587,0.182411147,0.100590497,0.253754271,0.193675243,0.174665066,0.130676216,0.189669045,0.129211266,0.163693965,0.21920069,0.144473763,0.143155887,0.126634818,0.152375876,0.141723311,0.164587076,0.1515479,0.12089785,0.164412267,0.151026811,0.13565923,0.137956432,0.132543661,0.130028628,0.148139961,0.135347124,0.202554692,0.176295752,0.212170346,0.224680225,0.212321505,0.168192812,0.218477991,0.19346616,0.168777766,0.151545064,0.152868322,0.181518269,0.139556495,0.161614351,0.150085476,0.196501032,0.162603713,0.180897559,0.213948509,0.191753353,0.176204646,0.146598587,0.161955574,0.165808008,0.262186333,0.214897839,0.192008912,0.158611386,0.08068767,0.125329583,0.114055838,0.120735374,0.103385783,0.157224221,0.095855054,0.118908777,0.208566764,0.13432071,0.110585061,0.131046683,0.133421148,0.120838213,0.193489982,0.154735036,0.125547856,0.160318722,0.179236762,0.208651033,0.127777425,0.165123186,0.14287341,0.168195217,0.169226673,0.166323791,0.168862274,0.137352054,0.156447537,0.242670563,0.260873802,0.219898111,0.181158177,0.221291547,0.198019912,0.157780479,0.137788349,0.153607376,0.151018256,0.17693159,0.184790813,0.211457198
2_1,0.287703445,0.258525194,0.312935914,0.205216544,0.251594586,0.304158239,0.285284474,0,0.221250385,0.070748825,0.106493609,0.171358674,0.115104343,0.209438229,0.3461376,0.402981809,0.364871664,0.351807299,0.353736811,0.346733987,0.389888446,0.305180034,0.290114729,0.299736648,0.273009832,0.3188505,0.26335752,0.316456845,0.274841884,0.280590444,0.269753282,0.261660796,0.259315704,0.269247264,0.264024479,0.103749939,0.138568046,0.357775343,0.145122531,0.283128809,0.252289974,0.216137075,0.357408681,0.400177576,0.253101669,0.335396069,0.360823755,0.27256993,0.204896918,0.336592708,0.30835133,0.227964771,0.290039273,0.267977108,0.260168879,0.300991847,0.306603973,0.302723601,0.337260204,0.302940463,0.315312881,0.349190085,0.362419409,0.294349619,0.313768933,0.329270183,0.299301194,0.340299447,0.303712394,0.38423485,0.303001494,0.33112296,0.332718755,0.300176356,0.252803408,0.329669071,0.315606976,0.176461215,0.314938414,0.322292523,0.25938531,0.096901506,0.311886233,0.284650939,0.262094912,0.253806557,0.300506095,0.325878309,0.166306838,0.251547335,0.302981145,0.27784828,0.290421218,0.288838189,0.210334238,0.264012355,0.230966275,0.250337911,0.327745128,0.306886699,0.314880824,0.233921076,0.323360007,0.312707335,0.313313003,0.347259105,0.296574336,0.352949459,0.323545873,0.358926733,0.333875033,0.348885616,0.338694886,0.287811396,0.314328038,0.237346922,0.289081533,0.260177403,0.299274308,0.292781264,0.316171897,0.295056934,0.285343519,0.223710124,0.28160174,0.27391268,0.29287298,0.255285816,0.177927125,0.116091003,0.193228859,0.198184517,0.23377975,0.267573778,0.321745236,0.323464921,0.301047489,0.294833086,0.33070999,0.298188123,0.271012238,0.275076747,0.286789119,0.269469803,0.276319233,0.242438104,0.291907876,0.327331695,0.289347402,0.2804683,0.295154509,0.285998583,0.312263819,0.279450471,0.31835067,0.290194749,0.313151715,0.309750474,0.302422558,0.265714393,0.291563349,0.334644705,0.382342206,0.399443008,0.37384928,0.33079361,0.361954157,0.354861992,0.275383202,0.263997335,0.26143548,0.264305831,0.293796799,0.266375957,0.238735582
2_3,0.129336059,0.157924238,0.152598652,0.17780562,0.153509333,0.163507157,0.171263902,0.221250385,0,0.202214624,0.229019085,0.101320062,0.21510439,0.120632207,0.19994733,0.26263396,0.204097296,0.197750345,0.194609426,0.187523581,0.232191608,0.140564908,0.139345745,0.150885657,0.113053002,0.167462035,0.096957808,0.155739473,0.094703443,0.096031703,0.079626628,0.088536892,0.090887974,0.09956379,0.080283143,0.275620348,0.303876724,0.255637308,0.221887742,0.235724595,0.160334366,0.166086167,0.22069237,0.264244284,0.224117565,0.272072183,0.22483721,0.243524635,0.150753432,0.167920069,0.137128543,0.109055728,0.115077246,0.135771585,0.092186183,0.121837515,0.148532305,0.11657362,0.162127343,0.14010426,0.136440582,0.194897976,0.198692056,0.116057634,0.150658737,0.16359948,0.151002989,0.173781871,0.150035222,0.23673585,0.149306625,0.149117608,0.166073255,0.140853375,0.15798304,0.166212068,0.143229108,0.143914133,0.172315703,0.168215494,0.159641526,0.177582303,0.169355839,0.129808868,0.113290832,0.110003175,0.170018357,0.15458747,0.189293753,0.161939038,0.138877198,0.167436071,0.150795028,0.149104278,0.144224287,0.164058544,0.119655729,0.195985727,0.16956308,0.152162361,0.161858428,0.157018524,0.172498219,0.162247866,0.146510803,0.193166958,0.202524581,0.205510562,0.221833424,0.227574673,0.200087975,0.204075778,0.174229762,0.174090583,0.149305783,0.135136963,0.118534514,0.153056935,0.145435436,0.116752593,0.162202159,0.134455616,0.117301269,0.132436701,0.155751427,0.093199147,0.15886085,0.06774909,0.125756869,0.187338439,0.173323712,0.107061067,0.147235539,0.152685021,0.168849096,0.151131832,0.145192869,0.141793103,0.161964236,0.156256085,0.144365965,0.092244127,0.168083835,0.143317906,0.12164892,0.120852629,0.111358901,0.167586794,0.140872151,0.127035973,0.146543032,0.114600374,0.129138269,0.113556634,0.155498607,0.138185158,0.151396619,0.164919391,0.145281567,0.085120024,0.140839762,0.179787123,0.228409429,0.241937891,0.216160774,0.170794583,0.208995786,0.200365355,0.11788668,0.12115222,0.090200743,0.088103919,0.115323714,0.104528504,0.102754406
2_5,0.23996351,0.203633049,0.275521483,0.16117142,0.19533883,0.282080788,0.225756991,0.070748825,0.202214624,0,0.125195749,0.137913681,0.144982147,0.155787606,0.296417367,0.392329665,0.350793652,0.335950518,0.340257126,0.332391889,0.376815674,0.286806106,0.268307917,0.276035409,0.266052503,0.305602123,0.241484471,0.296542877,0.247164332,0.261765365,0.24837618,0.231242537,0.231988875,0.220920042,0.249097511,0.14356661,0.178126769,0.346131502,0.13747555,0.274019497,0.207642648,0.185097325,0.323806916,0.389887199,0.205533039,0.324320946,0.319099502,0.232147363,0.183955198,0.316566828,0.287318038,0.210930041,0.273626837,0.247169671,0.239012524,0.283585624,0.283973849,0.280614601,0.317792386,0.285392307,0.295817934,0.331078836,0.347967676,0.278120265,0.295329447,0.310268903,0.284712581,0.324690684,0.279996785,0.365926012,0.27062707,0.313323941,0.315656432,0.277050699,0.231060134,0.310720262,0.300084189,0.157089104,0.29252655,0.284090612,0.236172244,0.09614178,0.293780024,0.263277871,0.224660906,0.236030988,0.263878429,0.30595158,0.147942481,0.237163301,0.285032096,0.226030673,0.267305787,0.258443947,0.173859622,0.24331277,0.209775276,0.199556113,0.308526098,0.286497699,0.292249779,0.216499933,0.300470123,0.293491859,0.293578846,0.331454635,0.273219803,0.338993592,0.312788931,0.343178277,0.302437677,0.3360795,0.322282998,0.246658468,0.296656264,0.227318107,0.276504998,0.222585151,0.244454919,0.273773747,0.299086341,0.278620502,0.273815309,0.213465985,0.274601118,0.252624261,0.268991073,0.239428846,0.167920712,0.131261055,0.18002897,0.179595524,0.216486412,0.210595902,0.279057718,0.28364245,0.265116297,0.245209452,0.304053359,0.239327442,0.235498208,0.245640354,0.242724406,0.218380806,0.252288629,0.197741218,0.273092907,0.314736246,0.262677122,0.234857836,0.280457805,0.273426759,0.29748376,0.257871828,0.295842593,0.269488094,0.297575911,0.290497098,0.274503937,0.25301352,0.245618313,0.28425836,0.37318589,0.387992882,0.361231519,0.318277562,0.352190582,0.33640775,0.255138661,0.250494799,0.24501869,0.243682924,0.280349058,0.256280418,0.220588578
