otu_ID	BBRP1	ERRP1	FGC1	FGREM1	FGRP1	FLC1	FLC2	FLREM1	FLRP1	FLRP4	FLRP5	FLRSP1	FLRSP2	FLRSP3	KORP1	LPC1	LPREM1	LPRP1	LPRP2	MBREM1	MBRP1	MHRP1	MHRP2	PHC1	PHRP1
320f3edc7b48ba5691766ccc71b0d898	383	2041	30	1403	371	369	11	1036	351	1340	815	1775	1323	1084	853	5	1800	1289	2286	557	1306	1611	1264	0	1412
97cefc055a2fa1b8caf5b81635b3fde7	1208	13	232	1949	1412	70	0	983	1540	883	1249	1759	1490	1029	1600	0	873	222	570	1248	751	714	347	56	1003
2c47b9acb976f06611bddfe10f97e217	1266	4165	16	0	11	3407	1060	212	127	124	364	1824	1219	1480	550	838	274	58	1944	265	686	92	50	0	209
7487be824e0acea7ee8c22b94f1376ae	254	0	2293	685	26	2471	882	304	1429	1166	1999	19	495	75	336	813	552	848	124	0	0	309	1681	1161	418
e8cbf85e2f78be8ff21c0c3e0f509639	2738	1671	873	621	1918	778	3711	870	303	69	361	1010	1097	1807	242	1288	1473	699	378	1864	1349	1463	1628	1366	546
87ff74cc0f55f12dc4056a4a8a2c72bd	566	622	357	745	717	525	197	789	283	488	553	682	1092	844	110	437	357	1235	677	475	268	181	1031	421	505
f10a50b1220da2d3e275f9772b3c2898	783	221	949	236	341	1475	44	1175	940	1243	1398	1515	1412	1687	261	3298	2220	2381	1608	952	982	1551	993	3094	1071
0d508e08bf3048aa561e7c9d96e3bea9	1804	0	0	893	10	4	76	465	2208	3200	1642	755	1370	677	3959	17	0	211	9	2593	1484	424	0	10	0
4a4251fdd8c94240584c5d4ff6aeb094	76	689	378	2537	1058	377	49	464	1091	164	1092	357	13	383	149	232	419	1491	1028	0	803	1573	1668	299	1720
210c71717f87c8e4912431ed98b553f5	131	585	13	753	1270	78	0	1199	781	553	393	603	36	25	165	4	728	19	755	88	770	518	588	73	2243
fa34a5226112d5c3040a09e932c851d1	1246	0	0	320	59	3	0	1551	2519	1158	1799	503	306	0	4033	0	0	0	0	268	253	6	0	0	0
6fc0542bf3adee7fec1babd2646ef8f6	4	239	8	218	556	178	0	471	121	668	185	48	213	58	228	97	1388	1423	1738	0	201	1973	859	91	1250
4ae50c113ec66fe2cd07e20d0f611823	65	44	2399	726	134	320	2726	185	253	110	280	0	7	249	54	2225	116	155	161	0	50	239	516	2591	204
3bbb6fe91b995807a605b6f5983446a4	0	0	0	19	2589	6	0	201	188	12	141	0	0	31	0	0	0	0	0	0	0	327	0	0	0
7a50583e4c0a2583573e8ebecf8fa907	443	1645	0	0	0	7	0	115	213	90	72	357	6	625	23	4	405	741	1194	791	439	0	0	11	550
3fa83787d65a490d928ea85a00a8c8bb	4	634	0	0	70	67	6	476	0	0	26	309	4	264	120	102	337	704	259	0	318	165	50	0	388
3ea271a390b5f981a235cd62868e5989	186	191	267	104	170	507	70	456	430	415	612	629	607	632	125	1278	947	1124	795	197	382	860	536	1384	635
e93219e3fa9866eaf244784446de5b40	10	603	0	317	283	33	0	175	0	19	30	112	385	0	168	0	634	298	311	0	0	336	345	21	648
d338b134f9f7963d5615f06009ce3895	183	0	675	208	714	39	0	87	0	11	75	0	0	0	216	0	0	0	0	0	0	123	86	33	68
999d2bb3dd8b66d293b59b85d28836a1	41	32	1005	389	87	149	1736	79	100	89	147	13	0	208	23	816	105	72	52	0	43	122	375	788	95
140da1c9edd13ad241f781f1eeb2beb8	0	0	4078	644	430	28	694	536	0	0	0	0	0	0	200	342	180	117	0	0	0	359	191	1719	395
a737c9d64ea8567bd5fbd6694ced50b8	0	0	50	6	1458	883	89	934	58	0	296	0	29	0	126	504	0	0	0	0	275	280	35	51	340
663650390696ac576adf3531dddef4bb	90	36	12	0	0	279	0	0	0	270	8	260	548	1570	10	0	236	40	120	623	1068	0	0	0	0
d378cada02b87539df6bbcf669dc4174	17	433	0	11	131	25	0	57	35	389	42	553	1828	815	7	0	570	233	343	385	749	434	254	57	8
fdfc6a9206fe11fdaf5bc50ca03180a7	23	384	2	35	58	26	0	202	45	261	92	44	0	69	237	0	196	455	73	191	65	172	270	19	581
8358caad260504807d38cd2898ca954d	0	183	7	0	26	51	0	20	0	0	104	0	0	0	0	12	0	75	173	0	0	646	1573	1233	0
d283f71f493f433a53b0c3bbc3306dc8	0	0	0	0	0	1574	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8e0ab0341460216c742331e7dddae7b0	329	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	643	0	0	930	2048	0	0	4	0
61f1e4919d11bf8ae6a2e4a6b800585a	136	84	300	55	103	214	12	355	230	293	256	320	359	309	74	498	574	590	354	165	211	422	283	579	335
4fca16b49e27701e6b962c029d49f2eb	30	0	0	169	0	7	0	314	31	0	140	1190	277	148	7	0	89	203	0	64	286	136	42	0	194
011c425e4c3599f39f7d5fa04dc1686d	0	0	137	153	212	31	0	0	0	0	0	0	0	0	0	1106	0	0	0	0	0	57	240	0	0
f0cc400dc0c00335b7f2c8c0cb93a1ca	30	272	0	0	0	0	0	666	0	0	0	0	0	0	0	0	26	353	0	0	0	35	3	30	31
7bc067a6540c755cd1578b51202b746f	0	0	261	0	15	534	267	31	0	0	0	0	0	0	0	478	0	197	88	0	6	15	53	117	137
9bb0bf8be08f0f8a3ab32d1c0c303bb3	219	3	0	110	0	0	16	6	233	373	130	75	243	148	402	0	0	0	0	527	154	58	0	0	0
90f0fdcfde69405c7ab111c1377a4757	24	95	14	50	20	47	9	82	0	6	152	75	0	157	0	67	181	343	295	0	142	0	70	26	183
5bb0ff12f216fad2d9d3a9d1813d2fbe	0	125	458	0	494	22	33	251	143	0	50	14	0	0	8	0	0	0	0	0	0	31	126	0	0
132ccfc0da746037dbbad52507f0a381	289	0	0	0	0	0	0	0	338	725	255	0	560	804	589	0	191	0	0	261	0	0	0	0	0
c4d165f96f77b93638cf89a9aaca0c0a	152	26	105	0	98	812	740	162	45	0	153	456	290	309	245	918	43	330	87	142	117	112	189	182	105
