phylum,class,order,family,genus,primary_lifestyle,secondary_lifestyle,growth_form_template
Ascomycota,Dothideomycetes,Asterinales,Asterinaceae,Pycnocarpon,epiphyte,litter_saprotroph,filamentous_mycelium
Ascomycota,Dothideomycetes,Asterinales,Neobueliellaceae,Neobueliella,lichen_parasite,,filamentous_mycelium
Ascomycota,Dothideomycetes,Muyocopronales,Muyocopronaceae,Neocochlearomyces,plant_pathogen,,filamentous_mycelium
Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Anthodidymella,wood_saprotroph,,filamentous_mycelium
Ascomycota,Dothideomycetes,Pleosporales,Lindgomycetaceae,Aquimassariosphaeria,wood_saprotroph,,filamentous_mycelium
Ascomycota,Dothideomycetes,Pleosporales,Lindgomycetaceae,Neolindgomyces,litter_saprotroph,,filamentous_mycelium
Ascomycota,Dothideomycetes,Pleosporales,Longiostiolaceae,Crassiperidium,wood_saprotroph,,filamentous_mycelium
Ascomycota,Dothideomycetes,Pleosporales,Morosphaeriaceae,Aquihelicascus,wood_saprotroph,,filamentous_mycelium
Ascomycota,Dothideomycetes,Pleosporales,Parabambusicolaceae,Paratrimmatostroma,litter_saprotroph,,filamentous_mycelium
Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Arezzomyces,wood_saprotroph,,filamentous_mycelium
Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Dlhawksworthia,wood_saprotroph,,filamentous_mycelium
Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Hydeomyces,wood_saprotroph,,filamentous_mycelium
Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Piniphoma,wood_saprotroph,,filamentous_mycelium
Ascomycota,Dothideomycetes,Pleosporales,Pleomonodictydaceae,Pleohelicoon,litter_saprotroph,,filamentous_mycelium
Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Typhicola,litter_saprotroph,,filamentous_mycelium
Ascomycota,Dothideomycetes,Pleosporales,Shiraiaceae,Rubroshiraia,plant_pathogen,,filamentous_mycelium
Ascomycota,Dothideomycetes,Pleosporales,Sulcatisporaceae,Anthosulcatispora,wood_saprotroph,,filamentous_mycelium
