#OTU ID	taxonomy	Confidence
352d386293a59777de3e3e6a91f58466	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium;s__Fusarium_oxysporum	0.975784336
a78342f18e3db5624f3d0d77053d9b2b	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_exigua	0.99995081
dabfbac17ada76765b6deb5ab443b740	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Plectosphaerellaceae;g__Gibellulopsis	0.999999387
bdee5c3cbce33c88a5e897081e7b68db	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__unidentified;s__unidentified	0.990330053
73514f6e23fa430c512721de0d7376a3	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae	0.999999832
c92d481c3f8ce88e480eb4d2a2379f8e	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae	0.999955452
204f1bd97debac4d9c567a07f3d10090	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Periconiaceae;g__Periconia	0.999761279
0ab6be0adca17efdd24e8e0072b2e128	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__unidentified;s__unidentified	0.968658526
3c7865fa957956fc9c7fd23207b9ac30	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Cystofilobasidiales;f__Mrakiaceae;g__Tausonia;s__Tausonia_pullulans	1
caa87147e44034b05364d29010622d3b	k__Fungi;p__Ascomycota	0.99999999
0fe71c8d31d9c2c2108f7f87bf8609fa	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__Humicola;s__Humicola_grisea	0.997663435
e29a43d99b862cf4722c10e6badd51e4	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Sordariales_fam_Incertae_sedis;g__Staphylotrichum;s__unidentified	0.975723971
a94d34888e74b56ee124065d134572ec	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Plectosphaerellaceae;g__Plectosphaerella;s__Plectosphaerella_cucumerina	0.999696273
981574c218453d6ac912669462c085d4	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella	1
b05bb3925996551ecf2149132851679a	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Lasiosphaeriaceae	0.999991739
1cd14fd2c6d975f292a07ed14249b48d	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Nectria;s__Nectria_ramulariae	0.9966506
30a216a38cb45be3863f43c5d04e2f7b	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiaceae;g__Tetracladium	0.999998897
2166186fb4bd4c395a3515872f995fce	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium	0.944495068
f1bb9e6de982bac575717aa20e2965ab	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__unidentified;f__unidentified;g__unidentified;s__unidentified	0.999964029
d5417a460c0601cf30aed8c9462c31b0	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Bionectriaceae;g__Clonostachys	0.975636844
