#OTU ID	taxonomy	18S_TGP_1_1	18S_TGP_1_10	18S_TGP_1_2	18S_TGP_1_4	18S_TGP_1_5	18S_TGP_1_7	18S_TGP_1_8	18S_TGP_10_1	18S_TGP_10_10	18S_TGP_10_2	18S_TGP_10_3	18S_TGP_10_4	18S_TGP_10_5	18S_TGP_10_6	18S_TGP_10_7	18S_TGP_10_8	18S_TGP_10_9	18S_TGP_11_1	18S_TGP_11_10	18S_TGP_11_2	18S_TGP_11_3	18S_TGP_11_4	18S_TGP_11_5	18S_TGP_11_6	18S_TGP_11_7	18S_TGP_11_8	18S_TGP_11_9	18S_TGP_12_1	18S_TGP_12_10	18S_TGP_12_3	18S_TGP_12_5	18S_TGP_12_6	18S_TGP_12_7	18S_TGP_12_8	18S_TGP_12_9	18S_TGP_13_1	18S_TGP_13_10	18S_TGP_13_2	18S_TGP_13_3	18S_TGP_13_4	18S_TGP_13_5	18S_TGP_13_6	18S_TGP_13_7	18S_TGP_13_8	18S_TGP_13_9	18S_TGP_14_1	18S_TGP_14_2	18S_TGP_14_3	18S_TGP_14_4	18S_TGP_14_5	18S_TGP_14_6	18S_TGP_14_7	18S_TGP_14_8	18S_TGP_14_9	18S_TGP_15_1	18S_TGP_15_10	18S_TGP_15_2	18S_TGP_15_3	18S_TGP_15_4	18S_TGP_15_5	18S_TGP_15_6	18S_TGP_15_7	18S_TGP_15_8	18S_TGP_15_9	18S_TGP_16_1	18S_TGP_16_10	18S_TGP_16_2	18S_TGP_16_3	18S_TGP_16_4	18S_TGP_16_5	18S_TGP_16_6	18S_TGP_16_7	18S_TGP_16_8	18S_TGP_16_9	18S_TGP_17_1	18S_TGP_17_10	18S_TGP_17_2	18S_TGP_17_3	18S_TGP_17_4	18S_TGP_17_5	18S_TGP_17_6	18S_TGP_17_7	18S_TGP_17_9	18S_TGP_18_1	18S_TGP_18_10	18S_TGP_18_2	18S_TGP_18_3	18S_TGP_18_4	18S_TGP_18_5	18S_TGP_18_6	18S_TGP_18_7	18S_TGP_18_8	18S_TGP_18_9	18S_TGP_19_1	18S_TGP_19_10	18S_TGP_19_2	18S_TGP_19_3	18S_TGP_19_4	18S_TGP_19_5	18S_TGP_19_6	18S_TGP_19_7	18S_TGP_19_8	18S_TGP_19_9	18S_TGP_2_1	18S_TGP_2_10	18S_TGP_2_2	18S_TGP_2_3	18S_TGP_2_4	18S_TGP_2_5	18S_TGP_2_6	18S_TGP_2_7	18S_TGP_2_8	18S_TGP_2_9	18S_TGP_20_1	18S_TGP_20_2	18S_TGP_20_3	18S_TGP_20_4	18S_TGP_20_5	18S_TGP_20_6	18S_TGP_20_7	18S_TGP_20_8	18S_TGP_21_1	18S_TGP_21_10	18S_TGP_21_2	18S_TGP_21_3	18S_TGP_21_4	18S_TGP_21_5	18S_TGP_21_7	18S_TGP_21_9	18S_TGP_22_1	18S_TGP_22_10	18S_TGP_22_2	18S_TGP_22_3	18S_TGP_22_4	18S_TGP_22_5	18S_TGP_22_6	18S_TGP_22_7	18S_TGP_22_8	18S_TGP_22_9	18S_TGP_23_1	18S_TGP_23_10	18S_TGP_23_2	18S_TGP_23_3	18S_TGP_23_4	18S_TGP_23_5	18S_TGP_23_6	18S_TGP_23_7	18S_TGP_23_8	18S_TGP_23_9	18S_TGP_24_1	18S_TGP_24_10	18S_TGP_24_2	18S_TGP_24_3	18S_TGP_24_4	18S_TGP_24_5	18S_TGP_24_6	18S_TGP_24_8	18S_TGP_24_9	18S_TGP_25_1	18S_TGP_25_10	18S_TGP_25_2	18S_TGP_25_3	18S_TGP_25_4	18S_TGP_25_5	18S_TGP_25_6	18S_TGP_25_7	18S_TGP_25_8	18S_TGP_25_9	18S_TGP_3_1	18S_TGP_3_10	18S_TGP_3_2	18S_TGP_3_3	18S_TGP_3_4	18S_TGP_3_5	18S_TGP_3_6	18S_TGP_3_7	18S_TGP_3_8	18S_TGP_3_9	18S_TGP_4_1	18S_TGP_4_10	18S_TGP_4_2	18S_TGP_4_3	18S_TGP_4_4	18S_TGP_4_5	18S_TGP_4_6	18S_TGP_4_7	18S_TGP_4_8	18S_TGP_4_9	18S_TGP_5_1	18S_TGP_5_10	18S_TGP_5_2	18S_TGP_5_3	18S_TGP_5_4	18S_TGP_5_5	18S_TGP_5_6	18S_TGP_5_7	18S_TGP_5_8	18S_TGP_5_9	18S_TGP_6_1	18S_TGP_6_10	18S_TGP_6_2	18S_TGP_6_3	18S_TGP_6_4	18S_TGP_6_5	18S_TGP_6_6	18S_TGP_6_7	18S_TGP_6_8	18S_TGP_6_9	18S_TGP_7_10	18S_TGP_7_2	18S_TGP_7_3	18S_TGP_7_4	18S_TGP_7_5	18S_TGP_7_6	18S_TGP_7_7	18S_TGP_7_8	18S_TGP_7_9	18S_TGP_8_1	18S_TGP_8_10	18S_TGP_8_2	18S_TGP_8_3	18S_TGP_8_4	18S_TGP_8_5	18S_TGP_8_6	18S_TGP_8_7	18S_TGP_8_8	18S_TGP_8_9	18S_TGP_9_1	18S_TGP_9_10	18S_TGP_9_2	18S_TGP_9_3	18S_TGP_9_5	18S_TGP_9_6	18S_TGP_9_7	18S_TGP_9_8	18S_TGP_9_9
320f3edc7b48ba5691766ccc71b0d898	Glomeromycetes; Glomerales; Glomeraceae; Glomus; Glomus Douhan3; VTX00212	78	56	23	6	0	25	55	147	12	62	78	0	176	212	26	15	147	83	47	58	12	14	117	7	16	130	6	45	97	10	35	262	99	124	86	116	89	0	2	12	20	11	7	255	151	40	144	31	51	35	110	43	178	61	18	0	126	77	0	132	81	34	4	3	0	4	0	0	0	0	0	0	0	44	136	2	41	53	117	329	65	210	9	136	24	0	98	151	55	0	336	0	0	76	234	157	514	245	0	0	0	81	20	244	267	150	115	77	74	0	294	73	87	0	35	0	69	134	0	0	0	42	177	178	10	68	62	73	0	55	79	0	44	291	246	142	139	130	60	13	40	96	196	168	9	149	73	189	49	1	0	0	0	0	0	0	0	0	61	30	309	204	69	112	138	197	187	98	7	0	3	0	2	0	0	0	0	0	105	34	126	78	290	46	119	126	62	133	0	56	29	0	11	12	4	15	88	41	0	9	0	0	0	0	73	0	73	0	0	0	3	0	0	0	0	0	0	48	34	0	37	64	208	107	22	66	52	21	74	39	81	0	0	41	162	199
97cefc055a2fa1b8caf5b81635b3fde7	Glomeromycetes; Glomerales; Glomeraceae; Glomus; Glomus MO-G15; VTX00135	122	163	55	76	0	61	200	76	22	154	68	85	6	66	49	41	131	31	170	36	285	91	133	26	121	95	109	187	33	61	99	83	0	59	421	106	85	87	67	96	286	81	0	9	76	98	166	167	59	96	0	0	0	0	70	78	86	133	84	98	242	43	164	223	0	0	0	0	0	0	0	0	0	0	63	35	0	148	195	0	50	135	0	0	9	3	0	0	0	0	0	91	0	2	0	198	17	0	0	0	0	0	0	0	3	6	7	3	0	0	0	0	0	48	150	48	78	35	17	99	119	274	157	52	0	28	0	70	28	5	101	26	81	66	66	35	57	26	39	62	16	64	33	18	6	0	36	82	31	0	38	0	0	0	0	0	0	0	91	0	68	129	0	117	68	382	222	102	0	13	0	0	0	0	91	7	3	2	118	192	19	9	16	0	213	387	157	272	22	0	43	146	12	190	95	63	80	84	0	5	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	158	61	128	204	156	4	31	68	120	106	104	40	128	158	47	194	60	48	132
2c47b9acb976f06611bddfe10f97e217	Paraglomeromycetes; Paraglomerales; Paraglomeraceae; Paraglomus	34	88	108	9	169	137	44	11	0	3	0	0	17	0	7	0	0	0	16	8	4	6	0	126	27	20	24	251	42	45	28	92	353	34	54	26	109	9	68	74	3	0	327	117	16	92	50	47	193	168	19	107	115	172	0	0	0	32	0	170	19	0	35	0	10	7	104	85	9	86	49	59	30	156	16	32	55	51	0	0	0	8	109	11	0	0	23	1	6	0	0	17	23	61	132	26	201	300	245	364	736	158	571	490	80	478	16	280	436	294	176	273	148	50	0	0	0	18	85	0	34	0	0	70	11	58	67	42	78	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	26	0	0	0	0	0	0	0	0	0	0	0	2	10	32	30	17	0	27	0	0	7	0	0	0	0	0	3	1	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3	0	0	6	109	52	201	75	517	74	325	188	109	122	10	0	25	135	154	0	154	70	104	21	12	0	11	21	0	47	13	12	0	23	0	0	0	15	10	0	1	9
7487be824e0acea7ee8c22b94f1376ae	Glomeromycetes; Glomerales; Glomeraceae; Glomus; Glomus Whitfield type 17; VTX00195	0	0	69	0	11	0	0	0	397	7	33	61	272	49	21	111	0	69	0	460	0	375	11	0	139	255	0	0	0	0	4	0	0	0	0	0	0	0	70	205	8	0	0	0	0	18	0	0	0	0	18	0	15	0	0	0	21	205	0	0	0	0	0	4	6	182	35	0	8	231	0	31	22	121	57	0	0	0	44	0	50	16	95	48	0	328	0	5	0	13	0	0	0	7	0	7	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	64	7	0	15	0	8	24	32	133	18	0	90	0	175	255	68	45	0	63	0	37	30	20	108	234	15	0	178	4	0	8	51	0	21	108	122	0	0	342	18	680	405	42	53	0	0	3	1	19	57	0	22	0	244	3	0	0	0	0	0	0	0	0	0	0	0	13	0	26	686	0	0	79	420	14	458	50	0	213	211	79	85	0	72	0	0	154	0	246	16	0	0	0	0	60	32	27	0	545	0	8	14	134	262	0	0
e8cbf85e2f78be8ff21c0c3e0f509639	Glomeromycetes; Glomerales; Glomeraceae; Glomus	209	267	300	141	204	256	35	3	46	56	4	7	8	14	7	32	0	171	0	126	15	7	9	0	13	7	15	4	34	110	176	62	86	78	6	175	50	48	81	161	24	146	18	28	59	276	83	109	98	172	0	32	93	270	0	13	21	70	0	6	7	17	0	139	99	177	60	113	94	27	99	183	93	84	46	551	182	79	62	39	38	64	43	56	17	37	14	50	65	31	34	62	49	39	10	0	39	17	28	67	0	35	159	62	111	313	77	83	254	126	130	30	225	189	78	91	59	215	19	10	225	69	39	34	111	120	181	57	107	0	70	137	91	136	297	2	27	325	39	87	137	76	31	99	135	65	301	207	21	450	91	514	34	0	5	36	18	199	27	167	55	4	47	12	8	144	69	47	337	68	19	66	45	0	0	3	13	16	6	64	18	34	7	46	86	32	81	35	17	45	134	11	111	136	127	296	54	63	35	4	29	46	8	8	6	17	251	41	165	30	46	563	0	145	769	265	33	67	39	4	10	3	31	83	111	94	53	12	5	0	7	56	11	0	16	0
87ff74cc0f55f12dc4056a4a8a2c72bd	Glomeromycetes; Glomerales; Claroideoglomeraceae; Claroideoglomus	70	11	73	2	69	56	10	65	26	24	37	9	35	0	18	44	34	51	40	62	41	52	35	32	44	3	34	74	2	81	132	0	38	14	66	177	45	85	75	57	109	66	16	2	53	52	61	61	58	152	104	15	50	2	0	16	0	22	19	0	20	5	41	0	98	11	0	0	54	50	10	3	89	146	4	16	151	32	44	40	13	15	25	60	137	98	40	6	30	193	88	62	71	5	0	76	45	20	46	220	178	85	109	57	42	19	145	30	8	57	4	21	47	5	30	21	113	16	27	3	0	63	0	27	6	18	28	31	233	0	18	0	0	0	32	8	19	4	10	11	21	47	0	33	95	103	92	42	63	23	0	26	8	32	17	74	10	53	46	29	13	107	13	0	35	45	31	2	20	83	50	4	0	10	52	5	9	20	13	70	84	33	29	93	15	64	0	26	0	7	34	31	64	67	11	98	38	27	40	7	13	147	3	0	57	52	74	296	0	32	37	17	0	8	3	534	34	36	31	8	63	12	117	107	13	41	13	34	29	36	0	11	6	18	79	0
f10a50b1220da2d3e275f9772b3c2898	Glomeromycetes; Glomerales; Glomeraceae; Glomus; Glomus MO-G23; VTX00222	49	3	24	64	168	9	28	15	0	0	39	93	27	135	352	189	1	288	162	8	117	31	0	3	141	104	139	147	124	291	177	0	12	243	97	67	6	31	103	83	91	190	79	175	124	183	176	96	109	142	255	87	65	47	26	67	14	0	14	8	4	23	34	78	328	101	111	47	237	224	273	247	184	81	388	31	26	163	125	103	253	80	10	118	129	38	40	151	230	187	225	223	28	226	171	63	64	7	104	54	12	83	23	7	9	37	25	24	0	7	0	76	0	37	12	62	136	117	135	130	55	224	89	70	140	28	53	89	0	165	103	188	175	117	18	92	134	154	52	119	93	15	111	0	32	119	55	76	178	322	414	71	200	217	54	289	342	389	160	58	78	14	37	137	51	0	0	18	18	0	6	13	68	135	136	94	18	191	0	17	0	0	16	56	21	0	70	35	40	42	25	43	40	10	0	23	50	67	4	191	0	0	230	188	105	91	58	16	119	3	0	0	0	0	15	0	0	32	0	150	36	17	174	0	48	70	91	0	76	121	126	43	92	16	21	34
0d508e08bf3048aa561e7c9d96e3bea9	Glomeromycetes; Glomerales; Glomeraceae; Glomus; Glomus sp.; VTX00315	91	66	38	257	9	78	304	196	65	467	321	486	0	64	198	309	324	0	176	21	25	182	315	112	61	77	177	35	108	0	12	180	35	29	0	74	81	0	76	62	70	72	170	106	76	0	16	0	0	0	8	214	0	0	146	185	53	218	485	117	542	328	472	15	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	76	0	0	0	92	57	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	217	121	76	149	200	126	249	165	205	194	134	0	75	0	191	186	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	62	70	33	67	0	122	74	1	228	0	0	0	0	0	4	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	5	45	0	0	0	0	0	24	62	64	95	0	0	157	0	76	0	182	137	27	242	282	0	348	143	17
4a4251fdd8c94240584c5d4ff6aeb094	Glomeromycetes; Glomerales; Glomeraceae; Glomus; Glomus Glo7; VTX00214	0	0	16	0	0	0	10	0	0	31	0	58	15	0	0	0	0	110	36	26	4	33	64	200	60	19	25	84	0	1	14	19	31	0	0	5	0	45	25	0	0	0	0	0	0	0	0	157	0	33	61	0	5	0	6	34	31	3	0	0	0	35	0	0	0	0	0	0	29	41	20	2	3	27	8	8	0	0	0	0	110	0	0	61	80	175	111	221	108	187	50	63	143	16	46	89	0	0	191	22	0	36	23	55	89	5	76	53	56	49	13	48	0	0	0	0	0	0	0	0	0	23	46	0	0	230	0	0	0	86	127	106	48	17	80	154	51	97	75	175	92	21	5	215	118	78	52	93	143	0	0	74	16	14	1	14	42	3	69	89	88	78	292	74	109	16	4	202	0	53	0	0	9	31	0	50	86	0	64	383	412	324	159	256	59	26	252	36	16	132	129	147	28	66	74	14	72	25	0	0	117	0	0	3	9	0	50	0	0	13	0	0	0	0	4	55	0	13	0	31	63	49	48	25	49	15	16	0	2	79	6	0	312	0	0	0
210c71717f87c8e4912431ed98b553f5	Glomeromycetes; Glomerales; Claroideoglomeraceae; Claroideoglomus; Claroideoglomus Douhan9; VTX00056	8	14	0	0	4	0	37	114	3	11	12	24	26	29	27	131	27	0	147	118	62	33	31	15	5	91	29	89	6	4	0	2	30	51	136	0	66	47	221	0	0	0	14	2	1	0	2	0	51	2	29	0	10	0	0	19	0	37	12	24	0	0	38	27	0	0	0	0	3	0	0	0	3	0	19	166	14	44	0	35	57	56	90	0	253	4	4	20	8	0	0	0	5	0	0	125	67	205	0	3	0	132	0	6	52	41	99	26	20	3	68	63	22	13	0	0	0	0	0	36	0	19	83	26	370	26	5	0	45	6	52	13	20	133	28	18	135	110	227	9	253	28	23	16	0	127	30	31	34	0	5	15	4	2	0	3	7	0	21	416	34	95	101	165	152	11	7	89	0	0	0	0	0	4	1	0	9	0	74	0	19	22	276	9	176	0	3	0	111	0	26	54	183	40	170	72	132	188	0	0	0	0	0	0	0	6	19	0	0	0	0	0	0	0	0	0	0	101	31	23	0	27	0	11	204	11	92	64	13	120	21	37	100	11	66	54
