#OTU ID	taxonomy	18S_TGP_1_1	18S_TGP_1_10	18S_TGP_1_2	18S_TGP_1_4	18S_TGP_1_5	18S_TGP_1_7	18S_TGP_1_8	18S_TGP_10_1	18S_TGP_10_10	18S_TGP_10_2	18S_TGP_10_3	18S_TGP_10_4	18S_TGP_10_5	18S_TGP_10_6	18S_TGP_10_7	18S_TGP_10_8	18S_TGP_10_9	18S_TGP_11_1	18S_TGP_11_10	18S_TGP_11_2	18S_TGP_11_3	18S_TGP_11_4	18S_TGP_11_5	18S_TGP_11_6	18S_TGP_11_7	18S_TGP_11_8	18S_TGP_11_9	18S_TGP_12_1	18S_TGP_12_10	18S_TGP_12_3	18S_TGP_12_5	18S_TGP_12_6	18S_TGP_12_7	18S_TGP_12_8	18S_TGP_12_9	18S_TGP_13_1	18S_TGP_13_10	18S_TGP_13_2	18S_TGP_13_3	18S_TGP_13_4	18S_TGP_13_5	18S_TGP_13_6	18S_TGP_13_7	18S_TGP_13_8	18S_TGP_13_9	18S_TGP_14_1	18S_TGP_14_2	18S_TGP_14_3	18S_TGP_14_4	18S_TGP_14_5	18S_TGP_14_6	18S_TGP_14_7	18S_TGP_14_8	18S_TGP_14_9	18S_TGP_15_1	18S_TGP_15_10	18S_TGP_15_2	18S_TGP_15_3	18S_TGP_15_4	18S_TGP_15_5	18S_TGP_15_6	18S_TGP_15_7	18S_TGP_15_8	18S_TGP_15_9	18S_TGP_16_1	18S_TGP_16_10	18S_TGP_16_2	18S_TGP_16_3	18S_TGP_16_4	18S_TGP_16_5	18S_TGP_16_6	18S_TGP_16_7	18S_TGP_16_8	18S_TGP_16_9	18S_TGP_17_1	18S_TGP_17_10	18S_TGP_17_2	18S_TGP_17_3	18S_TGP_17_4	18S_TGP_17_5	18S_TGP_17_6	18S_TGP_17_7	18S_TGP_17_9	18S_TGP_18_1	18S_TGP_18_10	18S_TGP_18_2	18S_TGP_18_3	18S_TGP_18_4	18S_TGP_18_5	18S_TGP_18_6	18S_TGP_18_7	18S_TGP_18_8	18S_TGP_18_9	18S_TGP_19_1	18S_TGP_19_10	18S_TGP_19_2	18S_TGP_19_3	18S_TGP_19_4	18S_TGP_19_5	18S_TGP_19_6	18S_TGP_19_7	18S_TGP_19_8	18S_TGP_19_9	18S_TGP_2_1	18S_TGP_2_10	18S_TGP_2_2	18S_TGP_2_3	18S_TGP_2_4	18S_TGP_2_5	18S_TGP_2_6	18S_TGP_2_7	18S_TGP_2_8	18S_TGP_2_9	18S_TGP_20_1	18S_TGP_20_2	18S_TGP_20_3	18S_TGP_20_4	18S_TGP_20_5	18S_TGP_20_6	18S_TGP_20_7	18S_TGP_20_8	18S_TGP_21_1	18S_TGP_21_10	18S_TGP_21_2	18S_TGP_21_3	18S_TGP_21_4	18S_TGP_21_5	18S_TGP_21_7	18S_TGP_21_9	18S_TGP_22_1	18S_TGP_22_10	18S_TGP_22_2	18S_TGP_22_3	18S_TGP_22_4	18S_TGP_22_5	18S_TGP_22_6	18S_TGP_22_7	18S_TGP_22_8	18S_TGP_22_9	18S_TGP_23_1	18S_TGP_23_10	18S_TGP_23_2	18S_TGP_23_3	18S_TGP_23_4	18S_TGP_23_5	18S_TGP_23_6	18S_TGP_23_7	18S_TGP_23_8	18S_TGP_23_9	18S_TGP_24_1	18S_TGP_24_10	18S_TGP_24_2	18S_TGP_24_3	18S_TGP_24_4	18S_TGP_24_5	18S_TGP_24_6	18S_TGP_24_8	18S_TGP_24_9	18S_TGP_25_1	18S_TGP_25_10	18S_TGP_25_2	18S_TGP_25_3	18S_TGP_25_4	18S_TGP_25_5	18S_TGP_25_6	18S_TGP_25_7	18S_TGP_25_8	18S_TGP_25_9	18S_TGP_3_1	18S_TGP_3_10	18S_TGP_3_2	18S_TGP_3_3	18S_TGP_3_4	18S_TGP_3_5	18S_TGP_3_6	18S_TGP_3_7	18S_TGP_3_8	18S_TGP_3_9	18S_TGP_4_1	18S_TGP_4_10	18S_TGP_4_2	18S_TGP_4_3	18S_TGP_4_4	18S_TGP_4_5	18S_TGP_4_6	18S_TGP_4_7	18S_TGP_4_8	18S_TGP_4_9	18S_TGP_5_1	18S_TGP_5_10	18S_TGP_5_2	18S_TGP_5_3	18S_TGP_5_4	18S_TGP_5_5	18S_TGP_5_6	18S_TGP_5_7	18S_TGP_5_8	18S_TGP_5_9	18S_TGP_6_1	18S_TGP_6_10	18S_TGP_6_2	18S_TGP_6_3	18S_TGP_6_4	18S_TGP_6_5	18S_TGP_6_6	18S_TGP_6_7	18S_TGP_6_8	18S_TGP_6_9	18S_TGP_7_10	18S_TGP_7_2	18S_TGP_7_3	18S_TGP_7_4	18S_TGP_7_5	18S_TGP_7_6	18S_TGP_7_7	18S_TGP_7_8	18S_TGP_7_9	18S_TGP_8_1	18S_TGP_8_10	18S_TGP_8_2	18S_TGP_8_3	18S_TGP_8_4	18S_TGP_8_5	18S_TGP_8_6	18S_TGP_8_7	18S_TGP_8_8	18S_TGP_8_9	18S_TGP_9_1	18S_TGP_9_10	18S_TGP_9_2	18S_TGP_9_3	18S_TGP_9_5	18S_TGP_9_6	18S_TGP_9_7	18S_TGP_9_8	18S_TGP_9_9
320f3edc7b48ba5691766ccc71b0d898	Glomeromycetes; Glomerales; Glomeraceae; Glomus; Glomus Douhan3; VTX00212	80	55	29	7	0	26	60	70	13	58	72	0	135	208	33	0	113	50	53	55	9	11	113	7	11	43	6	49	95	11	23	188	93	111	77	119	97	0	1	10	0	12	13	269	164	41	113	24	38	36	110	36	147	68	20	0	82	27	0	73	17	0	2	5	0	0	0	0	0	2	0	0	0	0	127	3	36	44	103	289	66	198	8	136	0	0	101	131	63	0	255	0	0	76	222	155	243	261	0	0	0	0	20	229	105	136	121	78	72	0	205	74	83	0	42	0	77	134	0	0	0	42	115	180	14	79	68	66	0	26	73	0	28	262	60	132	105	53	50	0	11	70	176	143	11	85	68	0	7	2	0	0	0	0	0	0	0	0	63	37	244	131	69	102	71	125	179	106	4	0	5	0	0	0	0	0	0	0	66	28	71	0	146	22	77	60	0	89	0	59	22	0	8	19	0	6	44	42	0	12	0	0	0	0	57	0	55	0	0	0	0	0	0	0	0	0	0	54	0	0	46	67	162	97	39	50	35	18	68	33	59	0	0	53	161	193
97cefc055a2fa1b8caf5b81635b3fde7	Glomeromycetes; Glomerales; Glomeraceae; Glomus; Glomus MO-G15; VTX00135	123	117	52	70	0	62	90	91	25	158	73	83	2	66	58	44	135	32	171	31	189	84	132	30	144	92	126	176	34	64	97	64	0	59	410	95	66	77	63	95	306	75	0	8	44	89	180	197	62	93	0	0	0	0	64	101	106	128	92	95	211	23	153	224	0	0	0	0	0	0	0	0	0	0	48	34	0	89	194	0	43	145	0	0	11	0	0	0	0	0	0	46	0	1	0	50	23	0	0	0	0	0	0	0	4	11	2	7	0	0	0	0	0	46	124	51	66	28	0	100	130	273	132	49	0	26	0	72	26	5	82	0	64	39	26	0	54	0	0	27	0	0	0	16	0	0	0	40	0	0	0	0	0	0	0	0	0	0	22	0	65	84	0	65	27	373	209	57	0	0	0	0	0	0	27	0	0	0	117	78	20	0	15	0	215	142	70	71	0	0	0	65	13	85	41	17	45	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141	64	138	187	90	2	30	16	112	86	98	44	107	162	62	178	59	40	122
2c47b9acb976f06611bddfe10f97e217	Paraglomeromycetes; Paraglomerales; Paraglomeraceae; Paraglomus	31	74	100	8	145	116	33	14	0	4	0	0	18	0	4	0	0	0	20	8	0	0	0	94	18	18	24	246	39	33	26	74	315	36	44	25	104	4	16	25	0	0	259	107	14	49	46	39	83	155	21	106	59	89	0	0	0	34	0	187	13	0	30	0	0	0	0	0	0	0	56	46	0	0	18	25	47	53	0	0	0	7	112	4	0	0	0	0	5	0	0	17	0	47	40	0	171	271	187	291	575	134	555	457	83	479	28	271	354	242	190	277	146	40	0	0	0	0	0	0	28	0	0	48	10	64	69	41	74	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	20	0	0	0	0	0	0	0	0	0	0	0	2	7	24	39	14	0	30	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	25	0	0	0	0	0	165	0	0	67	0	20	10	1	10	26	0	42	7	13	0	7	0	0	0	12	16	0	2	9
7487be824e0acea7ee8c22b94f1376ae	Glomeromycetes; Glomerales; Glomeraceae; Glomus; Glomus Whitfield type 17; VTX00195	0	0	80	0	10	0	0	0	326	5	20	71	295	45	26	72	0	37	0	349	0	284	6	0	130	267	0	0	0	0	7	0	0	0	0	0	0	0	25	45	6	0	0	0	0	0	0	0	0	0	19	0	16	0	0	0	36	180	0	0	0	0	0	0	7	180	36	0	9	113	0	27	26	125	43	0	0	0	12	0	16	19	93	27	0	184	0	4	0	16	0	0	0	7	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	7	0	22	0	8	0	37	83	11	0	92	0	161	265	30	38	0	54	0	24	31	19	24	76	16	0	162	5	0	7	36	0	0	61	131	0	0	86	20	461	209	51	57	0	0	1	3	9	30	0	13	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	689	0	0	65	332	0	375	37	0	70	168	70	52	0	74	0	0	71	0	246	0	0	0	0	0	29	33	32	3	511	0	10	14	30	270	0	0
e8cbf85e2f78be8ff21c0c3e0f509639	Glomeromycetes; Glomerales; Glomeraceae; Glomus	198	0	25	104	31	92	0	0	25	55	0	0	8	0	0	0	0	83	0	0	0	7	8	0	0	5	0	7	16	0	142	45	37	58	0	88	36	0	69	40	0	0	29	14	50	0	39	59	103	12	0	0	27	131	0	0	0	0	0	0	6	0	0	0	0	146	49	88	85	22	66	153	83	67	0	423	76	49	53	41	38	63	0	34	14	33	9	46	62	37	37	57	43	45	16	0	48	22	22	0	0	36	108	50	101	291	77	68	178	90	39	37	0	35	29	65	0	0	19	0	0	68	0	0	63	20	0	0	0	0	69	42	0	0	167	1	12	0	10	0	28	13	15	54	119	59	68	16	26	346	99	104	0	0	0	0	0	57	0	0	0	0	0	0	7	0	63	0	0	0	9	33	0	0	0	0	20	0	0	0	0	0	0	0	81	0	40	0	0	0	0	10	0	0	0	0	16	0	0	9	28	0	0	0	4	0	47	0	0	34	40	0	0	10	653	107	43	0	0	0	0	0	16	0	19	0	0	0	0	0	0	46	0	0	23	0
87ff74cc0f55f12dc4056a4a8a2c72bd	Glomeromycetes; Glomerales; Claroideoglomeraceae; Claroideoglomus	72	11	42	9	65	55	10	55	23	20	39	8	0	0	0	0	34	0	0	71	0	0	34	37	30	3	0	89	2	56	127	0	0	0	58	102	49	88	91	29	93	59	12	0	62	44	27	51	71	157	112	15	49	4	0	0	0	21	24	0	0	0	0	0	101	11	0	0	62	56	9	0	82	126	1	18	163	40	28	26	15	13	20	35	27	46	45	18	26	76	43	46	80	7	0	64	48	15	35	164	135	70	113	30	0	10	58	26	0	15	10	21	16	4	20	27	60	0	29	6	0	64	0	0	6	17	9	27	175	0	8	0	0	0	35	21	0	0	6	0	25	15	0	0	0	69	54	0	53	26	0	0	10	30	20	0	0	47	44	14	14	75	0	0	28	0	23	2	0	0	41	0	0	9	0	0	0	0	0	59	44	0	24	39	0	8	0	0	0	0	25	0	14	12	3	24	27	0	41	13	13	150	6	0	49	33	36	313	0	0	32	22	0	9	2	538	42	41	33	9	41	0	111	51	14	53	0	0	0	35	0	7	0	12	0	0
f10a50b1220da2d3e275f9772b3c2898	Glomeromycetes; Glomerales; Glomeraceae; Glomus; Glomus MO-G23; VTX00222	35	0	0	0	35	0	0	0	0	0	5	50	3	38	78	68	1	139	18	8	74	17	0	0	67	15	29	64	0	89	37	0	0	34	7	0	4	20	0	18	4	60	12	0	30	42	40	23	0	27	61	23	26	40	0	39	9	0	0	6	2	12	0	38	0	0	0	0	85	0	0	0	0	38	18	9	0	0	77	19	31	26	0	60	29	0	0	67	71	0	0	0	0	75	50	19	0	0	0	0	0	0	0	0	11	0	0	0	0	3	0	18	0	22	0	38	45	54	70	0	0	53	48	27	51	0	17	52	0	73	32	41	85	54	15	51	56	81	23	47	51	0	67	0	15	53	53	51	97	92	94	7	9	0	33	29	0	77	38	15	39	10	10	36	22	0	0	16	5	0	0	12	0	71	42	61	21	96	0	0	0	0	12	32	10	0	45	14	0	15	18	28	0	10	0	17	29	49	0	0	0	0	0	0	0	5	31	0	66	0	0	0	0	0	0	0	0	21	0	52	0	9	0	0	42	44	61	0	55	92	63	0	42	0	28	0
0d508e08bf3048aa561e7c9d96e3bea9	Glomeromycetes; Glomerales; Glomeraceae; Glomus; Glomus sp.; VTX00315	0	12	24	144	0	56	97	98	21	166	110	186	0	0	41	52	96	0	0	0	0	76	75	0	35	33	52	17	72	0	8	34	0	12	0	22	58	0	31	22	0	37	87	40	41	0	18	0	0	0	0	81	0	0	71	35	32	106	158	47	179	99	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	12	74	88	94	0	150	53	150	135	104	0	32	0	50	181	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	53	0	0	29	0	13	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	13	44	0	0	44	0	19	0	85	70	12	113	112	0	141	64	25
4a4251fdd8c94240584c5d4ff6aeb094	Glomeromycetes; Glomerales; Glomeraceae; Glomus; Glomus Glo7; VTX00214	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	36	29	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	28	0	16	9	0	0	8	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	62	47	26	17	62	95	23	59	57	83	64	16	6	138	89	9	33	57	92	0	0	24	0	0	0	8	51	0	0	41	0	15	187	16	26	0	0	105	0	0	0	0	0	0	0	21	0	0	46	125	95	210	115	166	35	14	135	27	10	64	70	70	5	47	53	0	35	9	0	0	0	0	0	0	8	0	21	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	11	0	0	42	0	0	157	0	0	0
210c71717f87c8e4912431ed98b553f5	Glomeromycetes; Glomerales; Claroideoglomeraceae; Claroideoglomus; Claroideoglomus Douhan9; VTX00056	10	0	0	0	7	0	29	78	0	0	0	23	16	0	18	60	0	0	77	38	29	12	0	17	0	51	22	16	4	0	0	5	28	58	104	0	16	12	14	0	0	0	12	0	0	0	0	0	57	0	29	0	8	0	0	20	0	26	13	13	0	3	24	0	0	0	0	0	7	0	0	0	2	0	0	0	0	0	0	19	20	40	43	0	156	1	0	0	12	0	0	0	0	0	0	99	71	151	0	0	0	116	0	9	48	7	52	12	14	0	47	35	20	8	0	0	0	0	0	0	0	19	0	0	199	11	0	0	0	0	0	0	0	23	0	0	76	0	86	0	32	31	0	17	0	98	37	0	0	0	0	0	4	0	0	5	3	0	0	321	32	51	80	93	60	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	75	7	27	0	0	0	0	0	0	0	19	15	24	0	32	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	37	26	0	0	13	0	15	34	0	55	56	6	0	0	21	41	9	4	49
